player_id,player_name,team_id,position,start_probability_pct,start_security,start_prob,start_prob_source,start_status,minutes_def_used,starts_def_used,nineties_def_used,min_pct_def_used,starts_per_ninety_used,base_start_score,start_reliability,minute_share_pf_used,starter_proxy_pf_used,merge_key,minute_share_pf,starter_proxy_pf,conditional_start_prob,availability_prob,availability_risk,availability_status
aymeric_laporte__esp,Aymeric Laporte,ESP,DEF,65,0.6506,0.6506,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.822,,,,aymeric laporte||esp,,,0.902,0.7468,medium_risk,medium_risk
victor_lindel_f__swe,Victor Lindelöf,SWE,DEF,63,0.6257,0.6257,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7669,,,,victor lindelof||swe,,,0.8588,0.694,medium_risk,medium_risk
eric_smith__swe,Eric Smith,SWE,DEF,32,0.3162,0.3162,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.0438,,,,eric smith||swe,,,0.05,0.6429,unknown,unknown
carl_starfelt__swe,Carl Starfelt,SWE,DEF,29,0.29,0.29,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.4553,,,,carl starfelt||swe,,,0.5294,0.6,high_risk,high_risk
gabriel_gudmundsson__swe,Gabriel Gudmundsson,SWE,DEF,85,0.8488,0.8488,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.6853,,,,gabriel gudmundsson||swe,,,0.7778,0.6604,medium_risk,medium_risk
emil_holm__swe,Emil Holm,SWE,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7883,,,,emil holm||swe,,,0.9167,0.6,high_risk,high_risk
hjalmar_ekdal__swe,Hjalmar Ekdal,SWE,DEF,10,0.1014,0.1014,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.4505,,,,hjalmar ekdal||swe,,,0.5238,0.6,high_risk,high_risk
daniel_svensson__swe,Daniel Svensson,SWE,DEF,85,0.8525,0.8525,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6394,,,,daniel svensson||swe,,,0.6875,0.8,medium_risk,medium_risk
isak_hien__swe,Isak Hien,SWE,DEF,92,0.9237,0.9237,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8197,,,,isak hien||swe,,,0.9,0.7451,medium_risk,medium_risk
victor_eriksson__swe,Victor Eriksson,SWE,DEF,0,0.0,0.0,holdet_official_unmatched_default,,,,,,,,,,,,,,,,,
gustaf_lagerbielke__swe,Gustaf Lagerbielke,SWE,DEF,78,0.7784,0.7784,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5292,,,,gustaf lagerbielke||swe,,,0.6154,0.6,high_risk,high_risk
elliot_stroud__swe,Elliot Stroud,SWE,DEF,4,0.0441,0.0441,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.0446,,,,elliot stroud||swe,,,0.05,0.6923,unknown,unknown
