player_id,player_name,team_id,position,pool_start_prob,pool_start_prob_source,ev_start_prob,ev_start_prob_source,start_prob_diff,minute_share,suspected_issue,recommended_action
nuno_mendes__por,Nuno Mendes,POR,DEF,0.7657,transfermarkt_availability_split_2026_06_04,0.7657,transfermarkt_availability_split_2026_06_01,0.0,0.069609,ok,No action.
federico_vi_as__uru,Federico Vinas,URU,FWD,0.7883,transfermarkt_availability_split_2026_06_04,0.7883,transfermarkt_availability_split_2026_06_01,0.0,0.071664,ok,No action.
nahuel_molina__arg,Nahuel Molina,ARG,DEF,0.891,transfermarkt_availability_split_2026_06_04,0.891,transfermarkt_availability_split_2026_06_01,0.0,0.081,ok,No action.
marcus_rashford__eng,Marcus Rashford,ENG,FWD,0.7499,transfermarkt_availability_split_2026_06_04,0.7499,transfermarkt_availability_split_2026_06_01,0.0,0.068173,ok,No action.
bukayo_saka__eng,Bukayo Saka,ENG,FWD,0.8152,transfermarkt_availability_split_2026_06_04,0.8152,transfermarkt_availability_split_2026_06_01,0.0,0.074109,ok,No action.
cristian_romero__arg,Cristian Romero,ARG,DEF,0.8499,transfermarkt_availability_split_2026_06_04,0.8499,transfermarkt_availability_split_2026_06_01,0.0,0.077264,ok,No action.
tajon_buchanan__can,Tajon Buchanan,CAN,MID,0.9066,transfermarkt_availability_split_2026_06_04,0.9066,transfermarkt_availability_split_2026_06_01,0.0,0.082418,ok,No action.
ferr_n_torres__esp,Ferran Torres,ESP,FWD,0.8416,transfermarkt_availability_split_2026_06_04,0.8416,transfermarkt_availability_split_2026_06_01,0.0,0.076509,ok,No action.
luis_d_az__col,Luis Diaz,COL,FWD,0.9001,transfermarkt_availability_split_2026_06_04,0.9001,transfermarkt_availability_split_2026_06_01,0.0,0.081827,ok,No action.
denzel_dumfries__ned,Denzel Dumfries,NED,DEF,0.8258,transfermarkt_availability_split_2026_06_04,0.8258,transfermarkt_availability_split_2026_06_01,0.0,0.075073,ok,No action.
oscar_bobb__nor,Oscar Bobb,NOR,MID,0.9101,transfermarkt_availability_split_2026_06_04,0.9101,transfermarkt_availability_split_2026_06_01,0.0,0.082736,ok,No action.
pedro_neto__por,Pedro Neto,POR,FWD,0.6389,transfermarkt_availability_split_2026_06_04,0.6389,transfermarkt_availability_split_2026_06_01,0.0,0.058082,ok,No action.
marquinhos__bra,Marquinhos,BRA,DEF,0.7639,transfermarkt_availability_split_2026_06_04,0.7639,transfermarkt_availability_split_2026_06_01,0.0,0.069445,ok,No action.
son_heung_min__kor,Heung-Min Son,KOR,FWD,0.8464,transfermarkt_availability_split_2026_06_04,0.8464,transfermarkt_availability_split_2026_06_01,0.0,0.076945,ok,No action.
joshua_kimmich__ger,Joshua Kimmich,GER,MID,0.9287,transfermarkt_availability_split_2026_06_04,0.9287,transfermarkt_availability_split_2026_06_01,0.0,0.084427,ok,No action.
antonio_r_diger__ger,Antonio Rüdiger,GER,DEF,0.7723,transfermarkt_availability_split_2026_06_04,0.7723,transfermarkt_availability_split_2026_06_01,0.0,0.070209,ok,No action.
mike_maignan__fra,Mike Maignan,FRA,GK,0.8865,transfermarkt_availability_split_2026_06_04+gk_hierarchy_normalized,0.8865,transfermarkt_availability_split_2026_06_04+gk_hierarchy_normalized,0.0,0.080591,ok,No action.
ayoub_el_kaabi__mar,Ayoub El Kaabi,MAR,FWD,0.7445,transfermarkt_availability_split_2026_06_04,0.7445,transfermarkt_availability_split_2026_06_01,0.0,0.067682,ok,No action.
nicol_s_otamendi__arg,Nicolas Otamendi,ARG,DEF,0.7821,transfermarkt_availability_split_2026_06_04,0.7821,transfermarkt_availability_split_2026_06_01,0.0,0.0711,ok,No action.
bruno_fernandes__por,Bruno Fernandes,POR,MID,0.8419,transfermarkt_availability_split_2026_06_04,0.8419,transfermarkt_availability_split_2026_06_01,0.0,0.076536,ok,No action.
michael_olise__fra,Michael Olise,FRA,FWD,0.7944,transfermarkt_availability_split_2026_06_04,0.7944,transfermarkt_availability_split_2026_06_01,0.0,0.072218,ok,No action.
morgan_rogers__eng,Morgan Rogers,ENG,MID,0.8928,transfermarkt_availability_split_2026_06_04,0.8928,transfermarkt_availability_split_2026_06_01,0.0,0.081164,ok,No action.
r_ben_dias__por,Ruben Dias,POR,DEF,0.8077,transfermarkt_availability_split_2026_06_04,0.8077,transfermarkt_availability_split_2026_06_01,0.0,0.073427,ok,No action.
manuel_akanji__sui,Manuel Akanji,SUI,DEF,0.8685,transfermarkt_availability_split_2026_06_04,0.8685,transfermarkt_availability_split_2026_06_01,0.0,0.078955,ok,No action.
marc_cucurella__esp,Marc Cucurella,ESP,DEF,0.6634,transfermarkt_availability_split_2026_06_04,0.6634,transfermarkt_availability_split_2026_06_01,0.0,0.060309,ok,No action.
timothy_castagne__bel,Timothy Castagne,BEL,DEF,0.7767,transfermarkt_availability_split_2026_06_04,0.7767,transfermarkt_availability_split_2026_06_01,0.0,0.070609,ok,No action.
