match_id,home,away,kickoff_dk,oddset_url
1,MEX,RSA,2026-06-11 21:00,https://danskespil.dk/oddset/sports/event/9290632/fodbold/verden/vm/mexico-sydafrika
2,KOR,CZE,2026-06-12 04:00,https://danskespil.dk/oddset/sports/event/9654758/fodbold/verden/vm/sydkorea-tjekkiet
3,CAN,BIH,2026-06-12 21:00,
4,USA,PAR,2026-06-13 03:00,
5,QAT,SUI,2026-06-13 21:00,
6,BRA,MAR,2026-06-14 00:00,
7,HAI,SCO,2026-06-14 03:00,
8,AUS,TUR,2026-06-14 06:00,
9,GER,CUW,2026-06-14 19:00,
10,NED,JPN,2026-06-14 22:00,
11,CIV,ECU,2026-06-15 01:00,
12,SWE,TUN,2026-06-15 04:00,
13,ESP,CPV,2026-06-15 18:00,
14,BEL,EGY,2026-06-15 21:00,
15,KSA,URU,2026-06-16 00:00,
16,IRN,NZL,2026-06-16 03:00,
17,FRA,SEN,2026-06-16 21:00,
18,IRQ,NOR,2026-06-17 00:00,
19,ARG,ALG,2026-06-17 03:00,
20,AUT,JOR,2026-06-17 06:00,
21,POR,COD,2026-06-17 19:00,
22,ENG,CRO,2026-06-17 22:00,
23,GHA,PAN,2026-06-18 01:00,
24,UZB,COL,2026-06-18 04:00,
25,CZE,RSA,2026-06-18 18:00,
26,SUI,BIH,2026-06-18 21:00,
27,CAN,QAT,2026-06-19 00:00,
28,MEX,KOR,2026-06-19 03:00,
29,USA,AUS,2026-06-19 21:00,
30,SCO,MAR,2026-06-20 00:00,
31,BRA,HAI,2026-06-20 03:00,
32,TUR,PAR,2026-06-20 06:00,
33,NED,SWE,2026-06-20 19:00,
34,GER,CIV,2026-06-20 22:00,
35,ECU,CUW,2026-06-21 02:00,
36,TUN,JPN,2026-06-21 06:00,
37,ESP,KSA,2026-06-21 18:00,
38,BEL,IRN,2026-06-21 21:00,
39,URU,CPV,2026-06-22 00:00,
40,NZL,EGY,2026-06-22 03:00,
41,ARG,AUT,2026-06-22 19:00,
42,FRA,IRQ,2026-06-22 23:00,
43,NOR,SEN,2026-06-23 02:00,
44,JOR,ALG,2026-06-23 05:00,
45,POR,UZB,2026-06-23 19:00,
46,ENG,GHA,2026-06-23 22:00,
47,PAN,CRO,2026-06-24 01:00,
48,COL,COD,2026-06-24 04:00,
49,SUI,CAN,2026-06-24 21:00,
50,BIH,QAT,2026-06-24 21:00,
51,SCO,BRA,2026-06-25 00:00,
52,MAR,HAI,2026-06-25 00:00,
53,CZE,MEX,2026-06-25 03:00,
54,RSA,KOR,2026-06-25 03:00,
55,CUW,CIV,2026-06-25 22:00,
56,ECU,GER,2026-06-25 22:00,
57,TUN,NED,2026-06-26 01:00,
58,JPN,SWE,2026-06-26 01:00,
59,TUR,USA,2026-06-26 04:00,
60,PAR,AUS,2026-06-26 04:00,
61,NOR,FRA,2026-06-26 21:00,
62,SEN,IRQ,2026-06-26 21:00,
63,CPV,KSA,2026-06-27 02:00,
64,URU,ESP,2026-06-27 02:00,
65,NZL,BEL,2026-06-27 05:00,
66,EGY,IRN,2026-06-27 05:00,
67,CRO,GHA,2026-06-27 23:00,
68,PAN,ENG,2026-06-27 23:00,
69,COD,UZB,2026-06-28 01:30,
70,COL,POR,2026-06-28 01:30,
71,ALG,AUT,2026-06-28 04:00,
72,JOR,ARG,2026-06-28 04:00,
