player_id,player_name,team_id,position,component_weighted_sum,base_ev_before_price_quality,price_quality_ev,expected_final_ev,actual_final_ev,formula_diff,component_source,base_ev_source,repair_status
mory_diaw__sen,Mory Diaw,SEN,GK,0.69716,0.69716,0.768625,0.729319,0.729319,-0,complete_components,component_weighted_sum,component_base_rebuilt
joris_kayembe__cod,Joris Kayembe,COD,DEF,0.623274,0.623274,0.848855,0.724785,0.724786,0.000001,complete_components,component_weighted_sum,component_base_rebuilt
riechedly_bazoer__cuw,Riechedly Bazoer,CUW,DEF,0.592022,0.592022,0.883677,0.723267,0.723267,0,complete_components,component_weighted_sum,component_base_rebuilt
ben_waine__nzl,Ben Waine,NZL,FWD,0.823404,0.823404,0.600062,0.7229,0.7229,-0,complete_components,component_weighted_sum,component_base_rebuilt
ken_sema__swe,Ken Sema,SWE,MID,0.858153,0.858153,0.551111,0.719984,0.719984,-0,complete_components,component_weighted_sum,component_base_rebuilt
ali_jasim__irq,Ali Jasim,IRQ,MID,0.587652,0.587652,0.881478,0.719874,0.719874,0,complete_components,component_weighted_sum,component_base_rebuilt
kenji_gorr__cuw,Kenji Gorre,CUW,FWD,0.656078,0.656078,0.797473,0.719706,0.719706,0,complete_components,component_weighted_sum,component_base_rebuilt
jackson_porozo__ecu,Jackson Porozo,ECU,DEF,0.991975,0.991975,0.38422,0.718485,0.718485,-0,complete_components,component_weighted_sum,component_base_rebuilt
johan_manzambi__sui,Johan Manzambi,SUI,MID,0.584155,0.584155,0.876232,0.71559,0.71559,0,complete_components,component_weighted_sum,component_base_rebuilt
houssem_aouar__alg,Houssem Aouar,ALG,MID,0.284765,0.284765,1.24164,0.715359,0.715359,0,complete_components,component_weighted_sum,component_base_rebuilt
hannes_delcroix__hai,Hannes Delcroix,HAI,DEF,0.583681,0.583681,0.875522,0.715009,0.715009,-0,complete_components,component_weighted_sum,component_base_rebuilt
nathanael_mbuku__cod,Nathanael Mbuku,COD,MID,0.800271,0.800271,0.607339,0.713452,0.713452,0,complete_components,component_weighted_sum,component_base_rebuilt
chadi_riad__mar,Chadi Riad,MAR,DEF,0.949397,0.949397,0.421869,0.712009,0.712009,-0,complete_components,component_weighted_sum,component_base_rebuilt
ronaldo_mart_nez__par,Ronaldo Martinez,PAR,FWD,1.061502,1.061502,0.283519,0.71141,0.71141,0,complete_components,component_weighted_sum,component_base_rebuilt
jerome_opoku__gha,Jerome Opoku,GHA,DEF,0.622471,0.622471,0.806779,0.70541,0.70541,0,complete_components,component_weighted_sum,component_base_rebuilt
ivan_ba_i__bih,Ivan Basic,BIH,MID,0.824754,0.824754,0.559448,0.705366,0.705366,-0,complete_components,component_weighted_sum,component_base_rebuilt
antoine_mendy__sen,Antoine Mendy,SEN,DEF,0.692223,0.692223,0.712583,0.701385,0.701385,0,complete_components,component_weighted_sum,component_base_rebuilt
felix_nmecha__ger,Felix Nmecha,GER,MID,0.653734,0.653734,0.757337,0.700355,0.700355,-0,complete_components,component_weighted_sum,component_base_rebuilt
rami_rabia__egy,Rami Rabia,EGY,DEF,0.683991,0.683991,0.720254,0.700309,0.700309,-0,complete_components,component_weighted_sum,component_base_rebuilt
martin_exp_rience__hai,Martin Experience,HAI,DEF,0.603868,0.603868,0.813246,0.698088,0.698088,-0,complete_components,component_weighted_sum,component_base_rebuilt
abduvokhid_nematov__uzb,Abduvokhid Nematov,UZB,GK,0.795994,0.795994,0.566058,0.692523,0.692523,0,complete_components,component_weighted_sum,component_base_rebuilt
mohamed_amine_ben_hamida__tun,Mohamed Amine Ben Hamida,TUN,DEF,0.623511,0.623511,0.773118,0.690834,0.690834,-0,complete_components,component_weighted_sum,component_base_rebuilt
david_jurasek__cze,David Jurasek,CZE,DEF,0.836537,0.836537,0.509048,0.689167,0.689167,0,complete_components,component_weighted_sum,component_base_rebuilt
mukhammadkodir_khamraliev__uzb,Mukhammadkodir Khamraliev,UZB,DEF,0.578519,0.578519,0.810037,0.682702,0.682702,-0,complete_components,component_weighted_sum,component_base_rebuilt
yuito_suzuki__jpn,Yuito Suzuki,JPN,FWD,0.784508,0.784508,0.555696,0.681543,0.681543,0,complete_components,component_weighted_sum,component_base_rebuilt
victor_munoz__esp,Victor Munoz,ESP,FWD,1.125473,1.125473,0.128999,0.67706,0.67706,0,complete_components,component_weighted_sum,component_base_rebuilt
kojo_peprah_oppong__gha,Kojo Peprah Oppong,GHA,DEF,0.817229,0.817229,0.492586,0.67114,0.67114,0,complete_components,component_weighted_sum,component_base_rebuilt
alexis_duarte__par,Alexis Duarte,PAR,DEF,0.906279,0.906279,0.382932,0.670773,0.670773,0,complete_components,component_weighted_sum,component_base_rebuilt
danilo_luiz_da_silva__bra,Danilo Luiz da Silva,BRA,DEF,0.871115,0.871115,0.421306,0.668701,0.668701,0,complete_components,component_weighted_sum,component_base_rebuilt
ahmed_fathi__qat,Ahmed Fathi,QAT,MID,0.607195,0.607195,0.738953,0.666486,0.666486,-0,complete_components,component_weighted_sum,component_base_rebuilt
nizar_al_rashdan__jor,Nizar Al-Rashdan,JOR,MID,0.832238,0.832238,0.463349,0.666238,0.666238,0,complete_components,component_weighted_sum,component_base_rebuilt
david_ospina__col,David Ospina,COL,GK,0.810801,0.810801,0.488858,0.665927,0.665927,0,complete_components,component_weighted_sum,component_base_rebuilt
jose_hurtado__ecu,Jose Hurtado,ECU,DEF,0.649482,0.649482,0.67865,0.662608,0.662608,0,complete_components,component_weighted_sum,component_base_rebuilt
joe_bell__nzl,Joe Bell,NZL,MID,0.602099,0.602099,0.721215,0.655701,0.655701,-0,complete_components,component_weighted_sum,component_base_rebuilt
