priority_bucket,suggested_action,holdet_player_id,player_name,team_id,team_name,position,price,is_out,reason,possible_duplicate_or_mismatch
depth_or_watchlist,add_to_player_pool_review,50382,Abbosbek Fayzullaev,UZB,Usbekistan,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50364,Abdul Rahman Baba,GHA,Ghana,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50289,Adam Hlozek,CZE,Tjekkiet,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50307,Agustin Canobbio,URU,Uruguay,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50257,Ahmed Reda Tagnaouti,MAR,Marokko,GK,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50366,Alidu Seidu,GHA,Ghana,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48813,Alvyn Sanches,SUI,Schweiz,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50249,Auston Trusty,USA,USA,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50258,Ayoube Amaimouni-Echghouyab,MAR,Marokko,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48893,Benie Traore,CIV,Elfenbenskysten,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50311,Carney Chukwuemeka,AUT,Østrig,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50283,Cesar Huerta,MEX,Mexico,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50356,Denil Castillo,ECU,Ecuador,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50368,Ernest Nuamah,GHA,Ghana,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49089,Fabinho,BRA,Brasilien,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50273,Facundo Medina,ARG,Argentina,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50313,Florian Wiegele,AUT,Østrig,GK,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50043,Gedeon Kalulu,COD,Congo DR,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50267,Guus Til,NED,Holland,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50250,Haji Wright,USA,USA,FWD,2500000,,no_name_team_match,
