player_id,player_name,team_id,position,price,start_prob,current_goal_share_norm,current_assist_share_norm,current_sot_share_norm,fallback_goal_share_norm_variant_a,fallback_assist_share_norm_variant_a,fallback_sot_share_norm_variant_a,fallback_goal_share_norm_variant_b,fallback_assist_share_norm_variant_b,fallback_sot_share_norm_variant_b,current_base_ev,fallback_base_ev_variant_a,fallback_base_ev_variant_b,current_optimizer_ev,fallback_optimizer_ev_variant_a_estimate,fallback_optimizer_ev_variant_b_estimate,reference_population_size,price_band,round_context_source,confidence,reason_flags
robin_hranac__cze,Robin Hranac,CZE,DEF,2500000,0.8244,,,,0.012196919618979757,0.02107553438406894,0.0065128489556732835,0.011060526918624136,0.018620422985421766,0.006153978176399169,1.832316,1.7626775529705347,1.7298700427219291,1.859801,1.8214995041337945,1.8034553734970613,40,lower_mid,distributed_from_existing_optimizer_ev,medium,legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate
fabian_ruiz__esp,Fabian Ruiz,ESP,MID,4500000,0.8178,,,,0.04836183628831605,0.060873909261237466,0.036974295950360954,0.04911698036218997,0.0518089669530708,0.0395161421114619,1.045299,3.438842031126876,3.3456804032630214,1.83795,3.154398817119782,3.1031599217946617,40,premium,distributed_from_existing_optimizer_ev,high,high_priority_offensive_starter;legacy_aggregate_round_context
diney_borges__cpv,Diney Borges,CPV,DEF,3000000,0.7912,,,,0.012407706339009228,0.01722771003279289,0.006140285181698113,0.007030762920183062,0.009321875712944204,0.002968754856512049,1.061042,2.0484018422255885,1.9182128933090452,1.824684,2.367732263224074,2.2961283413199753,40,upper_mid,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
alejandro_alex_grimaldo__esp,Alejandro 'Alex' Grimaldo,ESP,DEF,4000000,0.3837,,,,0.00877112964682875,0.0135845850224968,0.0038428364867921084,0.008908086120823985,0.011561657942508324,0.004107017289174521,1.794886,1.752273191703463,1.7417679602126594,1.823348,1.7999105554369046,1.7941326781169629,40,premium,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context;no_transfermarkt_usage_match
torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,2500000,0.6376,,,,0.012091340264345425,0.020833597088817424,0.008360728897520223,0.0043461032806545955,0.009278608063459967,0.0026711244646149064,1.899658,1.8313727784235527,1.541691289968137,1.820887,1.783329978132954,1.6240051594824754,40,lower_mid,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap
nathaniel_brown__ger,Nathaniel Brown,GER,DEF,2500000,0.5469,,,,0.009857581765250416,0.0168041988842106,0.0052146938057913645,0.013031289985953754,0.0159864750719542,0.007476958080384728,2.081863,1.9831627418678721,2.0843674129104928,1.810701,1.7564159580273297,1.812078527100771,40,lower_mid,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context
antonee_robinson__usa,Antonee Robinson,USA,DEF,2000000,0.8279,,,,0.018076520269467464,0.02066785426755859,0.0077070858485283325,0.010488865417188256,0.012066476014836638,0.00463391926417574,2.374839,2.260147031814823,1.8850609467344919,1.755802,1.6927213174981528,1.4864239707039706,40,budget,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
david_cabezas__ecu,David Cabezas,ECU,GK,2500000,0.6671,,,,0.0009285872719265578,0.0,0.0,0.0,0.0,0.0,2.542546,1.4370928826611473,1.4136517942020677,1.744618,1.136619385463631,1.1237267868111374,40,budget,distributed_from_existing_optimizer_ev,low,assist_no_team_residual;goal_no_team_residual;legacy_aggregate_round_context;sot_no_team_residual;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,3000000,0.6441,,,,0.01372239388233938,0.020775877432816912,0.006410235495420907,0.010925266572430986,0.020408633439350655,0.0045343602565837025,1.393736,1.7990069450142219,1.7489023554258862,1.707327,1.930225619757822,1.9026680954842374,40,upper_mid,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context
nathan_ngoy__bel,Nathan Ngoy,BEL,DEF,2000000,0.6294,,,,0.012273907267649547,0.018171072888468368,0.006437232337317068,0.011220596733292749,0.013901795444887942,0.0062922931363597265,2.328241,1.8945331650474686,1.8083549587058076,1.684823,1.446284040776108,1.3988860272881942,40,budget,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context
