strategy,display_name_da,formation,total_price,total_ev,total_score,avg_conditional_start_prob,high_risk_players,recommended_captain,player_names
practical_start,1. + 2. runde,3-4-3,50000000,58.916535,164.777776,0.9183,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Cesar Montes; Cristiano Ronaldo; Jonathan David; Raul Jimenez; Unai Simon; Bruno Fernandes; Tajon Buchanan; Joshua Kimmich; John Yeboah
practical_start,1. + 2. runde,3-5-2,50000000,56.985393,160.448116,0.9283,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Ruben Dias; Cristiano Ronaldo; Jonathan David; Unai Simon; Bruno Fernandes; Tajon Buchanan; Joshua Kimmich; Antonio Nusa; John Yeboah
practical_start,1. + 2. runde,4-3-3,49500000,58.519701,163.831405,0.9177,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Cesar Montes; Ruben Dias; Cristiano Ronaldo; Jonathan David; Raul Jimenez; Unai Simon; Bruno Fernandes; Tajon Buchanan; Antonio Nusa
practical_start,1. + 2. runde,4-4-2,50000000,57.142104,159.753757,0.9229,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Cesar Montes; Ruben Dias; Cristiano Ronaldo; Jonathan David; Unai Simon; Bruno Fernandes; Tajon Buchanan; Joshua Kimmich; Antonio Nusa
practical_start,1. + 2. runde,4-5-1,49500000,54.859433,152.718789,0.9204,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Ruben Dias; Nico Schlotterbeck; Cristiano Ronaldo; Unai Simon; Bruno Fernandes; Tajon Buchanan; Joshua Kimmich; Antonio Nusa; John Yeboah
practical_start,1. + 2. runde,5-3-2,50000000,57.454314,158.338086,0.9208,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Cesar Montes; Ruben Dias; Marquinhos; Cristiano Ronaldo; Jonathan David; Unai Simon; Bruno Fernandes; Tajon Buchanan; Antonio Nusa
practical_start,1. + 2. runde,5-4-1,49500000,55.016144,152.02443,0.9149,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Cesar Montes; Ruben Dias; Nico Schlotterbeck; Cristiano Ronaldo; Unai Simon; Bruno Fernandes; Tajon Buchanan; Joshua Kimmich; Antonio Nusa
long_run,Lang sigt,3-4-3,50000000,55.00114,84.116133,0.9226,0,Cristiano Ronaldo,Nicolas Tagliafico; Ruben Dias; Nathan Ngoy; Vinicius Junior; Cristiano Ronaldo; Nico Williams; Unai Simon; Casemiro; Declan Rice; Youri Tielemans; Antonio Nusa
long_run,Lang sigt,3-5-2,50000000,55.133637,84.745477,0.9236,0,Cristiano Ronaldo,Nuno Mendes; Nicolas Tagliafico; Ruben Dias; Cristiano Ronaldo; Nico Williams; Unai Simon; Casemiro; Declan Rice; Joshua Kimmich; Youri Tielemans; Antonio Nusa
long_run,Lang sigt,4-3-3,50000000,55.475715,85.034015,0.9167,0,Cristiano Ronaldo,Nicolas Tagliafico; Ruben Dias; Arthur Theate; Nathaniel Brown; Vinicius Junior; Cristiano Ronaldo; Nico Williams; Unai Simon; Casemiro; Declan Rice; Youri Tielemans
long_run,Lang sigt,4-4-2,50000000,55.445847,85.492879,0.9216,0,Cristiano Ronaldo,Marquinhos; Nuno Mendes; Nicolas Tagliafico; Ruben Dias; Cristiano Ronaldo; Nico Williams; Unai Simon; Casemiro; Declan Rice; Youri Tielemans; Antonio Nusa
long_run,Lang sigt,4-5-1,50000000,53.200101,84.136957,0.9265,0,Nico Williams,Marquinhos; Nuno Mendes; Nicolas Tagliafico; Ruben Dias; Nico Williams; Unai Simon; Casemiro; Declan Rice; Joshua Kimmich; Bernardo Silva; Youri Tielemans
long_run,Lang sigt,5-3-2,50000000,55.366552,85.691613,0.9234,0,Vinicius Junior,Marquinhos; Nuno Mendes; Nicolas Tagliafico; Ruben Dias; Arthur Theate; Vinicius Junior; Nico Williams; Unai Simon; Casemiro; Declan Rice; Youri Tielemans
long_run,Lang sigt,5-4-1,49000000,53.662918,84.158162,0.9256,0,Nico Williams,Marquinhos; Nuno Mendes; Nicolas Tagliafico; Ruben Dias; Jonathan Tah; Nico Williams; Unai Simon; Casemiro; Declan Rice; Joshua Kimmich; Youri Tielemans
