team_id,land,role,player_name,role_order,source_note,confidence,is_confirmed
ALG,Algeriet,penalty,Mahrez,1,,medium,false
ALG,Algeriet,penalty,Bentaleb,2,,medium,false
ALG,Algeriet,direct_fk,Mahrez,1,,medium,false
ALG,Algeriet,corner_indirect_fk,Chaibi,1,,medium,false
ALG,Algeriet,corner_indirect_fk,Mahrez,2,,medium,false
ARG,Argentina,penalty,Messi,1,,medium,false
ARG,Argentina,direct_fk,Messi,1,(1),medium,false
ARG,Argentina,corner_indirect_fk,Messi,1,,medium,false
ARG,Argentina,corner_indirect_fk,De Paul,2,,medium,false
AUS,Australien,penalty,Boyle,1,,medium,false
AUS,Australien,direct_fk,Hrustic,1,,medium,false
AUS,Australien,direct_fk,Irankunda,2,,medium,false
AUS,Australien,corner_indirect_fk,Hrustic,1,,medium,false
AUS,Australien,corner_indirect_fk,Boyle,2,,medium,false
BEL,Belgien,penalty,Lukaku,1,,medium,false
BEL,Belgien,penalty,de Bruyne,2,,medium,false
BEL,Belgien,direct_fk,de Bruyne,1,,medium,false
BEL,Belgien,direct_fk,de Cuyper,2,,medium,false
BEL,Belgien,corner_indirect_fk,de Bruyne,1,(1),medium,false
BIH,Bosnien-Hercegovina,penalty,Dzeko,1,,medium,false
BIH,Bosnien-Hercegovina,direct_fk,Tahirovic,1,,medium,false
BIH,Bosnien-Hercegovina,corner_indirect_fk,Alajbegovic,1,(1),medium,false
BIH,Bosnien-Hercegovina,corner_indirect_fk,Bajraktarevic,2,,medium,false
BRA,Brasilien,penalty,Raphinha,1,,medium,false
BRA,Brasilien,penalty,Neymar,2,,medium,false
BRA,Brasilien,direct_fk,Raphinha,1,(1),medium,false
BRA,Brasilien,direct_fk,Neymar,2,,medium,false
BRA,Brasilien,corner_indirect_fk,Raphinha,1,,medium,false
BRA,Brasilien,corner_indirect_fk,Neymar,2,(2),medium,false
CAN,Canada,penalty,J. David,1,,medium,false
CAN,Canada,direct_fk,Choiniere,1,,medium,false
CAN,Canada,direct_fk,Cornelius,2,,medium,false
CAN,Canada,corner_indirect_fk,Choiniere,1,,medium,false
CAN,Canada,corner_indirect_fk,Ahmed,2,,medium,false
COL,Colombia,penalty,J. Rodriguez,1,,medium,false
COL,Colombia,direct_fk,J. Rodriguez,1,,medium,false
COL,Colombia,corner_indirect_fk,J. Rodriguez,1,(2),medium,false
CUW,Curaçao,penalty,L. Bacuna,1,,medium,false
CUW,Curaçao,direct_fk,L. Bacuna,1,,medium,false
CUW,Curaçao,direct_fk,Martha,2,(1),medium,false
CUW,Curaçao,corner_indirect_fk,Antonisse,1,,medium,false
CUW,Curaçao,corner_indirect_fk,L. Bacuna,2,,medium,false
COD,DR Congo,penalty,Wissa,1,,medium,false
COD,DR Congo,direct_fk,Bongonda,1,,medium,false
COD,DR Congo,direct_fk,Masuaku,2,,medium,false
COD,DR Congo,corner_indirect_fk,Bongonda,1,,medium,false
COD,DR Congo,corner_indirect_fk,Masuaku,2,,medium,false
ECU,Ecuador,penalty,E. Valencia,1,,medium,false
ECU,Ecuador,direct_fk,E. Valencia,1,,medium,false
ECU,Ecuador,direct_fk,Estupinan,2,,medium,false
ECU,Ecuador,corner_indirect_fk,Caicedo,1,(1),medium,false
ECU,Ecuador,corner_indirect_fk,Plata,2,,medium,false
EGY,Egypten,penalty,Salah,1,,medium,false
EGY,Egypten,penalty,Marmoush,2,,medium,false
EGY,Egypten,direct_fk,Salah,1,,medium,false
EGY,Egypten,corner_indirect_fk,Salah,1,,medium,false
CIV,Elfenbenskysten,penalty,Kessie,1,,medium,false
CIV,Elfenbenskysten,penalty,Sangare,2,,medium,false
CIV,Elfenbenskysten,direct_fk,Diallo,1,,medium,false
CIV,Elfenbenskysten,corner_indirect_fk,Diallo,1,,medium,false
CIV,Elfenbenskysten,corner_indirect_fk,Diomande,2,,medium,false
ENG,England,penalty,Kane,1,,medium,false
ENG,England,direct_fk,James,1,(1),medium,false
ENG,England,direct_fk,Kane,2,,medium,false
ENG,England,corner_indirect_fk,Rice,1,(2),medium,false
FRA,Frankrig,penalty,Mbappe,1,,medium,false
FRA,Frankrig,direct_fk,Olise,1,,medium,false
FRA,Frankrig,direct_fk,Digne,2,,medium,false
FRA,Frankrig,corner_indirect_fk,Olise,1,,medium,false
GHA,Ghana,penalty,Ayew,1,,medium,false
GHA,Ghana,direct_fk,Ayew,1,,medium,false
GHA,Ghana,corner_indirect_fk,Ayew,1,,medium,false
HAI,Haiti,penalty,Nazon,1,,medium,false
HAI,Haiti,direct_fk,Deedson,1,,medium,false
HAI,Haiti,direct_fk,Bellegarde,2,,medium,false
