player_id,player_name,team_id,position,start_prob,minute_share,match_1_start_minutes_ev,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_weighted_match_ev,weighted_group_stage_ev,component_source,component_recomputed,suspected_issue
ezri_konsa__eng,Ezri Konsa,ENG,DEF,0.8094,0.073582,60.558499,0.020337,0.049968,0.004981,1.118766,3.570195,existing_components,yes,ok
thibaut_courtois__bel,Thibaut Courtois,BEL,GK,0.8305,0.0755,,,,,1.09782,3.553407,existing_components,yes,ok
arthur_theate__bel,Arthur Theate,BEL,DEF,0.86,0.078182,64.7064,0.023356,0.023429,0.005873,1.109362,3.51755,existing_components,yes,ok
nico_schlotterbeck__ger,Nico Schlotterbeck,GER,DEF,0.8204,0.074582,61.416785,0.022032,0.02404,0.006593,1.652155,3.514371,existing_components,yes,ok
aymeric_laporte__esp,Aymeric Laporte,ESP,DEF,0.6498,0.059073,48.586846,0.020961,0.015206,0.005308,1.276736,3.514031,existing_components,no,ok
gonzalo_plata__ecu,Gonzalo Plata,ECU,MID,0.7817,0.071064,52.072164,0.117681,0.091457,0.116904,1.067999,3.503134,existing_components,yes,ok
bruno_fernandes__por,Bruno Fernandes,POR,MID,0.9203,0.083664,65.783964,0.147742,0.149835,0.069203,1.426882,3.500102,existing_components,yes,ok
marcel_sabitzer__aut,Marcel Sabitzer,AUT,MID,0.9004,0.081855,64.256146,0.223811,0.188812,0.101191,1.947109,3.481204,existing_components,yes,ok
joshua_kimmich__ger,Joshua Kimmich,GER,MID,0.9521,0.086555,68.095144,0.142053,0.149535,0.064131,1.458535,3.465289,existing_components,yes,ok
erling_haaland__nor,Erling Haaland,NOR,FWD,0.9058,0.082345,60.153272,0.263386,0.06948,0.133402,1.574396,3.442622,existing_components,yes,ok
omar_marmoush__egy,Omar Marmoush,EGY,FWD,0.8572,0.077927,57.566123,0.080449,0.031549,0.170406,0.610019,3.426389,existing_components,no,ok
nico_elvedi__sui,Nico Elvedi,SUI,DEF,0.8748,0.079527,65.352809,0.01941,0.019017,0.004564,1.414061,3.420823,existing_components,yes,ok
alexis_vega__mex,Alexis Vega,MEX,FWD,0.5492,0.049927,37.004547,0.217545,0.0881,0.13856,1.429619,3.39271,existing_components,yes,ok
casemiro__bra,Casemiro,BRA,MID,0.824,0.074909,58.912704,0.124354,0.12756,0.045671,1.165751,3.377415,existing_components,yes,ok
nuno_mendes__por,Nuno Mendes,POR,DEF,0.6832,0.062109,51.660168,0.034351,0.068716,0.010471,1.344801,3.375952,existing_components,no,ok
mehdi_taremi__irn,Mehdi Taremi,IRN,FWD,0.9306,0.0846,62.181761,0.279543,0.097023,0.261524,1.840442,3.369435,existing_components,yes,ok
scott_mctominay__sco,Scott McTominay,SCO,MID,0.9326,0.084782,66.765767,0.228935,0.136798,0.114196,1.814779,3.360177,existing_components,yes,ok
alistair_johnston__can,Alistair Johnston,CAN,DEF,0.9095,0.082682,68.002406,0.027409,0.027024,0.008533,1.2015,3.358716,existing_components,yes,ok
davinson_s_nchez__col,Davinson Sanchez,COL,DEF,0.8947,0.081336,67.576521,0.026937,0.023093,0.006568,1.371458,3.344403,existing_components,yes,ok
rjan_nyland__nor,Ørjan Nyland,NOR,GK,0.9496,0.086327,75.796122,0.0,0.0,0.0,1.696188,3.33417,existing_components,yes,ok
bart_verbruggen__ned,Bart Verbruggen,NED,GK,0.9051,0.082282,72.809864,0.0,0.0,0.0,1.006492,3.333401,existing_components,yes,ok
virgil_van_dijk__ned,Virgil van Dijk,NED,DEF,0.9438,0.0858,70.992636,0.020937,0.02221,0.006828,1.006064,3.315797,existing_components,yes,ok
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,0.8573,0.077936,60.983178,0.182316,0.104947,0.054305,1.423803,3.308301,existing_components,no,ok
jo_ko_gvardiol__cro,Josko Gvardiol,CRO,DEF,0.9082,0.082564,68.673543,0.017786,0.012781,0.017608,0.582761,3.263045,existing_components,no,ok
giovani_lo_celso__arg,Giovani Lo Celso,ARG,MID,0.8292,0.075382,59.014164,0.149674,0.103077,0.052507,1.246033,3.238704,existing_components,yes,ok
dan_ndoye__sui,Dan Ndoye,SUI,FWD,0.902,0.082,60.022688,0.171847,0.061156,0.115641,1.174829,3.224576,existing_components,yes,ok
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,0.6367,0.057882,42.318902,0.172247,0.056464,0.129258,1.153581,3.218102,existing_components,no,ok
