strategy,display_name_da,formation,total_score,total_ev,total_price,avg_start_prob,avg_conditional_start_prob,high_risk_players,teams_summary,player_names,recommended_captain,captain_expected_growth,captain_round,captain_score,captain_reason
next_round,Næste runde (runde 1),4-3-3,91.975971,42.94893,50000000,0.8848,0.9331,1,AUT:1; CAN:1; ESP:1; GER:2; MEX:1; NOR:1; POR:2; SCO:1; TUR:1,Jonathan Tah; Nico Schlotterbeck; Ruben Dias; Kristoffer Ajer; Jonathan David; Cristiano Ronaldo; Raul Jimenez; Unai Simon; Kerem Akturkoglu; Marcel Sabitzer; Scott McTominay,Jonathan David,2.299728,1,2.619728,kaptajnscore baseret paa runde 1-vaekst 2.3; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; maalprofil-proxy: angriber
round1_2,1. + 2. runde,4-3-3,111.415507,44.040068,50000000,0.8983,0.9337,0,BRA:1; CAN:3; ECU:1; ESP:1; GER:1; POR:2; SUI:1; TUR:1,Ruben Dias; Richie Laryea; Manuel Akanji; Jonathan Tah; Jonathan David; Cristiano Ronaldo; Vinicius Junior; Unai Simon; Kerem Akturkoglu; John Yeboah; Tajon Buchanan,Jonathan David,2.299728,1,2.619728,kaptajnscore baseret paa runde 1-vaekst 2.3; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; maalprofil-proxy: angriber
group_stage,Gruppespil,4-3-3,125.934338,44.421637,50000000,0.8997,0.9325,0,ARG:1; BEL:1; BRA:1; CAN:3; ECU:1; ESP:1; POR:2; TUR:1,Maxim De Cuyper; Cristian Romero; Ruben Dias; Richie Laryea; Jonathan David; Cristiano Ronaldo; Vinicius Junior; Unai Simon; Kerem Akturkoglu; John Yeboah; Tajon Buchanan,Jonathan David,2.299728,1,2.619728,kaptajnscore baseret paa runde 1-vaekst 2.3; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; maalprofil-proxy: angriber
long_run,Lang sigt,4-3-3,71.580017,39.313655,50000000,0.8679,0.9178,0,ARG:3; BRA:3; ENG:3; ESP:2,Ezri Konsa; Marquinhos; Cristian Romero; Leo Pereira; Nico Williams; Vinicius Junior; Noni Madueke; Unai Simon; Alexis Mac Allister; Declan Rice; Giovani Lo Celso,Vinicius Junior,1.788549,1,1.888549,kaptajnscore baseret paa runde 1-vaekst 1.789; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber
