match_no,team_id,opponent,component,players,min,max,spread,negative_count,high_start_players,high_start_min,high_start_max,high_start_spread,high_start_negative_count
1,GER,CUW,match_1_team_scores_ev,26,0.02801,0.080619,0.052609,0,5,0.069467,0.080619,0.011152,0
1,CRO,ENG,match_1_team_scores_ev,26,0.008158,0.065473,0.057315,0,5,0.054333,0.065473,0.01114,0
1,IRN,NZL,match_1_opponent_scores_ev,23,-0.045617,-0.018183,0.027434,23,7,-0.045617,-0.03464,0.010977,7
2,TUN,JPN,match_2_team_scores_ev,26,0.004147,0.080464,0.076317,0,6,0.069496,0.080464,0.010968,0
2,SWE,NED,match_2_result_ev,26,0.003356,0.069506,0.06615,0,6,0.058573,0.069506,0.010933,0
2,GER,CIV,match_2_team_scores_ev,26,0.027417,0.07891,0.051493,0,5,0.067994,0.07891,0.010916,0
2,NOR,SEN,match_2_opponent_scores_ev,26,-0.057667,-0.002823,0.054844,26,8,-0.057667,-0.04677,0.010897,8
3,JOR,ARG,match_3_result_ev,26,0.00315,0.066791,0.063641,0,7,0.055919,0.066791,0.010872,0
3,TUN,NED,match_3_team_scores_ev,26,0.00408,0.079169,0.075089,0,6,0.068377,0.079169,0.010792,0
1,AUS,TUR,match_1_opponent_scores_ev,28,-0.052418,-0.00257,0.049848,28,7,-0.052418,-0.041655,0.010763,7
2,SUI,BIH,match_2_result_ev,26,0.03127,0.132432,0.101162,0,9,0.121702,0.132432,0.01073,0
3,BRA,SCO,match_3_opponent_scores_ev,26,-0.049592,-0.008079,0.041513,26,8,-0.049592,-0.038888,0.010704,8
1,ENG,CRO,match_1_opponent_scores_ev,26,-0.058664,-0.013819,0.044845,26,5,-0.058664,-0.047963,0.010701,5
2,COL,COD,match_2_team_scores_ev,26,0.015,0.069652,0.054652,0,6,0.058978,0.069652,0.010674,0
1,MEX,RSA,match_1_team_scores_ev,26,0.017036,0.070299,0.053263,0,6,0.059641,0.070299,0.010658,0
3,EGY,IRN,match_3_opponent_scores_ev,27,-0.052949,-0.002463,0.050486,27,8,-0.052949,-0.042359,0.01059,8
3,CAN,SUI,match_3_team_scores_ev,28,0.003656,0.073654,0.069998,0,8,0.063103,0.073654,0.010551,0
2,BIH,SUI,match_2_opponent_scores_ev,26,-0.058276,-0.007075,0.051201,26,7,-0.058276,-0.047759,0.010517,7
3,JPN,SWE,match_3_team_scores_ev,26,0.03287,0.069924,0.037054,0,4,0.059421,0.069924,0.010503,0
2,MEX,KOR,match_2_team_scores_ev,26,0.016732,0.069043,0.052311,0,6,0.058577,0.069043,0.010466,0
1,BIH,CAN,match_1_opponent_scores_ev,26,-0.057847,-0.007022,0.050825,26,7,-0.057847,-0.047407,0.01044,7
1,CUW,GER,match_1_on_pitch_ev,26,-0.044216,0.06394,0.108156,5,7,0.053536,0.06394,0.010404,0
2,CUW,ECU,match_2_on_pitch_ev,26,-0.044216,0.06394,0.108156,5,7,0.053536,0.06394,0.010404,0
3,CUW,CIV,match_3_on_pitch_ev,26,-0.044216,0.06394,0.108156,5,7,0.053536,0.06394,0.010404,0
3,CPV,KSA,match_3_result_ev,26,0.01207,0.070092,0.058022,0,4,0.059727,0.070092,0.010365,0
1,NZL,IRN,match_1_on_pitch_ev,26,-0.015596,0.062345,0.077941,1,7,0.05206,0.062345,0.010285,0
2,NZL,EGY,match_2_on_pitch_ev,26,-0.015596,0.062345,0.077941,1,7,0.05206,0.062345,0.010285,0
3,NZL,BEL,match_3_on_pitch_ev,26,-0.015596,0.062345,0.077941,1,7,0.05206,0.062345,0.010285,0
3,NED,TUN,match_3_opponent_scores_ev,24,-0.051421,-0.013501,0.03792,24,6,-0.051421,-0.041141,0.01028,6
3,COL,POR,match_3_team_scores_ev,26,0.0144,0.066865,0.052465,0,6,0.056618,0.066865,0.010247,0
3,SUI,CAN,match_3_result_ev,26,0.029849,0.126413,0.096564,0,9,0.116172,0.126413,0.010241,0
2,ENG,GHA,match_2_opponent_scores_ev,26,-0.055371,-0.013043,0.042328,26,5,-0.055371,-0.04527,0.010101,5
3,SWE,JPN,match_3_team_scores_ev,26,0.003099,0.064194,0.061095,0,6,0.054096,0.064194,0.010098,0
2,SEN,NOR,match_2_result_ev,28,0.003783,0.078543,0.07476,0,6,0.06847,0.078543,0.010073,0
1,ECU,CIV,match_1_opponent_scores_ev,28,-0.067285,-0.009196,0.058089,28,9,-0.067285,-0.057219,0.010066,9
1,CRO,ENG,match_1_opponent_scores_ev,26,-0.059136,-0.007368,0.051768,26,5,-0.059136,-0.049074,0.010062,5
1,COL,UZB,match_1_team_scores_ev,26,0.0141,0.065473,0.051373,0,6,0.055438,0.065473,0.010035,0
3,ARG,JOR,match_3_opponent_scores_ev,26,-0.048351,-0.002294,0.046057,26,7,-0.048351,-0.038351,0.01,7
3,GER,ECU,match_3_team_scores_ev,26,0.025032,0.072048,0.047016,0,5,0.062082,0.072048,0.009966,0
1,BRA,MAR,match_1_opponent_scores_ev,26,-0.046128,-0.007515,0.038613,26,8,-0.046128,-0.036172,0.009956,8
2,MAR,SCO,match_2_result_ev,29,0.016622,0.073641,0.057019,0,7,0.063731,0.073641,0.00991,0
1,TUN,SWE,match_1_team_scores_ev,26,0.003746,0.072681,0.068935,0,6,0.062774,0.072681,0.009907,0
3,ALG,AUT,match_3_team_scores_ev,30,0.003644,0.067768,0.064124,0,5,0.055354,0.065201,0.009847,0
1,ESP,CPV,match_1_on_pitch_ev,26,-0.02,0.0604,0.0804,3,4,0.05056,0.0604,0.00984,0
2,ESP,KSA,match_2_on_pitch_ev,26,-0.02,0.0604,0.0804,3,4,0.05056,0.0604,0.00984,0
3,ESP,URU,match_3_on_pitch_ev,26,-0.02,0.0604,0.0804,3,4,0.05056,0.0604,0.00984,0
2,SWE,NED,match_2_team_scores_ev,26,0.00302,0.062547,0.059527,0,6,0.052708,0.062547,0.009839,0
2,RSA,CZE,match_2_result_ev,25,0.009152,0.06874,0.059588,0,5,0.058997,0.06874,0.009743,0
3,MEX,CZE,match_3_team_scores_ev,26,0.015516,0.064025,0.048509,0,6,0.05432,0.064025,0.009705,0
2,ARG,AUT,match_2_opponent_scores_ev,26,-0.046875,-0.002224,0.044651,26,7,-0.046875,-0.037181,0.009694,7
2,JPN,TUN,match_2_team_scores_ev,26,0.030241,0.06433,0.034089,0,4,0.054666,0.06433,0.009664,0
2,CRO,PAN,match_2_opponent_scores_ev,26,-0.056757,-0.007072,0.049685,26,5,-0.056757,-0.0471,0.009657,5
1,URU,KSA,match_1_result_ev,26,0.058117,0.133836,0.075719,0,5,0.124211,0.133836,0.009625,0
1,SCO,HAI,match_1_on_pitch_ev,26,-0.04436,0.061912,0.106272,2,4,0.052348,0.061912,0.009564,0
2,SCO,MAR,match_2_on_pitch_ev,26,-0.04436,0.061912,0.106272,2,4,0.052348,0.061912,0.009564,0
3,SCO,BRA,match_3_on_pitch_ev,26,-0.04436,0.061912,0.106272,2,4,0.052348,0.061912,0.009564,0
3,ECU,GER,match_3_opponent_scores_ev,28,-0.063897,-0.008733,0.055164,28,9,-0.063897,-0.054338,0.009559,9
1,AUT,JOR,match_1_on_pitch_ev,25,-0.04364,0.0676,0.11124,4,6,0.058048,0.0676,0.009552,0
2,AUT,ARG,match_2_on_pitch_ev,25,-0.04364,0.0676,0.11124,4,6,0.058048,0.0676,0.009552,0
3,AUT,ALG,match_3_on_pitch_ev,25,-0.04364,0.0676,0.11124,4,6,0.058048,0.0676,0.009552,0
1,ARG,ALG,match_1_opponent_scores_ev,26,-0.0461,-0.002187,0.043913,26,7,-0.0461,-0.036566,0.009534,7
1,SUI,QAT,match_1_on_pitch_ev,26,-0.022232,0.0676,0.089832,2,9,0.058072,0.0676,0.009528,0
2,SUI,BIH,match_2_on_pitch_ev,26,-0.022232,0.0676,0.089832,2,9,0.058072,0.0676,0.009528,0
3,SUI,CAN,match_3_on_pitch_ev,26,-0.022232,0.0676,0.089832,2,9,0.058072,0.0676,0.009528,0
2,ALG,JOR,match_2_team_scores_ev,30,0.003513,0.06534,0.061827,0,5,0.053371,0.062866,0.009495,0
1,NED,JPN,match_1_opponent_scores_ev,24,-0.047272,-0.012411,0.034861,24,6,-0.047272,-0.037821,0.009451,6
3,CAN,SUI,match_3_opponent_scores_ev,28,-0.06593,-0.003272,0.062658,28,8,-0.06593,-0.056485,0.009445,8
2,NED,SWE,match_2_opponent_scores_ev,24,-0.046809,-0.01229,0.034519,24,6,-0.046809,-0.03745,0.009359,6
1,BEL,EGY,match_1_team_scores_ev,26,0.015885,0.069068,0.053183,0,4,0.059751,0.069068,0.009317,0
2,BEL,IRN,match_2_team_scores_ev,26,0.015885,0.069068,0.053183,0,4,0.059751,0.069068,0.009317,0
2,JOR,ALG,match_2_team_scores_ev,26,0.002683,0.056897,0.054214,0,7,0.047636,0.056897,0.009261,0
1,JPN,NED,match_1_team_scores_ev,26,0.028925,0.061532,0.032607,0,4,0.052289,0.061532,0.009243,0
3,SEN,IRQ,match_3_team_scores_ev,28,0.003463,0.0719,0.068437,0,6,0.062679,0.0719,0.009221,0
3,BIH,QAT,match_3_opponent_scores_ev,26,-0.050811,-0.006168,0.044643,26,7,-0.050811,-0.041641,0.00917,7
2,SWE,NED,match_2_opponent_scores_ev,26,-0.058177,-0.002809,0.055368,26,6,-0.058177,-0.049025,0.009152,6
2,COD,COL,match_2_result_ev,27,0.00308,0.064985,0.061905,0,7,0.055861,0.064985,0.009124,0
3,COD,UZB,match_3_team_scores_ev,27,0.00308,0.064985,0.061905,0,7,0.055862,0.064985,0.009123,0
3,RSA,KOR,match_3_team_scores_ev,25,0.008543,0.064163,0.05562,0,5,0.055068,0.064163,0.009095,0
3,JOR,ARG,match_3_team_scores_ev,26,0.002625,0.055662,0.053037,0,7,0.046602,0.055662,0.00906,0
1,TUR,AUS,match_1_result_ev,27,0.026993,0.122552,0.095559,0,7,0.113501,0.122552,0.009051,0
2,BRA,HAI,match_2_opponent_scores_ev,26,-0.041771,-0.006805,0.034966,26,8,-0.041771,-0.032755,0.009016,8
3,SWE,JPN,match_3_opponent_scores_ev,26,-0.056966,-0.00275,0.054216,26,6,-0.056966,-0.048005,0.008961,6
3,POR,COL,match_3_result_ev,27,0.004068,0.07796,0.073892,0,5,0.069012,0.07796,0.008948,0
1,QAT,SUI,match_1_on_pitch_ev,22,-0.0389,0.061024,0.099924,2,5,0.050068,0.059008,0.00894,0
2,QAT,CAN,match_2_on_pitch_ev,22,-0.0389,0.061024,0.099924,2,5,0.050068,0.059008,0.00894,0
3,QAT,BIH,match_3_on_pitch_ev,22,-0.0389,0.061024,0.099924,2,5,0.050068,0.059008,0.00894,0
3,BEL,NZL,match_3_team_scores_ev,26,0.015214,0.066149,0.050935,0,4,0.057225,0.066149,0.008924,0
1,TUN,SWE,match_1_opponent_scores_ev,26,-0.065389,-0.00337,0.062019,26,6,-0.065389,-0.056476,0.008913,6
3,MAR,HAI,match_3_team_scores_ev,29,0.014912,0.066062,0.05115,0,7,0.057172,0.066062,0.00889,0
1,IRQ,NOR,match_1_team_scores_ev,26,0.017269,0.061643,0.044374,0,7,0.050088,0.058888,0.0088,0
1,ALG,ARG,match_1_team_scores_ev,30,0.003254,0.060514,0.05726,0,5,0.049429,0.058222,0.008793,0
3,KOR,RSA,match_3_result_ev,26,0.013132,0.068967,0.055835,0,3,0.053712,0.062425,0.008713,0
3,IRQ,SEN,match_3_result_ev,26,0.016917,0.060386,0.043469,0,7,0.049066,0.057686,0.00862,0
2,ECU,CUW,match_2_opponent_scores_ev,28,-0.057355,-0.007839,0.049516,28,9,-0.057355,-0.048775,0.00858,9
1,CZE,KOR,match_1_result_ev,24,0.003581,0.071302,0.067721,0,9,0.062736,0.071302,0.008566,0
3,CRO,GHA,match_3_opponent_scores_ev,26,-0.050321,-0.00627,0.044051,26,5,-0.050321,-0.041759,0.008562,5
1,JPN,NED,match_1_opponent_scores_ev,26,-0.056832,-0.026716,0.030116,26,4,-0.056832,-0.048295,0.008537,4
3,TUN,NED,match_3_opponent_scores_ev,26,-0.061899,-0.00319,0.058709,26,6,-0.061899,-0.053461,0.008438,6
1,KOR,CZE,match_1_result_ev,26,0.012606,0.066201,0.053595,0,3,0.051559,0.059922,0.008363,0
1,CAN,BIH,match_1_opponent_scores_ev,28,-0.05818,-0.002888,0.055292,28,8,-0.05818,-0.049846,0.008334,8
2,RSA,CZE,match_2_team_scores_ev,25,0.00778,0.058435,0.050655,0,5,0.050153,0.058435,0.008282,0
1,JOR,AUT,match_1_team_scores_ev,26,0.002392,0.05072,0.048328,0,7,0.042464,0.05072,0.008256,0
2,JPN,TUN,match_2_opponent_scores_ev,26,-0.054835,-0.025777,0.029058,26,4,-0.054835,-0.046597,0.008238,4
2,SEN,NOR,match_2_team_scores_ev,28,0.00309,0.064164,0.061074,0,6,0.055935,0.064164,0.008229,0
2,TUN,JPN,match_2_opponent_scores_ev,26,-0.060216,-0.003103,0.057113,26,6,-0.060216,-0.052008,0.008208,6
1,ESP,CPV,match_1_team_scores_ev,26,0.025,0.092,0.067,0,4,0.0838,0.092,0.0082,0
2,ESP,KSA,match_2_team_scores_ev,26,0.025,0.092,0.067,0,4,0.0838,0.092,0.0082,0
3,ESP,URU,match_3_team_scores_ev,26,0.025,0.092,0.067,0,4,0.0838,0.092,0.0082,0
1,ALG,ARG,match_1_opponent_scores_ev,30,-0.05639,-0.003032,0.053358,30,5,-0.054254,-0.04606,0.008194,5
1,JOR,AUT,match_1_opponent_scores_ev,26,-0.050295,-0.002372,0.047923,26,7,-0.050295,-0.042108,0.008187,7
2,CAN,QAT,match_2_opponent_scores_ev,28,-0.057077,-0.002833,0.054244,28,8,-0.057077,-0.0489,0.008177,8
2,POR,UZB,match_2_team_scores_ev,27,0.003715,0.071196,0.067481,0,5,0.063024,0.071196,0.008172,0
3,GER,ECU,match_3_opponent_scores_ev,26,-0.059002,-0.020499,0.038503,26,5,-0.059002,-0.05084,0.008162,5
1,TUR,AUS,match_1_on_pitch_ev,27,-0.025736,0.06016,0.085896,3,7,0.052024,0.06016,0.008136,0
2,TUR,PAR,match_2_on_pitch_ev,27,-0.025736,0.06016,0.085896,3,7,0.052024,0.06016,0.008136,0
3,TUR,USA,match_3_on_pitch_ev,27,-0.025736,0.06016,0.085896,3,7,0.052024,0.06016,0.008136,0
1,RSA,MEX,match_1_team_scores_ev,25,0.007627,0.057282,0.049655,0,5,0.049163,0.057282,0.008119,0
2,COD,COL,match_2_team_scores_ev,27,0.002731,0.057622,0.054891,0,7,0.049532,0.057622,0.00809,0
1,POR,COD,match_1_team_scores_ev,27,0.003655,0.070044,0.066389,0,5,0.062005,0.070044,0.008039,0
1,SWE,TUN,match_1_opponent_scores_ev,26,-0.051049,-0.002464,0.048585,26,6,-0.051049,-0.043019,0.00803,6
3,MEX,CZE,match_3_opponent_scores_ev,26,-0.0529,-0.01282,0.04008,26,6,-0.0529,-0.044881,0.008019,6
2,MAR,SCO,match_2_team_scores_ev,29,0.013445,0.059566,0.046121,0,7,0.05155,0.059566,0.008016,0
1,COL,UZB,match_1_opponent_scores_ev,26,-0.052017,-0.011202,0.040815,26,6,-0.052017,-0.044044,0.007973,6
1,SEN,FRA,match_1_team_scores_ev,28,0.002984,0.061954,0.05897,0,6,0.054008,0.061954,0.007946,0
2,NZL,EGY,match_2_result_ev,26,0.026499,0.086532,0.060033,0,7,0.07861,0.086532,0.007922,0
2,IRQ,FRA,match_2_result_ev,26,0.015508,0.055356,0.039848,0,7,0.044979,0.052881,0.007902,0
3,AUT,ALG,match_3_result_ev,25,0.005229,0.096688,0.091459,0,6,0.088834,0.096688,0.007854,0
2,SCO,MAR,match_2_result_ev,26,0.004631,0.091894,0.087263,0,4,0.084041,0.091894,0.007853,0
1,URU,KSA,match_1_on_pitch_ev,26,-0.002612,0.059128,0.06174,1,5,0.05128,0.059128,0.007848,0
2,URU,CPV,match_2_on_pitch_ev,26,-0.002612,0.059128,0.06174,1,5,0.05128,0.059128,0.007848,0
3,URU,ESP,match_3_on_pitch_ev,26,-0.002612,0.059128,0.06174,1,5,0.05128,0.059128,0.007848,0
1,CPV,ESP,match_1_result_ev,26,-0.053056,-0.009137,0.043919,26,4,-0.053056,-0.045211,0.007845,4
3,COL,POR,match_3_opponent_scores_ev,26,-0.051127,-0.01101,0.040117,26,6,-0.051127,-0.043291,0.007836,6
1,PAN,GHA,match_1_result_ev,24,0.004433,0.03458,0.030147,0,3,0.026746,0.03458,0.007834,0
3,JOR,ARG,match_3_opponent_scores_ev,26,-0.04763,-0.002246,0.045384,26,7,-0.04763,-0.039876,0.007754,7
1,COD,POR,match_1_team_scores_ev,27,0.002615,0.055176,0.052561,0,7,0.047429,0.055176,0.007747,0
1,MAR,BRA,match_1_team_scores_ev,29,0.012955,0.057395,0.04444,0,7,0.049671,0.057395,0.007724,0
3,IRQ,SEN,match_3_team_scores_ev,26,0.015155,0.054098,0.038943,0,7,0.043957,0.051679,0.007722,0
2,IRQ,FRA,match_2_opponent_scores_ev,26,-0.053594,-0.015014,0.03858,26,7,-0.051198,-0.043548,0.00765,7
1,HAI,SCO,match_1_team_scores_ev,25,0.003082,0.063748,0.060666,0,7,0.0561,0.063748,0.007648,0
2,KOR,MEX,match_2_result_ev,26,0.011524,0.06052,0.048996,0,3,0.047134,0.05478,0.007646,0
1,KOR,CZE,match_1_team_scores_ev,26,0.011524,0.06052,0.048996,0,3,0.047135,0.05478,0.007645,0
1,BIH,CAN,match_1_result_ev,26,0.005142,0.042355,0.037213,0,7,0.034711,0.042355,0.007644,0
1,RSA,MEX,match_1_opponent_scores_ev,25,-0.053897,-0.007176,0.046721,25,5,-0.053897,-0.046257,0.00764,5
3,CPV,KSA,match_3_team_scores_ev,26,0.008832,0.051289,0.042457,0,4,0.043704,0.051289,0.007585,0
2,ALG,JOR,match_2_opponent_scores_ev,30,-0.051949,-0.002793,0.049156,30,5,-0.049982,-0.042433,0.007549,5
3,SCO,BRA,match_3_result_ev,26,0.00445,0.088311,0.083861,0,4,0.080764,0.088311,0.007547,0
3,CUW,CIV,match_3_result_ev,26,0.004194,0.082625,0.078431,0,7,0.07508,0.082625,0.007545,0
3,JPN,SWE,match_3_opponent_scores_ev,26,-0.050223,-0.023609,0.026614,26,4,-0.050223,-0.042679,0.007544,4
2,IRQ,FRA,match_2_team_scores_ev,26,0.014803,0.05284,0.038037,0,7,0.042935,0.050478,0.007543,0
1,COD,POR,match_1_opponent_scores_ev,27,-0.053593,-0.00254,0.051053,27,7,-0.053593,-0.046068,0.007525,7
3,IRQ,SEN,match_3_opponent_scores_ev,26,-0.052495,-0.014706,0.037789,26,7,-0.050148,-0.042654,0.007494,7
2,JOR,ALG,match_2_opponent_scores_ev,26,-0.045928,-0.002166,0.043762,26,7,-0.045928,-0.038452,0.007476,7
2,RSA,CZE,match_2_opponent_scores_ev,25,-0.052547,-0.006996,0.045551,25,5,-0.052547,-0.045099,0.007448,5
2,COL,COD,match_2_opponent_scores_ev,26,-0.048223,-0.010385,0.037838,26,6,-0.048223,-0.040833,0.00739,6
2,COD,COL,match_2_opponent_scores_ev,27,-0.052622,-0.002494,0.050128,27,7,-0.052622,-0.045234,0.007388,7
3,NZL,BEL,match_3_result_ev,26,0.024686,0.080612,0.055926,0,7,0.073232,0.080612,0.00738,0
2,GER,CIV,match_2_opponent_scores_ev,26,-0.053339,-0.018532,0.034807,26,5,-0.053339,-0.04596,0.007379,5
3,ALG,AUT,match_3_opponent_scores_ev,30,-0.050538,-0.002717,0.047821,30,5,-0.048624,-0.04128,0.007344,5
2,CPV,URU,match_2_result_ev,26,0.008538,0.049583,0.041045,0,4,0.042251,0.049583,0.007332,0
2,SUI,BIH,match_2_team_scores_ev,26,0.021321,0.090298,0.068977,0,9,0.082982,0.090298,0.007316,0
1,SEN,FRA,match_1_opponent_scores_ev,28,-0.056931,-0.002742,0.054189,28,6,-0.056931,-0.049629,0.007302,6
