match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_win_pct_fair,draw_pct_fair,away_win_pct_fair,home_win_prob,draw_prob,away_win_prob,home_win_pct,draw_pct,away_win_pct
15,KSA,URU,2026-06-16 00:00,9.50,4.50,1.43,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.102517,0.216425,0.681058,10.25,21.64,68.11,0.102517,0.216425,0.681058,10.25,21.64,68.11
16,IRN,NZL,2026-06-16 03:00,1.80,3.50,5.40,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.541237,0.278351,0.180412,54.12,27.84,18.04,0.541237,0.278351,0.180412,54.12,27.84,18.04
16,IRN,NZL,2026-06-16 03:00,1.80,3.50,5.40,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.541237,0.278351,0.180412,54.12,27.84,18.04,0.541237,0.278351,0.180412,54.12,27.84,18.04
17,FRA,SEN,2026-06-16 21:00,1.45,4.60,8.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.673036,0.212153,0.114812,67.30,21.22,11.48,0.673036,0.212153,0.114812,67.30,21.22,11.48
17,FRA,SEN,2026-06-16 21:00,1.45,4.60,8.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.673036,0.212153,0.114812,67.30,21.22,11.48,0.673036,0.212153,0.114812,67.30,21.22,11.48
18,IRQ,NOR,2026-06-17 00:00,19.00,8.00,1.18,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.051343,0.121941,0.826716,5.13,12.19,82.67,0.051343,0.121941,0.826716,5.13,12.19,82.67
18,IRQ,NOR,2026-06-17 00:00,19.00,8.00,1.18,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.051343,0.121941,0.826716,5.13,12.19,82.67,0.051343,0.121941,0.826716,5.13,12.19,82.67
19,ARG,ALG,2026-06-17 03:00,1.37,5.00,10.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.712009,0.195091,0.092900,71.20,19.51,9.29,0.712009,0.195091,0.092900,71.20,19.51,9.29
19,ARG,ALG,2026-06-17 03:00,1.37,5.00,10.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.712009,0.195091,0.092900,71.20,19.51,9.29,0.712009,0.195091,0.092900,71.20,19.51,9.29
20,AUT,JOR,2026-06-17 06:00,1.32,5.80,10.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.738934,0.168171,0.092895,73.89,16.82,9.29,0.738934,0.168171,0.092895,73.89,16.82,9.29
