player_id,player_name,team_name,position,old_holdet_price,new_holdet_price,diff
joshua_kimmich__ger,Joshua Kimmich,Tyskland,MID,5000000.0,5204000.0,204000.0
jamie_leweling__ger,Jamie Leweling,Tyskland,MID,3000000.0,2995000.0,-5000.0
aleksandar_pavlovic__ger,Aleksandar Pavlovic,Tyskland,MID,3500000.0,3604000.0,104000.0
assan_ouedraogo__ger,Assan Ouedraogo,Tyskland,MID,3000000.0,2995000.0,-5000.0
florian_wirtz__ger,Florian Wirtz,Tyskland,MID,7500000.0,7654000.0,154000.0
jamal_musiala__ger,Jamal Musiala,Tyskland,MID,6500000.0,6714000.0,214000.0
angelo_stiller__ger,Angelo Stiller,Tyskland,MID,2500000.0,2495000.0,-5000.0
felix_nmecha__ger,Felix Nmecha,Tyskland,MID,3000000.0,3244000.0,244000.0
marten_de_roon__ned,Marten de Roon,Holland,MID,2500000.0,2495000.0,-5000.0
justin_kluivert__ned,Justin Kluivert,Holland,MID,2500000.0,2495000.0,-5000.0
crysencio_summerville__ned,Crysencio Summerville,Holland,MID,3000000.0,3154000.0,154000.0
teun_koopmeiners__ned,Teun Koopmeiners,Holland,MID,3500000.0,3504000.0,4000.0
quinten_timber__ned,Quinten Timber,Holland,MID,3000000.0,3004000.0,4000.0
ryan_gravenberch__ned,Ryan Gravenberch,Holland,MID,3500000.0,3644000.0,144000.0
guus_til__ned,Guus Til,Holland,MID,2500000.0,2495000.0,-5000.0
frenkie_de_jong__ned,Frenkie de Jong,Holland,MID,3000000.0,3016000.0,16000.0
tijjani_reijnders__ned,Tijjani Reijnders,Holland,MID,6000000.0,6024000.0,24000.0
mats_wieffer__ned,Mats Wieffer,Holland,MID,2500000.0,2495000.0,-5000.0
mattias_svanberg__swe,Mattias Svanberg,Sverige,MID,2500000.0,2702000.0,202000.0
ken_sema__swe,Ken Sema,Sverige,MID,2500000.0,2495000.0,-5000.0
alexander_bernhardsson__swe,Alexander Bernhardsson,Sverige,MID,2000000.0,2064000.0,64000.0
jesper_karlstr_m__swe,Jesper Karlström,Sverige,MID,3000000.0,3054000.0,54000.0
taha_abdi_ali__swe,Taha Abdi Ali,Sverige,MID,2000000.0,1995000.0,-5000.0
yasin_ayari__swe,Yasin Ayari,Sverige,MID,3500000.0,3874000.0,374000.0
lucas_bergvall__swe,Lucas Bergvall,Sverige,MID,2500000.0,2612000.0,112000.0
