player_id,player_name,team_id,team_name,position,price,price_estimate,start_prob,start_prob_source,minute_share,weighted_group_stage_ev,optimizer_ev,holdet_player_id,holdet_team_name,holdet_price,official_holdet_master,ev_rebased_to_holdet_master,ev_match_method,ev_match_score,goal_share_norm,assist_share_norm,sot_share_norm,match_1_opponent_team,match_1_kickoff,match_1_minutes_if_start,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_clean_sheet_ev,match_1_card_ev,match_1_result_ev,match_1_team_scores_ev,match_1_opponent_scores_ev,match_1_on_pitch_ev,match_1_start_minutes_ev,match_1_total_ev_next_match,match_1_weighted_match_ev,match_2_opponent_team,match_2_kickoff,match_2_minutes_if_start,match_2_goal_ev,match_2_assist_ev,match_2_shots_on_target_ev,match_2_clean_sheet_ev,match_2_card_ev,match_2_result_ev,match_2_team_scores_ev,match_2_opponent_scores_ev,match_2_on_pitch_ev,match_2_start_minutes_ev,match_2_total_ev_next_match,match_2_weighted_match_ev,match_3_opponent_team,match_3_kickoff,match_3_minutes_if_start,match_3_goal_ev,match_3_assist_ev,match_3_shots_on_target_ev,match_3_clean_sheet_ev,match_3_card_ev,match_3_result_ev,match_3_team_scores_ev,match_3_opponent_scores_ev,match_3_on_pitch_ev,match_3_start_minutes_ev,match_3_total_ev_next_match,match_3_weighted_match_ev,total_ev_group_stage,name_norm,team_norm,position_norm,key_name_team_pos,key_name_team,key_token_team,holdet_person_id,holdet_team_id,holdet_start_price,holdet_position,holdet_is_out,score
miro_muheim__sui,Miro Muheim,SUI,Switzerland,DEF,2500000,2500000,0.446,name+team,0.02,0.216,0.216,49569,Switzerland,2500000,True,True,name_team_position,1.0,0.006,0.01,0.003,QAT,2026-06-13 21:00,74.36,0.005,0.005,0.002,0.0,0.037,0.074,0.025,-0.0202520814700306,0.004,33.157,0.093,0.093,BIH,2026-06-18 21:00,74.36,0.006,0.006,0.002,0.0,0.037,0.039,0.027,-0.0185761403587071,0.004,33.157,0.069,0.065,CAN,2026-06-24 21:00,74.36,0.005,0.006,0.002,0.0,0.037,0.038,0.027,-0.0190452070039733,0.004,33.157,0.064,0.058,0.226,miro muheim,switzerland,DEF,miro muheim|switzerland|DEF,miro muheim|switzerland,miro muheim|switzerland,48186,583,2500000,DEF,False,
adrian_bajrami__sui,Adrian Bajrami,SUI,Switzerland,DEF,2000000,2000000,0.25,holdet_official_unmatched_default,0.022727272727272728,0.0,0.0,48739,Switzerland,2000000,True,True,unmatched,0.5185185185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45580,583,2000000,DEF,False,
lucas_blondel__sui,Lucas Blondel,SUI,Switzerland,DEF,2000000,2000000,0.25,holdet_official_unmatched_default,0.022727272727272728,0.0,0.0,49453,Switzerland,2000000,True,True,unmatched,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52191,583,2000000,DEF,False,
stepan_chaloupek__cze,Stepan Chaloupek,CZE,Czechia,DEF,2000000,2000000,0.25,holdet_official_unmatched_default,0.022727272727272728,0.0,0.0,49863,Czechia,2000000,True,True,unmatched,0.46153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48246,584,2000000,DEF,False,
robin_hranac__cze,Robin Hranac,CZE,Czechia,DEF,2500000,2500000,0.676,team_minute_rank,0.046,0.422,0.422,49780,Czechia,2500000,True,True,name_team_position,1.0,0.01,0.014,0.005,KOR,2026-06-12 04:00,74.819,0.011,0.01,0.005,0.0,0.056,0.05,0.036,-0.0321752314968871,0.031,50.611,0.129,0.129,RSA,2026-06-18 18:00,74.819,0.013,0.012,0.006,0.0,0.056,0.058,0.04,-0.0288459313381614,0.031,50.611,0.166,0.157,MEX,2026-06-25 03:00,74.819,0.012,0.012,0.006,0.0,0.056,0.052,0.039,-0.0302499330797591,0.031,50.611,0.151,0.135,0.445,robin hranac,czechia,DEF,robin hranac|czechia|DEF,robin hranac|czechia,hranac robin|czechia,45615,584,2500000,DEF,False,
ladislav_krejci__cze,Ladislav Krejci,CZE,Czechia,DEF,3000000,3000000,0.25,holdet_official_unmatched_default,0.022727272727272728,0.0,0.0,49419,Czechia,3000000,True,True,unmatched,0.5925925925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45617,584,3000000,DEF,False,
david_jurasek__cze,David Jurasek,CZE,Czechia,DEF,2000000,2000000,0.898,team_minute_rank,0.063,1.65,1.65,48993,Czechia,2000000,True,True,name_team_position,1.0,0.011,0.015,0.005,KOR,2026-06-12 04:00,75.136,0.016,0.015,0.007,0.142,0.075,0.067,0.048,-0.042873694090974,0.058,67.439,0.511,0.511,RSA,2026-06-18 18:00,75.136,0.019,0.018,0.008,0.178,0.075,0.077,0.054,-0.0384373811290595,0.058,67.439,0.642,0.61,MEX,2026-06-25 03:00,75.136,0.018,0.017,0.008,0.163,0.075,0.069,0.052,-0.0403082220949833,0.058,67.439,0.587,0.529,1.74,david jurasek,czechia,DEF,david jurasek|czechia|DEF,david jurasek|czechia,david jurasek|czechia,44830,584,2000000,DEF,False,
martin_vitik__cze,Martin Vitik,CZE,Czechia,DEF,2500000,2500000,0.931,team_minute_rank,0.091,1.971,1.971,49517,Czechia,2500000,True,True,name_team_position,1.0,0.012,0.017,0.006,KOR,2026-06-12 04:00,75.636,0.018,0.017,0.008,0.176,0.078,0.07,0.051,-0.0447633481139805,0.062,70.411,0.611,0.611,RSA,2026-06-18 18:00,75.636,0.022,0.02,0.01,0.221,0.078,0.08,0.056,-0.040131505076724,0.062,70.411,0.767,0.729,MEX,2026-06-25 03:00,75.636,0.02,0.019,0.009,0.202,0.078,0.072,0.055,-0.0420848031817542,0.062,70.411,0.702,0.632,2.08,martin vitik,czechia,DEF,martin vitik|czechia|DEF,martin vitik|czechia,martin vitik|czechia,45767,584,2500000,DEF,False,
jaroslav_zeleny__cze,Jaroslav Zeleny,CZE,Czechia,DEF,2500000,2500000,0.676,team_minute_rank,0.046,0.422,0.422,49256,Czechia,2500000,True,True,name_team_position,1.0,0.01,0.014,0.005,KOR,2026-06-12 04:00,74.819,0.011,0.01,0.005,0.0,0.056,0.05,0.036,-0.0321752314968871,0.031,50.611,0.129,0.129,RSA,2026-06-18 18:00,74.819,0.013,0.012,0.006,0.0,0.056,0.058,0.04,-0.0288459313381614,0.031,50.611,0.166,0.157,MEX,2026-06-25 03:00,74.819,0.012,0.012,0.006,0.0,0.056,0.052,0.039,-0.0302499330797591,0.031,50.611,0.151,0.135,0.445,jaroslav zeleny,czechia,DEF,jaroslav zeleny|czechia|DEF,jaroslav zeleny|czechia,jaroslav zeleny|czechia,39052,584,2500000,DEF,False,
tomas_holes__cze,Tomas Holes,CZE,Czechia,DEF,2000000,2000000,0.25,holdet_official_unmatched_default,0.022727272727272728,0.0,0.0,49902,Czechia,2000000,True,True,unmatched,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39060,584,2000000,DEF,False,
