match_id,home,away,kickoff_dk,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_strength_advantage,away_strength_advantage,home_goal_multiplier,away_goal_multiplier,home_assist_multiplier,away_assist_multiplier,home_clean_sheet_prob_fair,away_clean_sheet_prob_fair,home_clean_sheet_multiplier,away_clean_sheet_multiplier,source
11,CIV,ECU,2026-06-15 01:00,0.2869,0.3422,0.3709,-0.0840,0.0840,0.9412,1.0588,0.9580,1.0420,0.3119,0.4226,0.9866,1.1360,match_odds_probs+bet365_clean_sheet
12,SWE,TUN,2026-06-15 04:00,0.4974,0.2785,0.2241,0.2733,-0.2733,1.1913,0.8087,1.1366,0.8634,0.4110,0.2500,1.1204,0.9030,match_odds_probs+bet365_clean_sheet
13,ESP,CPV,2026-06-15 18:00,0.8874,0.0751,0.0375,0.8498,-0.8498,1.3500,0.7500,1.2500,0.8000,0.6250,0.0509,1.4093,0.6343,match_odds_probs+bet365_clean_sheet
14,BEL,EGY,2026-06-15 21:00,0.6009,0.2434,0.1558,0.4451,-0.4451,1.3116,0.7500,1.2226,0.8000,0.3923,0.1717,1.0951,0.7973,match_odds_probs+bet365_clean_sheet
15,KSA,URU,2026-06-16 00:00,0.1153,0.2131,0.6715,-0.5562,0.5562,0.7500,1.3500,0.8000,1.2500,0.1573,0.4865,0.7779,1.2223,match_odds_probs+bet365_clean_sheet
16,IRN,NZL,2026-06-16 03:00,0.5233,0.2781,0.1986,0.3246,-0.3246,1.2273,0.7727,1.1623,0.8377,0.4110,0.2500,1.1204,0.9030,match_odds_probs+bet365_clean_sheet
17,FRA,SEN,2026-06-16 21:00,0.6637,0.2135,0.1228,0.5409,-0.5409,1.3500,0.7500,1.2500,0.8000,0.4624,0.1573,1.1897,0.7779,match_odds_probs+bet365_clean_sheet
18,IRQ,NOR,2026-06-17 00:00,0.0574,0.1300,0.8126,-0.7553,0.7553,0.7500,1.3500,0.8000,1.2500,0.0960,0.5585,0.6951,1.3195,match_odds_probs+bet365_clean_sheet
19,ARG,ALG,2026-06-17 03:00,0.7072,0.1952,0.0976,0.6096,-0.6096,1.3500,0.7500,1.2500,0.8000,0.5135,0.1573,1.2588,0.7779,match_odds_probs+bet365_clean_sheet
20,AUT,JOR,2026-06-17 06:00,0.7445,0.1587,0.0968,0.6477,-0.6477,1.3500,0.7500,1.2500,0.8000,0.4865,0.1192,1.2223,0.7265,match_odds_probs+bet365_clean_sheet
21,POR,COD,2026-06-17 19:00,0.7519,0.1672,0.0808,0.6711,-0.6711,1.3500,0.7500,1.2500,0.8000,0.5000,0.0960,1.2405,0.6951,match_odds_probs+bet365_clean_sheet
22,ENG,CRO,2026-06-17 22:00,0.5409,0.2919,0.1672,0.3737,-0.3737,1.2616,0.7500,1.1869,0.8131,0.4118,0.2077,1.1214,0.8460,match_odds_probs+bet365_clean_sheet
23,GHA,PAN,2026-06-18 01:00,0.4545,0.2861,0.2594,0.1951,-0.1951,1.1366,0.8634,1.0976,0.9024,0.3750,0.2500,1.0718,0.9030,match_odds_probs+bet365_clean_sheet
24,UZB,COL,2026-06-18 04:00,0.1081,0.2070,0.6850,-0.5769,0.5769,0.7500,1.3500,0.8000,1.2500,0.1573,0.5000,0.7779,1.2405,match_odds_probs+bet365_clean_sheet
25,CZE,RSA,2026-06-18 18:00,0.5609,0.2440,0.1952,0.3657,-0.3657,1.2560,0.7500,1.1828,0.8172,0.4110,0.2500,1.1204,0.9030,match_odds_probs+bet365_clean_sheet
26,SUI,BIH,2026-06-18 21:00,0.6097,0.2379,0.1524,0.4572,-0.4572,1.3201,0.7500,1.2286,0.8000,0.4624,0.1883,1.1897,0.8198,match_odds_probs+bet365_clean_sheet
27,CAN,QAT,2026-06-19 00:00,0.7678,0.1625,0.0697,0.6982,-0.6982,1.3500,0.7500,1.2500,0.8000,0.5774,0.1459,1.3451,0.7624,match_odds_probs+bet365_clean_sheet
28,MEX,KOR,2026-06-19 03:00,0.4856,0.2775,0.2369,0.2487,-0.2487,1.1741,0.8259,1.1244,0.8756,0.4415,0.2337,1.1615,0.8810,match_odds_probs+bet365_clean_sheet
29,USA,AUS,2026-06-19 21:00,0.6084,0.2238,0.1678,0.4406,-0.4406,1.3084,0.7500,1.2203,0.8000,0.4226,0.2077,1.1360,0.8460,match_odds_probs+bet365_clean_sheet
30,SCO,MAR,2026-06-20 00:00,0.1835,0.2701,0.5464,-0.3629,0.3629,0.7500,1.2540,0.8186,1.1814,0.2500,0.4110,0.9030,1.1204,match_odds_probs+bet365_clean_sheet
31,BRA,HAI,2026-06-20 03:00,0.8734,0.0889,0.0376,0.8358,-0.8358,1.3500,0.7500,1.2500,0.8000,0.6453,0.0461,1.4367,0.6278,match_odds_probs+bet365_clean_sheet
32,TUR,PAR,2026-06-20 06:00,0.4691,0.2870,0.2439,0.2252,-0.2252,1.1576,0.8424,1.1126,0.8874,0.3750,0.2766,1.0718,0.9389,match_odds_probs+bet365_clean_sheet
33,NED,SWE,2026-06-20 19:00,0.5849,0.2397,0.1755,0.4094,-0.4094,1.2866,0.7500,1.2047,0.8000,0.4226,0.1883,1.1360,0.8198,match_odds_probs+bet365_clean_sheet
34,GER,CIV,2026-06-20 22:00,0.6054,0.2321,0.1625,0.4430,-0.4430,1.3101,0.7500,1.2215,0.8000,0.4226,0.1573,1.1360,0.7779,match_odds_probs+bet365_clean_sheet
35,ECU,CUW,2026-06-21 02:00,0.7984,0.1443,0.0573,0.7411,-0.7411,1.3500,0.7500,1.2500,0.8000,0.5585,0.1192,1.3195,0.7265,match_odds_probs+bet365_clean_sheet
36,TUN,JPN,2026-06-21 06:00,0.1751,0.2581,0.5668,-0.3917,0.3917,0.7500,1.2742,0.8041,1.1959,0.2337,0.4415,0.8810,1.1615,match_odds_probs+bet365_clean_sheet
37,ESP,KSA,2026-06-21 18:00,0.8636,0.1027,0.0337,0.8300,-0.8300,1.3500,0.7500,1.2500,0.8000,0.6627,0.0741,1.4500,0.6655,match_odds_probs+bet365_clean_sheet
38,BEL,IRN,2026-06-21 21:00,0.6923,0.1992,0.1085,0.5839,-0.5839,1.3500,0.7500,1.2500,0.8000,0.5000,0.1459,1.2405,0.7624,match_odds_probs+bet365_clean_sheet
39,URU,CPV,2026-06-22 00:00,0.6791,0.2066,0.1143,0.5649,-0.5649,1.3500,0.7500,1.2500,0.8000,0.5000,0.1573,1.2405,0.7779,match_odds_probs+bet365_clean_sheet
40,NZL,EGY,2026-06-22 03:00,0.1803,0.2632,0.5565,-0.3761,0.3761,0.7500,1.2633,0.8119,1.1881,0.2170,0.4624,0.8585,1.1897,match_odds_probs+bet365_clean_sheet
41,ARG,AUT,2026-06-22 19:00,0.5908,0.2422,0.1670,0.4237,-0.4237,1.2966,0.7500,1.2119,0.8000,0.4226,0.1883,1.1360,0.8198,match_odds_probs+bet365_clean_sheet
42,FRA,IRQ,2026-06-22 23:00,0.8687,0.0935,0.0378,0.8310,-0.8310,1.3500,0.7500,1.2500,0.8000,0.6627,0.0643,1.4500,0.6523,match_odds_probs+bet365_clean_sheet
43,NOR,SEN,2026-06-23 02:00,0.4470,0.2745,0.2784,0.1686,-0.1686,1.1180,0.8820,1.0843,0.9157,0.3373,0.2337,1.0210,0.8810,match_odds_probs+bet365_clean_sheet
44,JOR,ALG,2026-06-23 05:00,0.1396,0.2172,0.6431,-0.5035,0.5035,0.7500,1.3500,0.8000,1.2500,0.1883,0.4226,0.8198,1.1360,match_odds_probs+bet365_clean_sheet
45,POR,UZB,2026-06-23 19:00,0.7673,0.1571,0.0756,0.6918,-0.6918,1.3500,0.7500,1.2500,0.8000,0.5000,0.0960,1.2405,0.6951,match_odds_probs+bet365_clean_sheet
46,ENG,GHA,2026-06-23 22:00,0.7129,0.1901,0.0970,0.6160,-0.6160,1.3500,0.7500,1.2500,0.8000,0.5000,0.1192,1.2405,0.7265,match_odds_probs+bet365_clean_sheet
