classification,holdet_player_id,holdet_player_name,holdet_team_id,holdet_position,closest_pool_player_id,closest_pool_player_name,closest_pool_team_id,closest_pool_position,suggested_action,approval,note,reason,source_file
needs_manual_review,50292,David Zima,CZE,DEF,david_jurasek__holdet_584,David Jurasek,CZE,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.859,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,49673,Nuno Tavares,POR,DEF,nuno_mendes__por,Nuno Mendes,POR,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.859,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,48855,Antonio Silva,POR,DEF,rui_silva__por,Rui Silva,POR,GK,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.836,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50312,David Affengruber,AUT,DEF,david_alaba__aut,David Alaba,AUT,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49235,Ivan Smolcic,CRO,DEF,ivan_peri_i__cro,Ivan Perisic,CRO,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49541,Maximilian Mittelstädt,GER,DEF,maximilian_beier__ger,Maximilian Beier,GER,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.884,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,49923,Victor Eriksson,SWE,DEF,victor_lindel_f__swe,Victor Lindelöf,SWE,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.850,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50319,Mohamed Amine Tougai,ALG,DEF,mohamed_amoura__alg,Mohamed Amoura,ALG,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.965,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50275,Lisandro Martinez,ARG,DEF,emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=1.024,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49173,Harry Maguire,ENG,DEF,harry_kane__eng,Harry Kane,ENG,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.896,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
