player_id,player_name,team_id,position,start_prob,conditional_start_prob,appearance_prob,availability_prob,availability_risk,round_specific_rotation_risk,start_prob_source,minute_share,weighted_group_stage_ev,total_ev_group_stage,team_ev_share,team_position_ev_share,team_position_rank,position_slot_target,inside_expected_slot_band,start_signal_raw,start_signal_rank_adjusted,start_signal_tier
isma_l_bennacer__alg,Ismael Bennacer,ALG,MID,0.6012,0.6991,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.054655,1.036771,1.08675,0.03815748935835217,0.15242991967800631,2,4,1,0.5563024597575043,0.6063024597575043,Tvivlsom starter
ramiz_zerrouki__alg,Ramiz Zerrouki,ALG,MID,0.5767,0.6572,0.0,0.6503,high_risk,,transfermarkt_availability_split_2026_06_05,0.052427,1.012409,1.077007,0.03726086632805118,0.14884812803530448,3,4,1,0.5339405989259296,0.5839405989259296,Tvivlsom starter
hicham_boudaoui__alg,Hicham Boudaoui,ALG,MID,0.5508,0.6405,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.050073,1.033117,1.156116,0.03802300694505606,0.15189269503871428,4,4,1,0.5111120908436805,0.5611120908436805,Tvivlsom starter
himad_abdelli__alg,Himad Abdelli,ALG,MID,0.5084,0.5911,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.046218,0.82999,0.829006,0.030547087633179086,0.12202820973344013,5,4,0,0.4696189841227531,0.4696189841227531,Bænk/rotation
fares_cha_bi__alg,Fares Chaibi,ALG,MID,0.3454,0.3956,0.0,0.6374,high_risk,,transfermarkt_availability_split_2026_06_05,0.0314,0.741655,0.906982,0.02729599185361924,0.10904087023922521,6,4,0,0.3221409309474337,0.24214093094743366,Langt fra start
ibrahim_maza__alg,Ibrahim Maza,ALG,MID,0.3259,0.3769,0.0,0.6133,high_risk,,transfermarkt_availability_split_2026_06_05,0.029627,1.208184,1.498703,0.04446620143014354,0.17763169501871903,7,4,0,0.312783953552048,0.232783953552048,Langt fra start
yassine_titraoui__alg,Yassine Titraoui,ALG,MID,0.2481,0.2885,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.022555,0.156855,0.153172,0.005772917060087839,0.023061404158771493,8,4,0,0.2248656755823256,0.1448656755823256,Langt fra start
adil_aouchiche__alg,Adil Aouchiche,ALG,MID,0.0464,0.05,0.0,0.7934,unknown,,transfermarkt_availability_split_2026_06_05,0.004218,0.073083,0.114908,0.0026897586784125436,0.01074493385697298,9,4,0,0.04281373038559882,0.0,Langt fra start
cristian_romero__arg,Cristian Romero,ARG,DEF,0.9113,0.9695,0.0,0.8286,medium_risk,,transfermarkt_availability_split_2026_06_05,0.082845,3.704479,4.172877,0.0707348225925459,0.19056532453800828,1,4,1,0.7996822735834281,0.8496822735834282,Klar starter
julio_soler__arg,Julio Soler,ARG,DEF,0.8253,0.9425,0.0,0.6449,high_risk,,transfermarkt_availability_split_2026_06_05,0.075027,2.936701,3.247728,0.056074558458113044,0.15106938901154343,2,4,1,0.72166566682406,0.77166566682406,Sandsynlig starter
nahuel_molina__arg,Nahuel Molina,ARG,DEF,0.6634,0.6948,0.0,0.8708,medium_risk,,transfermarkt_availability_split_2026_06_05,0.060309,3.067004,3.102864,0.05856261672171138,0.15777241890678,3,4,1,0.5844043727267635,0.6344043727267635,Tvivlsom starter
nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,DEF,0.6441,0.68,0.0,0.8489,medium_risk,,transfermarkt_availability_split_2026_06_05,0.058555,2.973499,3.005793,0.056777194375811725,0.1529623469179993,4,4,1,0.5673780944105905,0.6173780944105905,Tvivlsom starter
gonzalo_montiel__arg,Gonzalo Montiel,ARG,DEF,0.5498,0.5849,0.0,0.8283,medium_risk,,transfermarkt_availability_split_2026_06_05,0.049982,2.509735,2.645545,0.04792189670377486,0.12910545984452826,5,4,0,0.4841366408196416,0.4841366408196416,Bænk/rotation
leonardo_balerdi__arg,Leonardo Balerdi,ARG,DEF,0.4789,0.5569,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.043536,2.167842,2.151768,0.04139365327180149,0.11151784482436665,6,4,0,0.4215914671460267,0.3415914671460267,Langt fra start
nicol_s_otamendi__arg,Nicolas Otamendi,ARG,DEF,0.4272,0.467,0.0,0.7565,medium_risk,,transfermarkt_availability_split_2026_06_05,0.038836,2.080158,2.125283,0.039719379457803676,0.10700721595677401,7,4,0,0.37697069056856763,0.2969706905685676,Langt fra start
lionel_messi__arg,Lionel Messi,ARG,FWD,0.6783,0.7202,0.0,0.8338,medium_risk,,transfermarkt_availability_split_2026_06_05,0.061664,4.113359,4.539844,0.07854214293682109,0.3108210854469539,1,2,1,0.6440859764761133,0.6940859764761134,Sandsynlig starter
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,0.6367,0.6718,0.0,0.8511,medium_risk,,transfermarkt_availability_split_2026_06_05,0.057882,3.218102,3.16787,0.06144774313870241,0.24317205396344282,2,2,1,0.5988376721809434,0.6488376721809435,Tvivlsom starter
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,0.623,0.6434,0.0,0.9092,medium_risk,,transfermarkt_availability_split_2026_06_05,0.056636,4.044095,4.677976,0.07721958806417906,0.30558723358466866,3,2,0,0.5939510878997596,0.5939510878997596,Tvivlsom starter
nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,0.5303,0.6167,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.048209,0.443354,0.378104,0.008465580864595427,0.0335015182281072,4,2,0,0.4787731524093425,0.39877315240934247,Bænk/rotation
giuliano_simeone__arg,Giuliano Simeone,ARG,FWD,0.2962,0.3298,0.0,0.7089,medium_risk,,transfermarkt_availability_split_2026_06_05,0.026927,1.167774,1.096337,0.02229794978408238,0.0882414547907759,5,2,0,0.2756418451166958,0.1956418451166958,Langt fra start
jos_manuel_l_pez__arg,Jose Manuel Lopez,ARG,FWD,0.046,0.05,0.0,0.7736,medium_risk,,transfermarkt_availability_split_2026_06_05,0.004182,0.247164,0.397107,0.004719449534270275,0.018676653986051523,6,2,0,0.043396119769084605,0.0,Langt fra start
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,0.9526,0.9526,0.0,0.8399,medium_risk,,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,0.0866,4.152326,4.56,0.07928619461911265,0.9592919724285278,1,1,1,0.9122015069738084,0.9622015069738085,Klar starter
