player_id,player_name,team_id,position,start_prob,conditional_start_prob,appearance_prob,availability_prob,availability_risk,round_specific_rotation_risk,start_prob_source,minute_share,weighted_group_stage_ev,total_ev_group_stage,team_ev_share,team_position_ev_share,team_position_rank,position_slot_target,inside_expected_slot_band,start_signal_raw,start_signal_rank_adjusted,start_signal_tier
rayan_a_t_nouri__alg,Rayan Ait-Nouri,ALG,DEF,0.8435,0.97,0.0,0.6274,high_risk,,transfermarkt_availability_split_2026_06_07,0.076682,2.410297,2.145307,0.09106325969232548,0.18892135514695918,1,4,1,0.7427212984993122,0.7927212984993123,Sandsynlig starter
zineddine_belaid__alg,Zineddine Belaid,ALG,DEF,0.7139,0.8301,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.0649,1.895712,1.945687,0.07162176037138068,0.14858769687235734,2,4,1,0.6272018577058048,0.6772018577058049,Tvivlsom starter
a_ssa_mandi__alg,Aissa Mandi,ALG,DEF,0.6633,0.7278,0.0,0.7467,medium_risk,,transfermarkt_availability_split_2026_06_07,0.0603,2.066717,1.793555,0.07808248812554795,0.16199123026965476,3,4,1,0.5857172474332429,0.635717247433243,Tvivlsom starter
ramy_bensebaini__alg,Ramy Bensebaini,ALG,DEF,0.6387,0.721,0.0,0.6739,medium_risk,,transfermarkt_availability_split_2026_06_07,0.058064,1.969947,1.709634,0.07442642763158129,0.1544063062799675,4,4,1,0.5637999520095758,0.6137999520095758,Tvivlsom starter
achref_abada__alg,Achref Abada,ALG,DEF,0.5495,0.639,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.049955,1.018675,1.285091,0.03848648779261629,0.07984470853771491,5,4,0,0.4784837952434023,0.4784837952434023,Bænk/rotation
samir_chergui__alg,Samir Chergui,ALG,DEF,0.5347,0.6117,0.0,0.6404,high_risk,,transfermarkt_availability_split_2026_06_07,0.048609,0.950868,1.172313,0.035924676343671406,0.07452993184071456,6,4,0,0.46520222700125496,0.38520222700125495,Bænk/rotation
rafik_belghali__alg,Rafik Belghali,ALG,DEF,0.3883,0.4278,0.0,0.7363,medium_risk,,transfermarkt_availability_split_2026_06_07,0.0353,1.108549,1.190937,0.04188201100058114,0.0868891175348127,7,4,0,0.3418970123035103,0.26189701230351026,Langt fra start
mohamed_amine_tougai__alg,Mohamed Amine Tougai,ALG,DEF,0.3367,0.3862,0.0,0.6339,high_risk,,transfermarkt_availability_split_2026_06_07,0.030609,0.569737,0.682657,0.021525193114096085,0.044656524120207215,8,4,0,0.29265491206772554,0.21265491206772552,Langt fra start
jaouen_hadjam__alg,Jaouen Hadjam,ALG,DEF,0.3317,0.3857,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.030155,0.767701,0.670291,0.02900445693168019,0.06017312939761187,9,4,0,0.2903185357863452,0.21031853578634518,Langt fra start
youcef_atal__alg,Youcef Atal,ALG,DEF,0.0,0.0,0.0,0.7034,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,10,4,0,0.0,0.0,Langt fra start
mehdi_dorval__alg,Mehdi Dorval,ALG,DEF,0.0,0.0,0.0,0.6622,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,11,4,0,0.0,0.0,Langt fra start
sohaib_nair__alg,Sohaib Nair,ALG,DEF,0.0,0.0,0.0,0.8276,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,12,4,0,0.0,0.0,Langt fra start
riyad_mahrez__alg,Riyad Mahrez,ALG,FWD,0.6319,0.7106,0.0,0.6834,medium_risk,,transfermarkt_availability_split_2026_06_07,0.057445,2.657649,2.335602,0.10040844802862434,0.42666028380925086,1,2,1,0.6158496233214741,0.6658496233214741,Tvivlsom starter
mohamed_amoura__alg,Mohamed Amoura,ALG,FWD,0.572,0.6373,0.0,0.7076,medium_risk,,transfermarkt_availability_split_2026_06_07,0.052,2.183364,2.033258,0.08248952014414596,0.3505183355284694,2,2,1,0.553283125038057,0.603283125038057,Tvivlsom starter
amine_gouiri__alg,Amine Gouiri,ALG,FWD,0.45,0.55,0.0,0.6346,medium_risk,high,manual_context_override_safe,0.073109,0.6958280278537677,0.330969,0.026289029277987878,0.11170857545391429,3,2,0,0.5174529244597554,0.5174529244597554,Bænk/rotation
adil_boulbina__alg,Adil Boulbina,ALG,FWD,0.0917,0.1066,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.008336,0.297679,0.414704,0.011246589147292537,0.04778953376614218,4,2,0,0.08771204697567779,0.007712046975677789,Langt fra start
ahmed_nadhir_benbouali__alg,Ahmed Nadhir Benbouali,ALG,FWD,0.047,0.05,0.0,0.8288,medium_risk,,transfermarkt_availability_split_2026_06_07,0.004273,0.191451,0.341094,0.007233196627368083,0.03073563815069819,5,2,0,0.04568993482876014,0.0,Langt fra start
anis_hadj_moussa__alg,Anis Hadj Moussa,ALG,FWD,0.043,0.05,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.003909,0.128276,0.173866,0.004846386441294473,0.020593492431060484,7,2,0,0.040917101993429315,0.0,Langt fra start
fares_ghedjemis__alg,Fares Ghedjemis,ALG,FWD,0.047,0.05,0.0,0.8288,medium_risk,,transfermarkt_availability_split_2026_06_07,0.004273,0.074711,0.114915,0.002822650982378242,0.011994140860464622,6,2,0,0.04349052396692365,0.0,Langt fra start
baghdad_bounedjah__alg,Baghdad Bounedjah,ALG,FWD,0.0,0.0,0.0,0.6,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,8,2,0,0.0,0.0,Langt fra start
amin_chiakha__alg,Amin Chiakha,ALG,FWD,0.0,0.0,0.0,0.6,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,9,2,0,0.0,0.0,Langt fra start
luca_zidane__alg,Luca Zidane,ALG,GK,0.782,0.782,0.0,0.6803,medium_risk,,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.071091,1.988224,2.146082,0.07511694966990132,0.8605517818080459,1,1,1,0.7566440256642997,0.8066440256642997,Sandsynlig starter
melvin_feycal_mastil__alg,Melvin Feycal Mastil,ALG,GK,0.1929,0.1929,0.0,0.8288,medium_risk,,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.017536,0.322182,0.426174,0.012172335249221492,0.13944821819195416,2,1,0,0.17904343858165647,0.17904343858165647,Langt fra start
oussama_benbout__alg,Oussama Benbout,ALG,GK,0.0251,0.0251,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.002282,0.0,0.0,0.0,0.0,3,1,0,0.021404,0.0,Langt fra start
alexis_guendouz__alg,Alexis Guendouz,ALG,GK,0.0,0.0,0.0,0.6,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,4,1,0,0.0,0.0,Langt fra start
anthony_mandrea__alg,Anthony Mandrea,ALG,GK,0.0,0.0,0.0,0.6,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,5,1,0,0.0,0.0,Langt fra start
ramiz_zerrouki__alg,Ramiz Zerrouki,ALG,MID,0.5785,0.6589,0.0,0.6513,medium_risk,,transfermarkt_availability_split_2026_06_07,0.052591,1.1012,1.115474,0.04160435895376745,0.2129645601319994,1,4,1,0.5425136576589328,0.5925136576589328,Tvivlsom starter
nabil_bentaleb__alg,Nabil Bentaleb,ALG,MID,0.5835,0.6784,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.053045,0.220327,0.193507,0.008324158731571668,0.042609737232294796,2,4,1,0.5273542907427986,0.5773542907427986,Tvivlsom starter
hicham_boudaoui__alg,Hicham Boudaoui,ALG,MID,0.5497,0.6391,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.049973,1.118703,1.199303,0.04226563855308437,0.21634952080761727,3,4,1,0.5171178957088367,0.5671178957088368,Tvivlsom starter
houssem_aouar__alg,Houssem Aouar,ALG,MID,0.45,0.55,0.0,0.6,medium_risk,high,manual_context_override_safe,0.070309,0.4603783941039566,0.3053,0.017393523395259743,0.08903403759046984,4,4,1,0.5057850839252505,0.5557850839252505,Tvivlsom starter
fares_cha_bi__alg,Fares Chaibi,ALG,MID,0.3472,0.3974,0.0,0.6386,high_risk,,transfermarkt_availability_split_2026_06_07,0.031564,0.799769,0.938267,0.03021601576107486,0.1546698631422167,5,4,0,0.32869807645738924,0.32869807645738924,Langt fra start
ibrahim_maza__alg,Ibrahim Maza,ALG,MID,0.324,0.3745,0.0,0.6144,high_risk,,transfermarkt_availability_split_2026_06_07,0.029455,1.309763,1.557447,0.049484062837235124,0.25329922009822736,6,4,0,0.3192935814092688,0.23929358140926876,Langt fra start
yassine_titraoui__alg,Yassine Titraoui,ALG,MID,0.2481,0.2885,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.022555,0.160673,0.15318,0.006070375196311912,0.03107306099717467,7,4,0,0.2257225161025097,0.1457225161025097,Langt fra start
isma_l_bennacer__alg,Ismael Bennacer,ALG,MID,0.0,0.0,0.0,0.6,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,8,4,0,0.0,0.0,Langt fra start
himad_abdelli__alg,Himad Abdelli,ALG,MID,0.0,0.0,0.0,0.6,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,9,4,0,0.0,0.0,Langt fra start
adil_aouchiche__alg,Adil Aouchiche,ALG,MID,0.0,0.0,0.0,0.7934,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,10,4,0,0.0,0.0,Langt fra start
nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,DEF,0.8693,0.9164,0.0,0.8531,low_risk,,transfermarkt_availability_split_2026_06_07,0.079027,3.749249,4.124391,0.06582518557159302,0.18287663548849062,1,4,1,0.7628539228274286,0.8128539228274286,Sandsynlig starter
cristian_romero__arg,Cristian Romero,ARG,DEF,0.6811,0.7231,0.0,0.8342,medium_risk,,transfermarkt_availability_split_2026_06_07,0.061918,3.346897,3.434868,0.05876113219314267,0.16325116381614632,2,4,1,0.6000551729912718,0.6500551729912718,Tvivlsom starter
nahuel_molina__arg,Nahuel Molina,ARG,DEF,0.6568,0.6959,0.0,0.8394,medium_risk,,transfermarkt_availability_split_2026_06_07,0.059709,3.184167,3.228082,0.055904098038285166,0.15531370356929633,3,4,1,0.5783975752588438,0.6283975752588439,Tvivlsom starter
nicol_s_otamendi__arg,Nicolas Otamendi,ARG,DEF,0.6444,0.7025,0.0,0.7637,medium_risk,,transfermarkt_availability_split_2026_06_07,0.058582,3.143981,3.091004,0.05519855649986507,0.1533535562241239,4,4,1,0.5675932834474057,0.6175932834474057,Tvivlsom starter
gonzalo_montiel__arg,Gonzalo Montiel,ARG,DEF,0.5505,0.5849,0.0,0.8317,medium_risk,,transfermarkt_availability_split_2026_06_07,0.050045,2.671119,2.852384,0.046896566181336044,0.1302888273649954,5,4,0,0.4847987110455663,0.4847987110455663,Bænk/rotation
leonardo_balerdi__arg,Leonardo Balerdi,ARG,DEF,0.4789,0.5569,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.043536,2.271158,2.257271,0.03987449134810946,0.11077998119163847,6,4,0,0.42144172268656926,0.34144172268656925,Langt fra start
lisandro_martinez__arg,Lisandro Martinez,ARG,DEF,0.3667,0.4037,0.0,0.7379,medium_risk,,transfermarkt_availability_split_2026_06_07,0.033336,1.390776,1.359484,0.024417713597714597,0.06783770178991606,7,4,0,0.32069865585887736,0.24069865585887734,Langt fra start
facundo_medina__arg,Facundo Medina,ARG,DEF,0.2406,0.2798,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.021873,0.744173,0.840406,0.013065370110752605,0.03629843055539297,8,4,0,0.20945011156107693,0.12945011156107694,Langt fra start
julio_soler__arg,Julio Soler,ARG,DEF,0.0,0.0,0.0,0.6449,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,9,4,0,0.0,0.0,Langt fra start
lionel_messi__arg,Lionel Messi,ARG,FWD,0.84,0.92,0.92,0.91,medium_risk,medium,manual_context_override_safe,0.076364,5.684437,6.868974,0.09980108560275125,0.3418802025743091,1,2,1,0.793243578264447,0.8432435782644471,Klar starter
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,0.6282,0.6482,0.0,0.9122,medium_risk,,transfermarkt_availability_split_2026_06_07,0.057109,4.935886,5.847934,0.0866588513886989,0.29685995386415515,2,2,1,0.5981870348536429,0.6481870348536429,Tvivlsom starter
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,0.6306,0.6727,0.0,0.8213,medium_risk,,transfermarkt_availability_split_2026_06_07,0.057327,3.843021,3.912207,0.0674715310934347,0.23113156113390368,3,2,0,0.5924265193014653,0.5924265193014653,Tvivlsom starter
nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,0.5303,0.6167,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07,0.048209,0.443367,0.378115,0.007784149586042561,0.026665507907777625,4,2,0,0.47801959618358386,0.39801959618358385,Bænk/rotation
giuliano_simeone__arg,Giuliano Simeone,ARG,FWD,0.3193,0.3528,0.0,0.7285,medium_risk,,transfermarkt_availability_split_2026_06_07,0.029027,1.43909,1.350036,0.02526595761023709,0.08655147039586551,5,2,0,0.2963031171661033,0.2163031171661033,Langt fra start
jos_manuel_l_pez__arg,Jose Manuel Lopez,ARG,FWD,0.0465,0.05,0.0,0.7975,medium_risk,,transfermarkt_availability_split_2026_06_07,0.004227,0.281184,0.454399,0.004936719054872806,0.016911304123988804,6,2,0,0.043668414683399645,0.0,Langt fra start
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,0.938,0.938,0.0,0.8113,medium_risk,,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.085273,4.186417,4.498916,0.07350049994147408,0.9332194826832135,1,1,1,0.896855973265395,0.9468559732653951,Klar starter
juan_musso__arg,Juan Musso,ARG,GK,0.0368,0.0368,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.003345,0.085637,0.034902,0.0015035201494471323,0.019089860574936127,2,1,0,0.03336316206496597,0.03336316206496597,Langt fra start
ger_nimo_rulli__arg,Geronimo Rulli,ARG,GK,0.0251,0.0251,0.0,0.723,medium_risk,,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.002282,0.21394,0.290546,0.0037561229465385227,0.0476906567418503,3,1,0,0.026360871821511957,0.0,Langt fra start
walter_benitez__arg,Walter Benitez,ARG,GK,0.0,0.0,0.0,0.6524,out,,transfermarkt_availability_split_2026_06_07,0.0,0.0,0.0,0.0,0.0,4,1,0,0.0,0.0,Langt fra start
