match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_cs_prob,away_cs_prob,over_2_5_prob,under_2_5_prob,source
1,MEX,RSA,2026-06-11 21:00,1.46,4.33,6.83,,,,,0.6447,0.2174,0.1379,,,,,bet365+Betinia consensus
2,KOR,CZE,2026-06-12 04:00,2.61,3.215,2.705,,,,,0.3600,0.2926,0.3474,,,,,bet365+Betinia consensus
3,CAN,BIH,2026-06-12 21:00,1.805,3.705,4.2,,,,,0.5217,0.2542,0.2242,,,,,bet365+Betinia consensus
4,USA,PAR,2026-06-13 03:00,1.98,3.5,3.705,,,,,0.4761,0.2695,0.2544,,,,,bet365+Betinia consensus
5,QAT,SUI,2026-06-13 21:00,9.25,5.75,1.285,,,,,0.1026,0.1639,0.7335,,,,,bet365+Betinia consensus
6,BRA,MAR,2026-06-14 00:00,1.595,3.9,5.375,,,,,0.5861,0.2399,0.1740,,,,,bet365+Betinia consensus
7,HAI,SCO,2026-06-14 03:00,6.375,4.875,1.415,,,,,0.1468,0.1920,0.6612,,,,,bet365+Betinia consensus
8,AUS,TUR,2026-06-14 06:00,4.35,3.55,1.815,,,,,0.2165,0.2651,0.5184,,,,,bet365+Betinia consensus
9,GER,CUW,2026-06-14 19:00,1.03,15.5,46,,,,,0.9177,0.0615,0.0208,,,,,bet365+Betinia consensus
10,NED,JPN,2026-06-14 22:00,1.97,3.75,3.5,,,,,0.4788,0.2515,0.2697,,,,,bet365+Betinia consensus
11,CIV,ECU,2026-06-15 01:00,3.58,2.915,2.275,,,,,0.2630,0.3232,0.4138,,,,,bet365+Betinia consensus
12,SWE,TUN,2026-06-15 04:00,1.955,3.315,4,,,,,0.4811,0.2837,0.2351,,,,,bet365+Betinia consensus
13,ESP,CPV,2026-06-15 18:00,1.082,10.25,26,,,,,0.8701,0.0923,0.0376,,,,,bet365+Betinia consensus
14,BEL,EGY,2026-06-15 21:00,1.66,3.9,4.875,,,,,0.5660,0.2411,0.1929,,,,,bet365+Betinia consensus
15,KSA,URU,2026-06-16 00:00,6.25,4.35,1.5,,,,,0.1516,0.2177,0.6308,,,,,bet365+Betinia consensus
16,IRN,NZL,2026-06-16 03:00,1.855,3.5,4.2,,,,,0.5072,0.2688,0.2240,,,,,bet365+Betinia consensus
17,FRA,SEN,2026-06-16 21:00,1.44,4.5,6.75,,,,,0.6521,0.2087,0.1393,,,,,bet365+Betinia consensus
18,IRQ,NOR,2026-06-17 00:00,10.75,6.125,1.24,,,,,0.0886,0.1535,0.7579,,,,,bet365+Betinia consensus
19,ARG,ALG,2026-06-17 03:00,1.43,4.375,7.25,,,,,0.6559,0.2146,0.1295,,,,,bet365+Betinia consensus
20,AUT,JOR,2026-06-17 06:00,1.33,5.415,8,,,,,0.7083,0.1740,0.1177,,,,,bet365+Betinia consensus
21,POR,COD,2026-06-17 19:00,1.285,5.665,9.5,,,,,0.7338,0.1670,0.0992,,,,,bet365+Betinia consensus
22,ENG,CRO,2026-06-17 22:00,1.735,3.725,4.625,,,,,0.5431,0.2530,0.2039,,,,,bet365+Betinia consensus
23,GHA,PAN,2026-06-18 01:00,2.025,3.58,3.465,,,,,0.4649,0.2630,0.2721,,,,,bet365+Betinia consensus
24,UZB,COL,2026-06-18 04:00,7.75,4.375,1.41,,,,,0.1210,0.2144,0.6646,,,,,bet365+Betinia consensus
25,CZE,RSA,2026-06-18 18:00,1.915,3.3,4.1,,,,,0.4884,0.2835,0.2281,,,,,bet365+Betinia consensus
26,SUI,BIH,2026-06-18 21:00,1.545,4.05,5.5,,,,,0.6013,0.2296,0.1691,,,,,bet365+Betinia consensus
27,CAN,QAT,2026-06-19 00:00,1.4,4.625,7.665,,,,,0.6709,0.2028,0.1262,,,,,bet365+Betinia consensus
28,MEX,KOR,2026-06-19 03:00,1.775,3.5,4.625,,,,,0.5288,0.2683,0.2030,,,,,bet365+Betinia consensus
29,USA,AUS,2026-06-19 21:00,1.71,3.75,4.54,,,,,0.5448,0.2494,0.2058,,,,,bet365+Betinia consensus
30,SCO,MAR,2026-06-20 00:00,3.75,3.12,2.05,,,,,0.2480,0.2981,0.4539,,,,,bet365+Betinia consensus
31,BRA,HAI,2026-06-20 03:00,1.058,14,31,,,,,0.8975,0.0710,0.0315,,,,,bet365+Betinia consensus
32,TUR,PAR,2026-06-20 06:00,2.225,3.1,3.4,,,,,0.4216,0.3026,0.2759,,,,,bet365+Betinia consensus
33,NED,SWE,2026-06-20 19:00,1.63,4.05,4.75,,,,,0.5726,0.2306,0.1968,,,,,bet365+Betinia consensus
34,GER,CIV,2026-06-20 22:00,1.54,4.175,5.5,,,,,0.6065,0.2237,0.1698,,,,,bet365+Betinia consensus
35,ECU,CUW,2026-06-21 02:00,1.275,5.33,11,,,,,0.7371,0.1769,0.0861,,,,,bet365+Betinia consensus
36,TUN,JPN,2026-06-21 06:00,4.54,3.315,1.82,,,,,0.2059,0.2814,0.5127,,,,,bet365+Betinia consensus
37,ESP,KSA,2026-06-21 18:00,1.11,8.5,23.5,,,,,0.8484,0.1111,0.0405,,,,,bet365+Betinia consensus
38,BEL,IRN,2026-06-21 21:00,1.395,4.5,7.25,,,,,0.6655,0.2063,0.1282,,,,,bet365+Betinia consensus
39,URU,CPV,2026-06-22 00:00,1.43,4.415,7,,,,,0.6540,0.2118,0.1342,,,,,bet365+Betinia consensus
40,NZL,EGY,2026-06-22 03:00,4.875,3.65,1.705,,,,,0.1926,0.2573,0.5501,,,,,bet365+Betinia consensus
41,ARG,AUT,2026-06-22 19:00,1.635,3.705,5.29,,,,,0.5713,0.2521,0.1766,,,,,bet365+Betinia consensus
42,FRA,IRQ,2026-06-22 23:00,1.115,8.5,20,,,,,0.8421,0.1108,0.0471,,,,,bet365+Betinia consensus
43,NOR,SEN,2026-06-23 02:00,2.05,3.35,3.575,,,,,0.4575,0.2798,0.2627,,,,,bet365+Betinia consensus
44,JOR,ALG,2026-06-23 05:00,4.875,3.725,1.68,,,,,0.1920,0.2511,0.5569,,,,,bet365+Betinia consensus
45,POR,UZB,2026-06-23 19:00,1.26,5.875,9.75,,,,,0.7431,0.1594,0.0975,,,,,bet365+Betinia consensus
46,ENG,GHA,2026-06-23 22:00,1.315,5.165,8.5,,,,,0.7092,0.1807,0.1101,,,,,bet365+Betinia consensus
47,PAN,CRO,2026-06-24 01:00,6.25,4,1.5,,,,,0.1487,0.2325,0.6189,,,,,bet365+Betinia consensus
48,COL,COD,2026-06-24 04:00,1.475,4.05,6.75,,,,,0.6316,0.2302,0.1381,,,,,bet365+Betinia consensus
49,SUI,CAN,2026-06-24 21:00,2.04,3.275,3.63,,,,,0.4577,0.2851,0.2572,,,,,bet365+Betinia consensus
50,BIH,QAT,2026-06-24 21:00,1.645,3.675,5.125,,,,,0.5653,0.2531,0.1816,,,,,bet365+Betinia consensus
51,SCO,BRA,2026-06-25 00:00,7.25,4.625,1.395,,,,,0.1289,0.2019,0.6691,,,,,bet365+Betinia consensus
52,MAR,HAI,2026-06-25 00:00,1.34,5,8.25,,,,,0.6990,0.1873,0.1136,,,,,bet365+Betinia consensus
53,CZE,MEX,2026-06-25 03:00,3.9,3.35,1.92,,,,,0.2384,0.2775,0.4841,,,,,bet365+Betinia consensus
54,RSA,KOR,2026-06-25 03:00,3.45,3.25,2.12,,,,,0.2711,0.2878,0.4411,,,,,bet365+Betinia consensus
55,CUW,CIV,2026-06-25 22:00,8.5,4.875,1.33,,,,,0.1097,0.1909,0.6994,,,,,bet365+Betinia consensus
56,ECU,GER,2026-06-25 22:00,5,3.875,1.64,,,,,0.1872,0.2418,0.5709,,,,,bet365+Betinia consensus
57,TUN,NED,2026-06-26 01:00,5.705,4.15,1.54,,,,,0.1645,0.2261,0.6094,,,,,bet365+Betinia consensus
58,JPN,SWE,2026-06-26 01:00,2.025,3.4,3.625,,,,,0.4641,0.2764,0.2595,,,,,bet365+Betinia consensus
59,TUR,USA,2026-06-26 04:00,2.62,3.45,2.52,,,,,0.3572,0.2713,0.3714,,,,,bet365+Betinia consensus
