team_id,position,team_position_start_rank,player_name,price_m,start_prob,conditional_start_prob,availability_risk,round_specific_rotation_risk,match_1_opponent_team,weighted_group_stage_ev,optimizer_ev,start_prob_source,source_note
KOR,MID,2,In-beom Hwang,2.5,0.6856,0.7355,medium_risk,,CZE,0.461638,0.461638,transfermarkt_availability_split_2026_06_07,
KOR,MID,3,Jae-Sung Lee,4.0,0.6446,0.6808,medium_risk,,CZE,2.229994,2.229994,transfermarkt_availability_split_2026_06_07,
KSA,DEF,1,Saud Abdulhamid,3.0,0.7903,0.8934,medium_risk,,URU,2.022973,2.022973,transfermarkt_availability_split_2026_06_07,
KSA,FWD,1,Firas Al Brikan,3.5,0.6584,0.7001,medium_risk,,URU,0.264998,0.264998,transfermarkt_availability_split_2026_06_07,
KSA,GK,1,Mohammed Al-Owais,3.0,0.7314,0.7314,high_risk,,,1.590666,1.590666,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
KSA,MID,1,Mohamed Kanno,3.0,0.848,0.9447,medium_risk,,URU,1.262528,1.262528,transfermarkt_availability_split_2026_06_07,
KSA,MID,2,Salem Al-Dawsari,3.0,0.677,0.7229,medium_risk,,URU,0.428427,0.428427,transfermarkt_availability_split_2026_06_07,
MAR,DEF,1,Issa Diop,2.5,0.8707,0.97,medium_risk,,BRA,2.220448,2.220448,transfermarkt_availability_split_2026_06_07,
MAR,DEF,2,Achraf Hakimi,4.0,0.8511,0.9473,medium_risk,,BRA,3.193988,3.193988,transfermarkt_availability_split_2026_06_07,
MAR,DEF,3,Nayef Aguerd,3.0,0.8342,0.97,high_risk,,BRA,2.913359,2.913359,transfermarkt_availability_split_2026_06_07,
MAR,DEF,4,Noussair Mazraoui,3.5,0.6272,0.7293,high_risk,,BRA,2.596845,2.596845,transfermarkt_availability_split_2026_06_07,
MAR,DEF,5,Redouane Halhal,2.0,0.601,0.6695,medium_risk,,,1.281844,1.281844,transfermarkt_availability_split_2026_06_07,
MAR,GK,1,Yassine 'Bono' Bounou,3.5,0.949,0.949,medium_risk,,BRA,3.030062,3.030062,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
MAR,MID,1,Ayyoub Bouaddi,2.0,0.9021,0.97,unknown,,,0.435171,0.435171,transfermarkt_availability_split_2026_06_07,
MAR,MID,2,Neil El Aynaoui,3.0,0.8465,0.97,high_risk,,BRA,2.513379,2.513379,transfermarkt_availability_split_2026_06_07,
MAR,MID,3,Ismael Saibari,3.5,0.7891,0.8961,medium_risk,,BRA,2.779638,2.779638,transfermarkt_availability_split_2026_06_07,
MEX,DEF,1,Johan Vasquez,3.0,0.8341,0.9415,medium_risk,,RSA,3.373468,3.373468,transfermarkt_availability_split_2026_06_07,
MEX,DEF,2,Cesar Montes,3.0,0.72,0.82,medium_risk,medium,RSA,3.747332,3.747332,transfermarkt_availability_split_2026_06_07+context_override,
MEX,DEF,3,Jesus Gallardo,3.0,0.6424,0.6792,medium_risk,,RSA,2.732762,2.732762,transfermarkt_availability_split_2026_06_07,
MEX,FWD,1,Raul Jimenez,4.5,0.7885,0.9134,medium_risk,,RSA,5.077755,5.077755,transfermarkt_availability_split_2026_06_07+context_override,
MEX,GK,1,Raul Rangel,4.0,0.9397,0.9397,low_risk,,RSA,3.734244,3.734244,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
MEX,MID,1,Alvaro Fidalgo,2.5,0.8834,0.97,medium_risk,,RSA,0.913048,0.913048,transfermarkt_availability_split_2026_06_07,
