player_id,player_name,team_id,team_name,flag_code,position,advance_pct,avg_points,nt_ev_score,blended_ev_score,display_score,price_estimate,value_score,display_value,price,price_source,position_source,holdet_game_id,holdet_player_id,holdet_person_id,holdet_team_id,holdet_team_name,holdet_position_id,holdet_position,holdet_start_price,holdet_price,holdet_is_out,has_holdet_vm_match,official_holdet_master,copied_from_old_player_pool,old_player_id,old_match_method,old_match_score,start_prob,start_prob_source,weighted_group_stage_ev,optimizer_ev,holdet_appearance,player_visual_source,display_score_source,start_probability_pct,start_security,start_status,transfermarkt_competitive_rows,transfermarkt_competitive_starts,transfermarkt_competition_weight_sum,transfermarkt_recent_rows_since_2025,transfermarkt_recent_starts_since_2025,transfermarkt_latest_match_date,transfermarkt_signal_confidence,transfermarkt_start_score,transfermarkt_recency_start_score,transfermarkt_recent_start_rate_since_2025,conditional_start_prob,availability_prob,availability_risk,availability_status,transfermarkt_available_rows,transfermarkt_absence_rows,transfermarkt_available_weight,transfermarkt_absence_weight,transfermarkt_start_weight,transfermarkt_recent_3_available_start_score,transfermarkt_history_available_start_score,weighted_group_stage_ev_before_price_quality,price_quality_ev,model_ev_before_price_quality,optimizer_ev_before_price_quality,price_quality_raw_ev,price_quality_appearance_scaled_ev,price_quality_base_capped_ev,price_quality_weight,price_quality_spread_multiplier,price_quality_applied,price_quality_method,base_ev_source,match_1_opponent_team,match_1_weighted_match_ev,match_2_opponent_team,match_2_weighted_match_ev,match_3_opponent_team,match_3_weighted_match_ev,round1_ev,round2_ev,round3_ev,appearance_prob,round_specific_rotation_risk,start_signal_context_note,total_ev_group_stage,price_quality_repair_source,transfermarkt_national_team,tm_recency_weighted_competitive_start_score,tm_weighted_competitive_start_score,source_note,gk_start_prob_raw_before_normalization,gk_start_prob_normalized,gk_start_prob_normalized_at,gk_hierarchy_raw_score,gk_team_rank,manual_start_note,manual_data_note,tm_watch_flag,tm_watch_reason,source,start_price,_key
julio_soler__arg,Julio Soler,ARG,Argentina,ar,DEF,,,,,0.0,3000000,,,3000000,holdet_vm_2026_official,holdet_vm_2026_official,616,49356,46903.0,762.0,Argentina,293.0,DEF,3000000,3000000,False,True,True,True,julio_soler__arg,exact_name_team,1.0,0.8253,transfermarkt_availability_split_2026_06_07,2.96038,2.96038,"{'skinColor': '#E9A58D', 'hairColor': '#5D491C'}",holdet_api_appearance,start_neutral_blended_nt_team_absolute,83.0,0.8253,sandsynlig starter - Transfermarkt landshold,41.0,16.0,6.714399999999999,16.0,13.0,2025-10-20,1.0,0.3902,0.8433,0.8125,0.9425,0.6449,high_risk,high_risk,21.0,20.0,10.64,5.96,8.6,1.0,0.8083,3.0829,2.810634,3.0829,3.0829,2.810634,2.810634,2.810634,0.45,1.35,True,raw_for_likely_starter,component_weighted_sum,ALG,1.139938,AUT,0.872897,JOR,1.070062,1.139938,0.872897,1.070062,,,,,,,,,,,,,,,,,,,,,julio soler__argentina__DEF
kye_rowles__aus,Kye Rowles,AUS,Australien,au,DEF,0.57,3.412,0.0032,0.188,26.0,2500000,0.0517,5.0,2500000,holdet_vm_2026_official,holdet_vm_2026_official,616,49417,43451.0,763.0,Australien,293.0,DEF,2500000,2500000,False,True,True,True,kye_rowles__aus,exact_name_team,1.0,0.599,transfermarkt_availability_split_2026_06_07,1.391596,1.391596,"{'skinColor': '#EFC6B6', 'hairColor': '#B89E47', 'hairStyle': 'Long'}",holdet_api_appearance,start_neutral_blended_nt_team_absolute,60.0,0.599,rotation/usikker - Transfermarkt landshold,50.0,26.0,14.738400000000002,,,,1.0,0.5417,0.3749,,0.6395,0.8188,medium_risk,medium_risk,41.0,7.0,16.8,3.16,9.68,0.6667,0.5762,1.186565,1.64219,1.186565,1.186565,1.919087,1.64219,1.779847,0.45,1.35,True,appearance_scaled_then_base_capped,component_weighted_sum,TUR,0.371422,USA,0.370253,PAR,0.442615,0.371422,0.370253,0.442615,,,,,,,,,,,,,,,,,,,,,kye rowles__australien__DEF
callum_elder__aus,Callum Elder,AUS,Australien,au,DEF,0.57,3.412,0.0021,0.12,24.0,2000000,0.0332,3.0,2000000,holdet_vm_2026_official,holdet_vm_2026_official,616,48927,36837.0,763.0,Australien,293.0,DEF,2000000,2000000,False,True,True,True,callum_elder__aus,exact_name_team,1.0,0.0386,transfermarkt_availability_split_2026_06_07,0.095507,0.095507,"{'skinColor': '#EFC6B6', 'hairColor': '#B89E47'}",holdet_api_appearance,start_neutral_blended_nt_team_absolute,4.0,0.0386,sjældent startende - Transfermarkt landshold,53.0,0.0,12.776799999999998,,,,1.0,0.0,0.0,,0.05,0.35,high_risk,high_risk,8.0,39.0,2.56,13.92,0.0,0.0,0.0,0.128664,0.054981,0.128664,0.128664,0.99706,0.054981,0.192996,0.45,1.35,True,appearance_scaled_then_base_capped,component_weighted_sum,TUR,0.031484,USA,0.044949,PAR,0.052229,0.031484,0.044949,0.052229,,,,,,,,,,,,,,,,,,,,,callum elder__australien__DEF
der_milit_o__bra,Eder Militão,BRA,Brasilien,br,DEF,0.922,5.705,0.0066,0.481,43.0,3000000,0.1196,12.0,3000000,holdet_vm_2026_official,holdet_vm_2026_official,616,49041,36944.0,764.0,Brasilien,293.0,DEF,3000000,3000000,False,True,True,True,der_milit_o__bra,exact_name_team,1.0,0.6273,transfermarkt_availability_split_2026_06_07,2.728328,2.728328,"{'skinColor': '#B37D69', 'hairColor': '#000000', 'hairStyle': 'VeryShort'}",holdet_api_appearance,start_neutral_blended_nt_team_absolute,63.0,0.6273,rotation/usikker - Transfermarkt landshold,88.0,33.0,12.0824,12.0,7.0,2026-04-01,1.0,0.4925,0.6376,0.5833,0.6678,0.8266,medium_risk,medium_risk,59.0,8.0,13.54,2.26,9.08,0.6667,0.6706,2.899817,2.51873,2.899817,2.899817,2.810634,2.51873,2.810634,0.45,1.35,True,appearance_scaled_then_base_capped,component_weighted_sum,MAR,0.930904,HAI,1.143873,SCO,0.828056,0.930904,1.143873,0.828056,,,,,,"{'source': 'transfermarkt_national_team_output', 'transfermarkt_player_id': '401530.0', 'transfermarkt_national_url': 'https://www.transfermarkt.com/eder-militao/nationalmannschaft/spieler/401530/verein_id/3439', 'tm_competition_rows': 104, 'tm_competition_starts': 64, 'tm_recency_weighted_competitive_start_score': 0.7338}",,,,,,,,,,,,,,,eder militao__brasilien__DEF
clement_akpa__civ,Clement Akpa,CIV,Elfenbenskysten,,DEF,,,,,,2000000,,,2000000,holdet_vm_2026_official,holdet_vm_2026_official,616,48963,52149.0,767.0,Elfenbenskysten,293.0,DEF,2000000,2000000,False,True,True,False,,,,0.4955,transfermarkt_availability_split_2026_06_07,0.924258,0.924258,,,,50.0,0.4955,rotation/usikker - Transfermarkt landshold,17.0,3.0,8.233200000000002,,,,1.0,0.2,0.2285,,0.5661,0.6439,high_risk,high_risk,10.0,5.0,6.88,3.91,2.28,0.6667,0.3314,1.103016,0.705776,1.103016,1.103016,0.99706,0.705776,0.99706,0.45,1.35,True,appearance_scaled_then_base_capped,component_weighted_sum,ECU,0.394473,GER,0.184392,CUW,0.524151,0.394473,0.184392,0.524151,,,,0.1235,price_quality_ev_diagnostics,,,,,,,,,,,,,,,,clement akpa__elfenbenskysten__DEF
alexander_djiku__gha,Alexander Djiku,GHA,Ghana,gh,DEF,0.347,2.422,0.0033,0.192,20.0,3000000,0.0527,5.0,3000000,holdet_vm_2026_official,holdet_vm_2026_official,616,48781,43287.0,770.0,Ghana,293.0,DEF,3000000,3000000,False,True,True,True,alexander_djiku__gha,exact_name_team,1.0,0.8457,transfermarkt_availability_split_2026_06_07,2.202084,2.202084,"{'skinColor': '#C3886A', 'hairColor': '#5D491C', 'hairStyle': 'VeryShort'}",holdet_api_appearance,start_neutral_blended_nt_team_absolute,85.0,0.8457,sandsynlig starter - Transfermarkt landshold,69.0,36.0,15.3336,12.0,6.0,2026-05-23,1.0,0.5902,0.6453,0.5,0.97,0.6337,high_risk,high_risk,40.0,21.0,12.88,7.6,12.08,1.0,0.9379,1.704179,2.810634,1.704179,1.704179,2.810634,2.810634,2.556268,0.45,1.35,True,raw_for_likely_starter,component_weighted_sum,PAN,0.931981,ENG,0.304506,CRO,0.467688,0.931981,0.304506,0.467688,,,,,,"{'source': 'transfermarkt_national_team_output', 'transfermarkt_player_id': '250844.0', 'transfermarkt_national_url': 'https://www.transfermarkt.com/alexander-djiku/nationalmannschaft/spieler/250844/verein_id/3441', 'tm_competition_rows': 92, 'tm_competition_starts': 64, 'tm_recency_weighted_competitive_start_score': 0.794}",,,,,,,,,,,,,,,alexander djiku__ghana__DEF
derrick_kohn__gha,Derrick Köhn,GHA,Ghana,gh,DEF,,,,,0.0,2000000,,,2000000,holdet_vm_2026_official,holdet_vm_2026_official,616,49017,45548.0,770.0,Ghana,293.0,DEF,2000000,2000000,False,True,True,True,derrick_kohn__gha,exact_name_team,1.0,0.6632,transfermarkt_availability_split_2026_06_07,1.214224,1.214224,"{'skinColor': '#965B39', 'hairColor': '#000000', 'hairStyle': 'Short'}",holdet_api_appearance,start_neutral_blended_nt_team_absolute,66.0,0.6632,rotation/usikker - Transfermarkt landshold,4.0,3.0,1.6640000000000001,,,,1.0,0.75,0.7474,,0.7029,0.8387,medium_risk,medium_risk,4.0,0.0,3.2,0.0,2.52,0.6667,0.7875,1.43479,0.944643,1.43479,1.43479,0.99706,0.944643,0.99706,0.45,1.35,True,appearance_scaled_then_base_capped,component_weighted_sum,PAN,0.730387,ENG,0.292513,CRO,0.411888,0.730387,0.292513,0.411888,,,,,,,,,,,,,,,,,,,,,derrick kohn__ghana__DEF
patric_pfeiffer__gha,Patric Pfeiffer,GHA,Ghana,gh,DEF,,,,,0.0,2000000,,,2000000,holdet_vm_2026_official,holdet_vm_2026_official,616,49711,44312.0,770.0,Ghana,293.0,DEF,2000000,2000000,False,True,True,True,patric_pfeiffer__gha,exact_name_team,1.0,0.0464,transfermarkt_availability_split_2026_06_07,0.0,0.0,"{'skinColor': '#B37D69', 'hairColor': '#000000', 'hairStyle': 'VeryShort'}",holdet_api_appearance,start_neutral_blended_nt_team_absolute,5.0,0.0464,sjældent startende - Transfermarkt landshold,2.0,0.0,0.9568000000000001,,,,1.0,0.0,0.0,,0.05,0.7934,unknown,unknown,2.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,1.35,False,not_applied,no_ev_source,PAN,0.000193,ENG,-0.027014,CRO,-0.016282,0.000193,-0.027014,-0.016282,,,,,,,,,,,,,,,,,,,,,patric pfeiffer__ghana__DEF
yu_min_cho__kor,Yu-Min Cho,KOR,Sydkorea,,DEF,,,,,0.0,2500000,,,2500000,holdet_vm_2026_official,holdet_vm_2026_official,616,49981,43358.0,774.0,Sydkorea,293.0,DEF,2500000,2500000,False,True,True,True,yu_min_cho__kor,exact_name_team,1.0,0.5575,transfermarkt_availability_split_2026_06_07,1.444636,1.444636,{},holdet_api_appearance,start_neutral_blended_nt_team_absolute,56.0,0.5575,rotation/usikker - Transfermarkt landshold,57.0,15.0,16.701600000000003,12.0,3.0,2026-03-31,1.0,0.2778,0.5809,0.25,0.6302,0.6704,medium_risk,medium_risk,36.0,18.0,14.68,7.2,8.0,0.6667,0.545,1.376089,1.528416,1.376089,1.376089,1.919087,1.528416,1.919087,0.45,1.35,True,appearance_scaled_then_base_capped,component_weighted_sum,CZE,0.491606,MEX,0.361186,RSA,0.527586,0.491606,0.361186,0.527586,,,,,,"{'source': 'transfermarkt_national_team_output', 'transfermarkt_player_id': '561212.0', 'transfermarkt_national_url': 'https://www.transfermarkt.com/yu-min-cho/nationalmannschaft/spieler/561212/verein_id/3589', 'tm_competition_rows': 67, 'tm_competition_starts': 24, 'tm_recency_weighted_competitive_start_score': 0.5511}",,,,,,,,,,,,,,,yu min cho__sydkorea__DEF
jesus_angulo__mex,Jesus Angulo,MEX,Mexico,mx,DEF,,,,,0.0,2000000,,,2000000,holdet_vm_2026_official,holdet_vm_2026_official,616,49276,52193.0,775.0,Mexico,293.0,DEF,2000000,2000000,False,True,True,True,jesus_angulo__mex,exact_name_team,1.0,0.0939,transfermarkt_availability_split_2026_06_07,0.377785,0.377785,{},holdet_api_appearance,start_neutral_blended_nt_team_absolute,9.0,0.0939,sjældent startende - Transfermarkt landshold,126.0,13.0,27.571800000000003,,,,1.0,0.1032,0.0218,,0.1092,0.6,high_risk,high_risk,29.0,97.0,8.96,28.91,3.26,0.0,0.3638,0.577452,0.133748,0.577452,0.577452,0.99706,0.133748,0.866178,0.45,1.35,True,appearance_scaled_then_base_capped,component_weighted_sum,RSA,0.244438,KOR,0.182864,CZE,0.150148,0.244438,0.182864,0.150148,,,,,,,,,,,,,,,,,,,,,jesus angulo__mexico__DEF
