player_name,matched_player_id,team_id,position,price,specific_round,start_prob,conditional_start_prob,appearance_prob,availability_risk,manual_status,next_round_opponent,next_round_win_prob,next_round_score,round1_2_score,group_stage_score,long_run_score,total_ev,round_1_ev,round_2_ev,round_3_ev,selected_in_strategies,model_error_flag,model_error_reason,recommended_manual_action,note
Erling Haaland,erling_haaland__nor,NOR,FWD,8500000,Runde 1,0.8883,0.97,0.7595,medium_risk,,IRQ,0.7579,7.8795,8.402,9.1425,5.0225,3.5065,1.543,1.2006,0.6297,,no,,No immediate manual action from audit rules.,Premium/offensive player has plausible strong next-round score. Not selected in exported strategy/formation squads.
Theo Hernandez,theo_hern_ndez__fra,FRA,DEF,4500000,,0.703,0.7241,0.9167,low_risk,,SEN,0.6521,5.0783,6.6825,7.3522,5.4069,3.1662,1.0391,1.2679,0.7133,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Nicolas Tagliafico,nicol_s_tagliafico__arg,ARG,DEF,4000000,,0.7459,0.7872,0.85,low_risk,,ALG,0.6559,5.9194,6.3618,8.1722,5.7552,3.3412,1.1723,0.9047,1.095,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Nahuel Molina,nahuel_molina__arg,ARG,DEF,4000000,,0.891,0.9355,0.8642,low_risk,,ALG,0.6559,6.9782,7.6127,9.6825,6.3826,3.9784,1.4065,1.087,1.2849,group_stage:3-4-3; group_stage:3-5-2; group_stage:4-3-3; group_stage:4-4-2; group_stage:4-5-1; group_stage:5-3-2; group_stage:5-4-1; group_stage:best; long_run:3-4-3; long_run:4-3-3; long_run:4-4-2; long_run:4-5-1; long_run:5-3-2; long_run:5-4-1; long_run:best; next_round:4-3-3; next_round:4-4-2; next_round:4-5-1; next_round:5-3-2; next_round:5-4-1,no,,No immediate manual action from audit rules.,
Ibrahim Maza,ibrahim_maza__alg,ALG,MID,3000000,Runde 2,0.7371,0.8571,0.6,high_risk,,ARG,0.1295,2.8219,4.8051,6.4474,0.0,3.0118,0.5346,1.4432,0.8623,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Mohamed Amoura,mohamed_amoura__alg,ALG,FWD,3500000,Runde 2,0.72,0.8372,0.6,high_risk,,ARG,0.1295,2.3318,3.7875,5.1601,0.0,2.3911,0.43,1.1188,0.7051,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Cesar Montes,c_sar_montes__mex,MEX,DEF,3000000,Runde 1,0.6417,0.7442,0.6065,high_risk,,RSA,0.6447,5.1114,5.9822,7.2232,0.5015,3.707,1.4813,1.1412,0.9219,,yes,specific_round_1_but_low_next_round_score,Check round 1 fixture/upside assumptions.,Not selected in exported strategy/formation squads.
Ladislav Krejci,ladislav_krejci__cze,CZE,DEF,3000000,,0.7777,0.8929,0.6316,high_risk,,KOR,0.3474,2.9396,3.7549,4.5011,0.0,2.0116,0.7114,0.7927,0.4193,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Vladimir Coufal,vladimir_coufal__cze,CZE,DEF,3000000,,0.7537,0.8052,0.8173,medium_risk,,KOR,0.3474,3.1081,3.7847,4.4402,0.0,1.7368,0.6146,0.6858,0.3602,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Scott McTominay,scott_mctominay__sco,SCO,MID,4500000,Runde 1,0.8738,0.9403,0.7979,medium_risk,,HAI,0.6612,7.4785,7.296,8.3453,0.9262,3.2884,1.7115,0.8299,0.633,next_round:3-5-2; next_round:4-5-1,yes,central_or_defensive_mid_may_be_overvalued,Review role/upside weighting for central MID.,
