formation,player_name,team_id,position,price_m,optimizer_ev,optimizer_ev_adj,team_market_score,team_long_run_score,team_attack_score,winner_odds,is_cheap_player,is_low_market_team
3-4-3,David Raya,ESP,GK,4.985,0.82,16.739401442307692,0.9759615384615384,0.951923076923077,1.0,5.5,False,False
3-4-3,Ibrahima Konate,FRA,DEF,3.027,1.165,9.234553112599208,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,True,False
3-4-3,Lucas Hernandez,FRA,DEF,2.98,0.219,7.313303112599207,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,True,False
3-4-3,Max Arfsten,USA,DEF,2.985,2.412,5.901232937248202,0.2681403042842247,0.2672386387325411,0.179951661882007,41.0,True,False
3-4-3,Jordan Henderson,ENG,MID,3.522,0.641,11.40799672809829,0.7907425213675213,0.8155715811965811,0.6740384615384616,6.5,False,False
3-4-3,Manu Koné,FRA,MID,3.626,1.4,13.120978038194444,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,False,False
3-4-3,Martin Zubimendi,ESP,MID,3.485,1.717,14.62131875,0.9759615384615384,0.951923076923077,1.0,5.5,True,False
3-4-3,N'Golo Kante,FRA,MID,2.98,0.906,8.014178038194444,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,True,False
3-4-3,Lamine Yamal,ESP,FWD,9.291,2.291,25.69911875,0.9759615384615384,0.951923076923077,1.0,5.5,False,False
3-4-3,Nico Williams,ESP,FWD,4.576,2.201,16.91486875,0.9759615384615384,0.951923076923077,1.0,5.5,False,False
3-4-3,Vinicius Junior,BRA,FWD,8.461,3.24,23.388433891369047,0.7698859126984127,0.6653273809523809,0.8569444444444445,9.0,False,False
3-5-2,Mike Maignan,FRA,GK,5.532,3.265,18.02780311259921,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,False,False
3-5-2,Chris Richards,USA,DEF,3.141,3.24,7.661232937248203,0.2681403042842247,0.2672386387325411,0.179951661882007,41.0,True,False
3-5-2,Ibrahima Konate,FRA,DEF,3.027,1.165,9.234553112599208,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,True,False
3-5-2,Marc Pubill,ESP,DEF,2.985,0.0,7.314401442307692,0.9759615384615384,0.951923076923077,1.0,5.5,True,False
3-5-2,Casemiro,BRA,MID,4.825,2.358,16.22773389136905,0.7698859126984127,0.6653273809523809,0.8569444444444445,9.0,False,False
3-5-2,Manu Koné,FRA,MID,3.626,1.4,13.120978038194444,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,False,False
3-5-2,Martin Zubimendi,ESP,MID,3.485,1.717,14.62131875,0.9759615384615384,0.951923076923077,1.0,5.5,True,False
3-5-2,N'Golo Kante,FRA,MID,2.98,0.906,8.014178038194444,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,True,False
3-5-2,Oscar Bobb,NOR,MID,3.115,3.301,7.676895494852372,0.3324716006216006,0.4089355089355088,0.2332307692307692,26.0,True,False
3-5-2,Lamine Yamal,ESP,FWD,9.291,2.291,25.69911875,0.9759615384615384,0.951923076923077,1.0,5.5,False,False
3-5-2,Mikel Oyarzabal,ESP,FWD,7.979,2.219,23.19731875,0.9759615384615384,0.951923076923077,1.0,5.5,False,False
4-3-3,Mike Maignan,FRA,GK,5.532,3.265,18.02780311259921,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,False,False
4-3-3,Bremer,BRA,DEF,2.98,0.0,5.635160528273809,0.7698859126984127,0.6653273809523809,0.8569444444444445,9.0,True,False
4-3-3,Gonzalo Montiel,ARG,DEF,3.532,0.381,11.268208754307643,0.7259181808688386,0.7322916666666666,0.6516499582289056,9.0,False,False
4-3-3,Ibrahima Konate,FRA,DEF,3.027,1.165,9.234553112599208,0.7872569444444444,0.7929067460317459,0.7459821428571429,7.0,True,False
4-3-3,Max Arfsten,USA,DEF,2.985,2.412,5.901232937248202,0.2681403042842247,0.2672386387325411,0.179951661882007,41.0,True,False
