player_id,player_name,team_id,position,price,old_ev,new_ev,ev_diff,ev_diff_pct,main_reason
chris_brady__usa,Chris Brady,USA,GK,2500000,0,0,0,0,match_2_goal_multiplier=1.308
sipho_chaine__rsa,Sipho Chaine,RSA,GK,2500000,0,0,0,0,match_1_goal_multiplier=0.750
juan_espinola__par,Juan Espinola,PAR,GK,2500000,0,0,0,0,match_1_goal_multiplier=0.802
solomon_agbasi__gha,Solomon Agbasi,GHA,GK,2500000,0,0,0,0,match_2_clean_sheet_multiplier=0.727
paul_reverson__gha,Paul Reverson,GHA,GK,2500000,0,0,0,0,match_2_clean_sheet_multiplier=0.727
joseph_anang__gha,Joseph Anang,GHA,GK,2500000,0,0,0,0,match_2_clean_sheet_multiplier=0.727
mohamed_kone__civ,Mohamed Kone,CIV,GK,3000000,0,0,0,0,match_3_goal_multiplier=1.350
bento_krepski__bra,Bento Krepski,BRA,GK,5000000,0,0,0,0,match_2_clean_sheet_multiplier=1.437
walter_benitez__arg,Walter Benitez,ARG,GK,4000000,0,0,0,0,match_1_goal_multiplier=1.350
oussama_benbout__alg,Oussama Benbout,ALG,GK,2500000,0,0,0,0,match_2_goal_multiplier=1.350
melker_ellborg__swe,Melker Ellborg,SWE,GK,3500000,0,0,0,0,match_2_goal_multiplier=0.750
noel_tornqvist__swe,Noel Törnqvist,SWE,GK,3500000,0,0,0,0,match_2_goal_multiplier=0.750
robin_olsen__swe,Robin Olsen,SWE,GK,4000000,0,0,0,0,match_2_goal_multiplier=0.750
alejandro_alex_remiro__esp,Alejandro 'Alex' Remiro,ESP,GK,4000000,0,0,0,0,match_2_clean_sheet_multiplier=1.450
robin_roefs__ned,Robin Roefs,NED,GK,3500000,0,0,0,0,match_3_goal_multiplier=1.350
lucas_chevalier__fra,Lucas Chevalier,FRA,GK,4000000,0,0,0,0,match_2_clean_sheet_multiplier=1.450
jonas_urbig__ger,Jonas Urbig,GER,GK,4000000,0,0,0,0,match_1_clean_sheet_multiplier=1.450
finn_dahmen__ger,Finn Dahmen,GER,GK,4000000,0,0,0,0,match_1_clean_sheet_multiplier=1.450
nikolas_polster__aut,Nikolas Polster,AUT,GK,2500000,0,0,0,0,match_1_goal_multiplier=1.350
florian_wiegele__aut,Florian Wiegele,AUT,GK,2500000,0,0,0,0,match_1_goal_multiplier=1.350
joao_carvalho__por,Joao Carvalho,POR,GK,3500000,0,0,0,0,match_1_goal_multiplier=1.350
jindrich_stanek__cze,Jindrich Stanek,CZE,GK,2500000,0,0,0,0,match_2_goal_multiplier=1.256
pascal_loretz__sui,Pascal Loretz,SUI,GK,3000000,0,0,0,0,match_1_goal_multiplier=1.350
denis_visinsky__cze,Denis Visinsky,CZE,MID,2000000,0,0,0,0,match_2_goal_multiplier=1.256
hugo_sochurek__cze,Hugo Sochurek,CZE,MID,2000000,0,0,0,0,match_2_goal_multiplier=1.256
joao_palhinha__por,João Palhinha,POR,MID,4500000,0,0,0,0,match_1_goal_multiplier=1.350
atakan_karazor__tur,Atakan Karazor,TUR,MID,2000000,0,0,0,0,match_1_goal_multiplier=1.279
carney_chukwuemeka__aut,Carney Chukwuemeka,AUT,MID,2500000,0,0,0,0,match_1_goal_multiplier=1.350
anton_stach__ger,Anton Stach,GER,MID,4500000,0,0,0,0,match_1_clean_sheet_multiplier=1.450
assan_ouedraogo__ger,Assan Ouedraogo,GER,MID,3000000,0,0,0,0,match_1_clean_sheet_multiplier=1.450
kevin_schade__ger,Kevin Schade,GER,MID,3500000,0,0,0,0,match_1_clean_sheet_multiplier=1.450
marten_de_roon__ned,Marten de Roon,NED,MID,2500000,0,0,0,0,match_3_goal_multiplier=1.350
guus_til__ned,Guus Til,NED,MID,2500000,0,0,0,0,match_3_goal_multiplier=1.350
alan_varela__arg,Alan Varela,ARG,MID,2500000,0,0,0,0,match_1_goal_multiplier=1.350
cameron_devlin__aus,Cameron Devlin,AUS,MID,2000000,0,0,0,0,match_1_goal_multiplier=0.750
alexander_alex_robertson__aus,Alexander 'Alex' Robertson,AUS,MID,2000000,0,0,0,0,match_1_goal_multiplier=0.750
fabinho__bra,Fabinho,BRA,MID,2500000,0,0,0,0,match_2_clean_sheet_multiplier=1.437
augustine_boakye__gha,Augustine Boakye,GHA,MID,2000000,0,0,0,0,match_2_clean_sheet_multiplier=0.727
cesar_huerta__mex,Cesar Huerta,MEX,MID,2500000,0,0,0,0,match_1_goal_multiplier=1.350
gustavo_caballero__par,Gustavo Caballero,PAR,MID,2000000,0,0,0,0,match_1_goal_multiplier=0.802
jayden_adams__rsa,Jayden Adams,RSA,MID,2000000,0,0,0,0,match_1_goal_multiplier=0.750
mehdi_torabi__irn,Mehdi Torabi,IRN,MID,2000000,0,0,0,0,match_2_goal_multiplier=0.750
cheikh_niasse__sen,Cheikh Niasse,SEN,MID,2000000,0,0,0,0,match_3_goal_multiplier=1.350
nampalys_mendy__sen,Nampalys Mendy,SEN,MID,2000000,0,0,0,0,match_3_goal_multiplier=1.350
alaa_hejji__ksa,Alaa Hejji,KSA,MID,2000000,0,0,0,0,match_2_clean_sheet_multiplier=0.665
abdulrahman_al_obood__ksa,Abdulrahman Al-Obood,KSA,MID,2500000,0,0,0,0,match_2_clean_sheet_multiplier=0.665
