player_id,player_name,team_id,team_name,position,price,price_estimate,start_prob,start_prob_source,minute_share,weighted_group_stage_ev,optimizer_ev,holdet_player_id,holdet_team_name,holdet_price,official_holdet_master,ev_rebased_to_holdet_master,ev_match_method,ev_match_score,goal_share_norm,assist_share_norm,sot_share_norm,match_1_opponent_team,match_1_kickoff,match_1_minutes_if_start,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_clean_sheet_ev,match_1_card_ev,match_1_result_ev,match_1_team_scores_ev,match_1_opponent_scores_ev,match_1_on_pitch_ev,match_1_start_minutes_ev,match_1_total_ev_next_match,match_1_weighted_match_ev,match_2_opponent_team,match_2_kickoff,match_2_minutes_if_start,match_2_goal_ev,match_2_assist_ev,match_2_shots_on_target_ev,match_2_clean_sheet_ev,match_2_card_ev,match_2_result_ev,match_2_team_scores_ev,match_2_opponent_scores_ev,match_2_on_pitch_ev,match_2_start_minutes_ev,match_2_total_ev_next_match,match_2_weighted_match_ev,match_3_opponent_team,match_3_kickoff,match_3_minutes_if_start,match_3_goal_ev,match_3_assist_ev,match_3_shots_on_target_ev,match_3_clean_sheet_ev,match_3_card_ev,match_3_result_ev,match_3_team_scores_ev,match_3_opponent_scores_ev,match_3_on_pitch_ev,match_3_start_minutes_ev,match_3_total_ev_next_match,match_3_weighted_match_ev,total_ev_group_stage,holdet_person_id,holdet_team_id,holdet_start_price,holdet_position,holdet_is_out,score,price_m,model_ev_before_price_quality,price_rank_pct_position,price_quality_ev,weighted_group_stage_ev_before_price_quality,optimizer_ev_before_price_quality,price_quality_weight,price_quality_applied,price_quality_spread_multiplier,round_context_source,price_quality_repair_source,match_1_win_prob,match_1_clean_sheet_prob,match_1_goal_multiplier,match_1_assist_multiplier,match_1_clean_sheet_multiplier,match_2_win_prob,match_2_clean_sheet_prob,match_2_goal_multiplier,match_2_assist_multiplier,match_2_clean_sheet_multiplier,match_3_win_prob,match_3_clean_sheet_prob,match_3_goal_multiplier,match_3_assist_multiplier,match_3_clean_sheet_multiplier,component_source,base_ev_source,repair_status,conditional_start_prob,appearance_prob,availability_prob,availability_risk,availability_status,round_specific_rotation_risk,start_security,start_probability_pct,start_status,price_quality_raw_ev,price_quality_appearance_scaled_ev,price_quality_base_capped_ev,price_quality_method,offensive_fallback_applied,offensive_fallback_source,offensive_fallback_variant_a_base_ev,offensive_fallback_variant_b_base_ev,offensive_fallback_hybrid_base_ev,offensive_fallback_base_ev_lift,offensive_fallback_cap_reason,offensive_fallback_confidence,offensive_fallback_reason_flags,name_norm,team_norm,position_norm,key_name_team_pos,key_name_team,key_token_team
nico_elvedi__sui,Nico Elvedi,SUI,Schweiz,DEF,3000000,3000000,0.8785,transfermarkt_availability_split_2026_06_07,0.079864,3.152138,3.152138,49639,Schweiz,3000000,True,True,name_team_position,1.0,0.007,0.011,0.003,QAT,2026-06-13 21:00,74.706,0.01941,0.019017,0.004564,0.490642,0.073027,0.160851,0.077451,-0.062229,0.058072,65.352809,1.418605,1.418605,BIH,2026-06-18 21:00,74.706,0.020648,0.020251,0.004564,0.406218,0.073027,0.121705,0.082985,-0.057083,0.058072,65.352809,1.215537,1.15476,CAN,2026-06-24 21:00,74.706,0.015825,0.014733,0.004564,0.311604,0.073027,0.116175,0.081603,-0.058525,0.058072,65.352809,0.95354,0.858186,3.587682,33361,583,3000000,DEF,False,,3.0,3.431551,0.71197,2.810634,3.431551,3.431551,0.45,True,1.35,,,,0.5585,,,1.3195,,0.4624,,,1.1897,,0.3547,,,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.912,,0.8948,low_risk,low_risk,,0.8785,88,sikker starter - Transfermarkt landshold,2.810634,2.810634,2.810634,raw_for_likely_starter,,,,,,,,,,nico elvedi,switzerland,DEF,nico elvedi|switzerland|DEF,nico elvedi|switzerland,elvedi nico|switzerland
silvan_widmer__sui,Silvan Widmer,SUI,Schweiz,DEF,3000000,3000000,0.84,transfermarkt_availability_split_2026_06_07+context_override,0.076364,3.779752,3.779752,49851,Schweiz,3000000,True,True,name_team_position,1.0,0.024,0.039,0.02,QAT,2026-06-13 21:00,70.36,0.064151,0.063685,0.029644,0.46914,0.072254,0.17146,0.082559,-0.066332,0.0652,59.1024,1.818346,1.818346,BIH,2026-06-18 21:00,70.36,0.069147,0.068497,0.03335,0.388416,0.072254,0.129733,0.088458,-0.060848,0.0652,59.1024,1.658527,1.575601,CAN,2026-06-24 21:00,70.36,0.053,0.053823,0.03335,0.297948,0.072254,0.123838,0.086985,-0.062385,0.0652,59.1024,1.309689,1.17872,4.786562,34177,583,3000000,DEF,False,,3.0,4.572667,0.71197,2.810634,4.572667,4.572667,0.45,True,1.35,,,,0.5585,,,1.3195,,0.4624,,,1.1897,,0.3547,,,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.89,0.96,0.94,medium_risk,medium_risk,medium,0.84,84,sikker starter - Transfermarkt landshold,2.810634,2.810634,2.810634,raw_for_likely_starter,,,,,,,,,,silvan widmer,switzerland,DEF,silvan widmer|switzerland|DEF,silvan widmer|switzerland,silvan widmer|switzerland
ricardo_rodr_guez__sui,Ricardo Rodriguez,SUI,Schweiz,DEF,3000000,3000000,0.4831,transfermarkt_availability_split_2026_06_07,0.043918,2.08501,2.08501,49768,Schweiz,3000000,True,True,name_team_position,1.0,0.008,0.013,0.003,QAT,2026-06-13 21:00,75.215,0.01211,0.011248,0.002769,0.269811,0.040421,0.163048,0.078508,-0.063078,0.059548,36.170893,0.900362,0.900362,BIH,2026-06-18 21:00,75.215,0.013151,0.012283,0.002769,0.223385,0.040421,0.123368,0.084118,-0.057863,0.059548,36.170893,0.778721,0.739785,CAN,2026-06-24 21:00,75.215,0.00936,0.010054,0.002769,0.171356,0.040421,0.117762,0.082717,-0.059324,0.059548,36.170893,0.626356,0.563721,2.305439,25330,583,3000000,DEF,False,,3.0,2.203868,0.71197,1.939739,2.203868,2.203868,0.45,True,1.35,,,,0.5585,,,1.3195,,0.4624,,,1.1897,,0.3547,,,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.4948,,0.9321,medium_risk,medium_risk,,0.4831,48,sjældent startende - Transfermarkt landshold,2.810634,1.939739,2.810634,appearance_scaled_then_base_capped,,,,,,,,,,ricardo rodriguez,switzerland,DEF,ricardo rodriguez|switzerland|DEF,ricardo rodriguez|switzerland,ricardo rodriguez|switzerland
eray_c_mert__sui,Eray Cömert,SUI,Schweiz,DEF,2000000,2000000,0.0563,transfermarkt_availability_split_2026_06_07,0.005118,0.272691,0.272691,49071,Schweiz,2000000,True,True,name_team_position,1.0,0.007,0.011,0.003,QAT,2026-06-13 21:00,74.549,0.001211,0.001038,0.000221,0.031444,0.004653,0.084298,0.04059,-0.032613,0.006638,4.197109,0.174038,0.174038,BIH,2026-06-18 21:00,74.549,0.001316,0.001147,0.000332,0.026033,0.004653,0.063783,0.04349,-0.029916,0.006638,4.197109,0.148284,0.140869,CAN,2026-06-24 21:00,74.549,0.001008,0.000938,0.000332,0.01997,0.004653,0.060884,0.042766,-0.030671,0.006638,4.197109,0.128092,0.115283,0.450414,34768,583,2000000,DEF,False,,2.0,0.43019,0.118454,0.080192,0.43019,0.43019,0.45,True,1.35,,,,0.5585,,,1.3195,,0.4624,,,1.1897,,0.3547,,,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.0654,,0.6,high_risk,high_risk,,0.0563,6,sjældent startende - Transfermarkt landshold,0.99706,0.080192,0.645285,appearance_scaled_then_base_capped,,,,,,,,,,eray comert,switzerland,DEF,eray comert|switzerland|DEF,eray comert|switzerland,comert eray|switzerland
manuel_akanji__sui,Manuel Akanji,SUI,Schweiz,DEF,3500000,3500000,0.9398,transfermarkt_availability_split_2026_06_07,0.085436,3.503895,3.503895,49486,Schweiz,3500000,True,True,name_team_position,1.0,0.008,0.012,0.003,QAT,2026-06-13 21:00,75.098,0.022586,0.021123,0.004506,0.524878,0.078861,0.167852,0.080822,-0.064937,0.062776,70.517022,1.525775,1.525775,BIH,2026-06-18 21:00,75.098,0.024845,0.023324,0.005633,0.434564,0.078861,0.127003,0.086597,-0.059568,0.062776,70.517022,1.318663,1.25273,CAN,2026-06-24 21:00,75.098,0.017579,0.019092,0.005633,0.333347,0.078861,0.121232,0.085155,-0.061072,0.062776,70.517022,1.030976,0.927879,3.875414,34769,583,3500000,DEF,False,,3.5,3.706384,0.857855,3.256408,3.706384,3.706384,0.45,True,1.35,,,,0.5585,,,1.3195,,0.4624,,,1.1897,,0.3547,,,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.97,,0.9112,low_risk,low_risk,,0.9398,94,sikker starter - Transfermarkt landshold,3.256408,3.256408,3.256408,raw_for_likely_starter,,,,,,,,,,manuel akanji,switzerland,DEF,manuel akanji|switzerland|DEF,manuel akanji|switzerland,akanji manuel|switzerland
becir_omeragic__sui,Becir Omeragic,SUI,Schweiz,DEF,2000000,2000000,0.25,holdet_official_unmatched_default,0.022727,0.0,0.0,48890,Schweiz,2000000,True,True,unmatched,0.5217391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40598,583,2000000,DEF,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cedric_zesiger__sui,Cedric Zesiger,SUI,Schweiz,DEF,2000000,2000000,0.25,holdet_official_unmatched_default,0.022727,0.0,0.0,48942,Schweiz,2000000,True,True,unmatched,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41283,583,2000000,DEF,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurele_amenda__sui,Aurele Amenda,SUI,Schweiz,DEF,2500000,2500000,0.0487,transfermarkt_availability_split_2026_06_07,0.004427,0.266654,0.266654,48868,Schweiz,2500000,True,True,name_team_position,1.0,0.006,0.01,0.003,QAT,2026-06-13 21:00,74.36,0.000993,0.000851,0.000218,0.027199,0.004033,0.078169,0.037639,-0.030241,0.00252,3.613896,0.152621,0.152621,BIH,2026-06-18 21:00,74.36,0.001109,0.000967,0.000218,0.022519,0.004033,0.059145,0.040328,-0.027741,0.00252,3.613896,0.129534,0.123057,CAN,2026-06-24 21:00,74.36,0.000709,0.000792,0.000218,0.017274,0.004033,0.056457,0.039656,-0.028441,0.00252,3.613896,0.11101,0.099909,0.393165,45018,583,2500000,DEF,False,,2.5,0.375587,0.4202,0.133514,0.375587,0.375587,0.45,True,1.35,,,,0.5585,,,1.3195,,0.4624,,,1.1897,,0.3547,,,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.05,,0.9271,medium_risk,medium_risk,,0.0487,5,sjældent startende - Transfermarkt landshold,1.919087,0.133514,0.563381,appearance_scaled_then_base_capped,,,,,,,,,,aurele amenda,switzerland,DEF,aurele amenda|switzerland|DEF,aurele amenda|switzerland,amenda aurele|switzerland
luca_jaquez__sui,Luca Jaquez,SUI,Schweiz,DEF,2000000,2000000,0.0479,transfermarkt_availability_split_2026_06_07,0.004355,0.237509,0.237509,49450,Schweiz,2000000,True,True,name_team_position,1.0,,,,QAT,2026-06-13 21:00,,,,,0.026752,,0.081479,0.039232,-0.031521,0.004744,,0.152788,0.152788,BIH,2026-06-18 21:00,,,,,0.022149,,0.06165,0.042036,-0.028916,0.004744,,0.128242,0.12183,CAN,2026-06-24 21:00,,,,,0.01699,,0.058848,0.041335,-0.029645,0.004744,,0.11266,0.101394,0.39369,47434,583,2000000,DEF,False,,2.0,0.376012,0.118454,0.068227,0.376012,0.376012,0.45,True,1.35,distributed_from_existing_optimizer_ev,,0.7335,0.5585,1.35,1.25,1.3195,0.6013,0.4624,1.3025,1.2161,1.1897,0.4577,0.3547,1.1403,1.1002,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.05,,0.878,medium_risk,medium_risk,,0.0479,5,sjældent startende - Transfermarkt landshold,0.99706,0.068227,0.564018,appearance_scaled_then_base_capped,,,,,,,,,,luca jaquez,switzerland,DEF,luca jaquez|switzerland|DEF,luca jaquez|switzerland,jaquez luca|switzerland
isaac_schmidt__sui,Isaac Schmidt,SUI,Schweiz,DEF,2000000,2000000,0.25,holdet_official_unmatched_default,0.022727,0.0,0.0,49220,Schweiz,2000000,True,True,unmatched,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48032,583,2000000,DEF,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
