player_name,team_id,manual_status,manual_start_status,manual_captain_status,manual_role_note,manual_set_piece_role,manual_captain_note,manual_note
Christoph Baumgartner,AUT,avoid,avoid,avoid,Skadet/ikke udtaget,,,Skal ikke vaelges
Roberto Alvarado,MEX,check,doubtful,avoid,,,,Lav conditional start og lav landsholds-maalrate; maa ikke anbefales som kaptajn uden bekraeftet start/rolle
