team_id,team_name,gk_count,sum_start_prob,max_start_prob,over_100_flag,multiple_high_gk_flag,player_name,player_id,start_prob,conditional_start_prob,start_prob_source,optimizer_ev,price
AUT,Østrig,4,1.0289,0.95,TRUE,FALSE,Patrick Pentz,patrick_pentz__aut,0.0538,0.0538,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.430095,2995000
AUT,Østrig,4,1.0289,0.95,TRUE,FALSE,Florian Wiegele,florian_wiegele__aut,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
AUT,Østrig,4,1.0289,0.95,TRUE,FALSE,Nikolas Polster,nikolas_polster__aut,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
BEL,Belgien,5,1.0,0.9486,FALSE,FALSE,Thibaut Courtois,thibaut_courtois__bel,0.9486,0.9486,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,11.461094,4529000
BEL,Belgien,5,1.0,0.9486,FALSE,FALSE,Senne Lammens,senne_lammens__bel,0.0263,0.0263,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.343993,3995000
BEL,Belgien,5,1.0,0.9486,FALSE,FALSE,Mike Penders,mike_penders__bel,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.395085,3495000
BEL,Belgien,5,1.0,0.9486,FALSE,FALSE,Maarten Vandevoordt,maarten_vandevoordt__bel,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,3500000
BEL,Belgien,5,1.0,0.9486,FALSE,FALSE,Matz Sels,matz_sels__bel,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,4500000
BIH,Bosnien-Hercegovina,4,1.0,0.9097,FALSE,FALSE,Nikola Vasilj,nikola_vasilj__bih,0.9097,0.9097,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,3.413347,3019000
BIH,Bosnien-Hercegovina,4,1.0,0.9097,FALSE,FALSE,Martin Zlomislic,martin_zlomisli__bih,0.0652,0.0652,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.232798,2495000
BIH,Bosnien-Hercegovina,4,1.0,0.9097,FALSE,FALSE,Mladen Jurkas,mladen_jurkas__bih,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
BIH,Bosnien-Hercegovina,4,1.0,0.9097,FALSE,FALSE,Osman Hadzikic,osman_hadzikic__bih,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
BRA,Brasilien,4,1.0251,0.65,TRUE,FALSE,Alisson Becker,alisson_becker__bra,0.65,0.7,manual_context_override_safe,21.501081,5019000
