player_id,player_name,team_id,position,start_prob,minute_share,component_rounds_present,component_weighted_sum,old_base_ev,price_quality_ev_num,current_final_ev,formula_expected_ev,formula_diff,component_vs_old_base_diff,repair_status
luiz_henrique__bra,Luiz Henrique,BRA,FWD,0.8148,0.074073,3,3.1706179999999997,1.206,1.759073225806452,3.824941,1.4548829516129036,2.3700580483870963,1.9646179999999998,component_rows_need_new_base
gon_alo_ramos__por,Goncalo Ramos,POR,FWD,0.6042,0.054927,3,2.076313,0.923,3.020881935483872,4.204526,1.8670468709677426,2.337479129032258,1.1533129999999998,component_rows_need_new_base
ruben_vargas__sui,Ruben Vargas,SUI,FWD,0.8607,0.078245,3,2.589047,1.057,2.2812009677419365,3.934691,1.6078904354838714,2.3268005645161285,1.532047,component_rows_need_new_base
gonzalo_plata__ecu,Gonzalo Plata,ECU,MID,0.7964,0.0724,3,3.2622180000000003,1.451,2.3658784615384616,4.187812,1.8626953076923078,2.3251166923076925,1.8112180000000002,component_rows_need_new_base
dan_ndoye__sui,Dan Ndoye,SUI,FWD,0.8479,0.077082,3,2.6789449999999997,1.187,2.635501935483872,4.153553,1.8388258709677423,2.3147271290322573,1.4919449999999996,component_rows_need_new_base
leandro_paredes__arg,Leandro Paredes,ARG,MID,0.7571,0.068827,3,1.8604429999999998,0.752,2.5527461538461536,3.86521,1.5623357692307691,2.3028742307692305,1.1084429999999998,component_rows_need_new_base
gabriel_martinelli__bra,Gabriel Martinelli,BRA,FWD,0.6448,0.058618,3,2.620529,1.2,2.635501935483872,4.031196,1.8459758709677425,2.185220129032257,1.420529,component_rows_need_new_base
declan_rice__eng,Declan Rice,ENG,MID,0.8465,0.076955,3,2.441116,1.108,2.662864615384616,3.982652,1.8076890769230771,2.1749629230769227,1.333116,component_rows_need_new_base
nikola_vla_i__cro,Nikola Vlasic,CRO,MID,0.732,0.066545,3,2.439698,0.969,1.9220676923076925,3.51951,1.3978804615384617,2.121629538461538,1.470698,component_rows_need_new_base
cho_gue_sung__kor,Gue-sung Cho,KOR,FWD,0.8209,0.074627,3,1.0936730000000001,0.24,1.0193922580645165,2.691926,0.5907265161290325,2.1011994838709676,0.8536730000000001,component_rows_need_new_base
hwang_hee_chan__kor,Hee-Chan Hwang,KOR,MID,0.7563,0.068755,3,0.346384,0.107,1.9220676923076925,3.018704,0.9237804615384616,2.0949235384615386,0.23938400000000004,component_rows_need_new_base
jordan_henderson__eng,Jordan Henderson,ENG,MID,0.7192,0.065382,3,1.576106,0.641,2.3658784615384616,3.484631,1.4171953076923076,2.067435692307692,0.935106,component_rows_need_new_base
armin_gigovic__bih,Armin Gigovic,BIH,MID,0.8312,0.075564,3,2.741561,1.156,1.9220676923076925,3.559119,1.5007304615384616,2.0583885384615384,1.585561,component_rows_need_new_base
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,0.7538,0.068527,3,3.116988,1.586,2.662864615384616,4.069358,2.0705890769230773,1.998768923076923,1.530988,component_rows_need_new_base
bukayo_saka__eng,Bukayo Saka,ENG,FWD,0.8152,0.074109,3,2.5872770000000003,1.371,3.325456451612904,4.247032,2.250505403225807,1.996526596774193,1.2162770000000003,component_rows_need_new_base
giuliano_simeone__arg,Giuliano Simeone,ARG,FWD,0.7893,0.071755,3,1.7700559999999999,0.805,2.635501935483872,3.581288,1.6287258709677426,1.9525621290322572,0.9650559999999998,component_rows_need_new_base
