holdet_player_id,player_name,team_id,team_name,position,price,raw_price,status,reason,source_file
49574,Mohamed Ali Ben Romdhane,TUN,Tunesien,MID,3500000,3500000,possible_existing,closest_match_score=0.908,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49546,Melker Ellborg,SWE,Sverige,GK,3500000,3500000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49541,Maximilian Mittelstädt,GER,Tyskland,DEF,3500000,3500000,possible_existing,closest_match_score=0.884,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49474,Maarten Vandevoordt,BEL,Belgien,GK,3500000,3500000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49438,Lewis Hall,ENG,England,DEF,3500000,3500000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49394,Kevin Schade,GER,Tyskland,MID,3500000,3500000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49374,Kaoru Mitoma,JPN,Japan,MID,3500000,3500000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49300,Johan Carbonero,COL,Colombia,FWD,3500000,3500000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49287,Joao Carvalho,POR,Portugal,GK,3500000,3500000,possible_existing,closest_match_score=0.920,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49278,Jesus Rodriguez,ESP,Spanien,MID,3500000,3500000,possible_existing,closest_match_score=0.917,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
48985,Daniel Vivian,ESP,Spanien,DEF,3500000,3500000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
48855,Antonio Silva,POR,Portugal,DEF,3500000,3500000,possible_existing,closest_match_score=0.836,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50252,Sergino Dest,USA,USA,DEF,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49819,Samuel Aghehowa,ESP,Spanien,FWD,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49795,Roony Bardghji,SWE,Sverige,MID,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50308,Rodrigo Bentancur,URU,Uruguay,MID,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50299,Promise David,CAN,Canada,FWD,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49738,Pierre Kalulu,FRA,Frankrig,DEF,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49726,Pedro 'Pote' Goncalves,POR,Portugal,MID,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49709,Pascal Loretz,SUI,Schweiz,GK,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49703,Pablo Fornals,ESP,Spanien,MID,3000000,3000000,possible_existing,closest_match_score=0.859,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49702,Pablo Barrios,ESP,Spanien,MID,3000000,3000000,possible_existing,closest_match_score=0.946,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49617,Munir Mohamedi El Kajoui,MAR,Marokko,GK,3000000,3000000,possible_existing,closest_match_score=1.019,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49508,Martial Godo,CIV,Elfenbenskysten,FWD,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50275,Lisandro Martinez,ARG,Argentina,DEF,3000000,3000000,possible_existing,closest_match_score=1.024,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49345,Juan Cabal,COL,Colombia,DEF,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49257,Jarrod Bowen,ENG,England,FWD,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49173,Harry Maguire,ENG,England,DEF,3000000,3000000,possible_existing,closest_match_score=0.896,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50266,Frenkie de Jong,NED,Holland,MID,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49102,Ferjani Sassi,TUN,Tunesien,MID,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49047,Eduardo Camavinga,FRA,Frankrig,MID,3000000,3000000,potential_new,no_name_team_match,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
