match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_cs_prob,away_cs_prob,over_2_5_prob,under_2_5_prob,source,odds_fetched_at,odds_fetched_label
35,ECU,CUW,2026-06-21 02:00,1.22,6.75,17,,,,,0.7984,0.1443,0.0573,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
36,TUN,JPN,2026-06-21 06:00,5.3,3.7,1.76,,,,,0.1837,0.2631,0.5532,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
37,ESP,KSA,2026-06-21 18:00,1.12,10,30,,,,,0.8701,0.0974,0.0325,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
38,BEL,IRN,2026-06-21 21:00,1.41,4.9,9,,,,,0.6923,0.1992,0.1085,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
39,URU,CPV,2026-06-22 00:00,1.47,4.5,8,,,,,0.6621,0.2163,0.1217,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
40,NZL,EGY,2026-06-22 03:00,5.4,3.7,1.75,,,,,0.1803,0.2632,0.5565,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
41,ARG,AUT,2026-06-22 19:00,1.71,3.85,5.5,,,,,0.5698,0.2531,0.1771,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
42,FRA,IRQ,2026-06-22 23:00,1.14,10,23,,,,,0.8594,0.0980,0.0426,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
43,NOR,SEN,2026-06-23 02:00,2.18,3.55,3.5,,,,,0.4470,0.2745,0.2784,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
44,JOR,ALG,2026-06-23 05:00,6.5,4.25,1.56,,,,,0.1493,0.2284,0.6223,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
45,POR,UZB,2026-06-23 19:00,1.27,6.25,12,,,,,0.7639,0.1552,0.0808,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
46,ENG,GHA,2026-06-23 22:00,1.36,5.1,10,,,,,0.7129,0.1901,0.0970,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
47,PAN,CRO,2026-06-24 01:00,7,4.2,1.54,,,,,0.1387,0.2311,0.6303,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
48,COL,COD,2026-06-24 04:00,1.53,4.2,7.5,,,,,0.6376,0.2323,0.1301,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
