type,player_name,team,position,pool_team,holdet_team,pool_price,holdet_price,diff,pool_is_out,holdet_is_out
price_change,Leandro Bacuna,,MID,CUW,Curaçao,2.5,2.45,-0.05,,
price_change,Leon Goretzka,,MID,GER,Tyskland,4.5,4.55,0.05,,
price_change,Leroy Sane,,FWD,GER,Tyskland,5.5,5.59,0.09,,
price_change,Livano Comenencia,,DEF,CUW,Curaçao,2.5,2.63,0.13,,
price_change,Lucas Bergvall,,MID,SWE,Sverige,2.5,2.61,0.11,,
price_change,Manuel Neuer,,GK,GER,Tyskland,5.0,5.1,0.1,,
price_change,Mattias Svanberg,,MID,SWE,Sverige,2.5,2.7,0.2,,
price_change,Memphis Depay,,FWD,NED,Holland,4.0,3.98,-0.02,,
price_change,Mohamed Amine Ben Hamida,,DEF,TUN,Tunesien,2.5,2.47,-0.03,,
price_change,Montassar Talbi,,DEF,TUN,Tunesien,3.0,2.97,-0.03,,
price_change,Nathaniel Brown,,DEF,GER,Tyskland,2.5,2.81,0.31,,
price_change,Nico Schlotterbeck,,DEF,GER,Tyskland,4.0,4.32,0.32,,
price_change,Nicolas Pepe,,FWD,CIV,Elfenbenskysten,2.5,2.53,0.03,,
price_change,Nilson Angulo,,FWD,ECU,Ecuador,2.0,1.99,-0.01,,
price_change,Odilon Kossounou,,DEF,CIV,Elfenbenskysten,2.5,2.54,0.04,,
price_change,Omar Rekik,,DEF,TUN,Tunesien,2.0,2.14,0.14,,
price_change,Rani Khedira,,MID,TUN,Tunesien,3.0,2.96,-0.04,,
price_change,Riechedly Bazoer,,DEF,CUW,Curaçao,2.0,1.95,-0.05,,
price_change,Ryan Gravenberch,,MID,NED,Holland,3.5,3.64,0.14,,
price_change,Sebastian Tounekti,,MID,TUN,Tunesien,2.0,1.98,-0.02,,
price_change,Seko Fofana,,MID,CIV,Elfenbenskysten,2.5,2.52,0.02,,
price_change,Sherel Floranus,,DEF,CUW,Curaçao,2.5,2.45,-0.05,,
price_change,Shogo Taniguchi,,DEF,JPN,Japan,3.0,3.02,0.02,,
price_change,Tahith Chong,,MID,CUW,Curaçao,2.0,1.96,-0.04,,
price_change,Takefusa Kubo,,MID,JPN,Japan,4.0,4.07,0.07,,
price_change,Takehiro Tomiyasu,,DEF,JPN,Japan,2.0,2.02,0.02,,
price_change,Tijjani Reijnders,,MID,NED,Holland,6.0,6.02,0.02,,
price_change,Victor Lindelöf,,DEF,SWE,Sverige,3.0,3.07,0.07,,
price_change,Viktor Gyökeres,,FWD,SWE,Sverige,6.0,6.27,0.27,,
price_change,Virgil van Dijk,,DEF,NED,Holland,5.0,5.26,0.26,,
price_change,Waldemar Anton,,DEF,GER,Tyskland,3.5,3.54,0.04,,
price_change,Wilfried Stephane Singo,,DEF,CIV,Elfenbenskysten,2.5,2.65,0.15,,
price_change,Yahia Fofana,,GK,CIV,Elfenbenskysten,3.0,3.12,0.12,,
price_change,Yan Diomande,,FWD,CIV,Elfenbenskysten,3.0,3.08,0.08,,
price_change,Yan Valery,,DEF,TUN,Tunesien,2.5,2.48,-0.02,,
price_change,Yasin Ayari,,MID,SWE,Sverige,3.5,3.87,0.37,,
price_change,Yukinari Sugawara,,DEF,JPN,Japan,3.5,3.53,0.03,,
price_change,Zion Suzuki,,GK,JPN,Japan,4.0,4.04,0.04,,
