"match_id","home","away","team_id","clean_sheet_yes_odds","clean_sheet_no_odds","source","clean_sheet_fetched_at","clean_sheet_fetched_label","note","stage","group","team_name","opponent_id","opponent_name","kickoff_dk","yes_odds","no_odds","odds_fetched_at","odds_fetched_label"
"71","ALG","AUT","ALG","3.15","1.31","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"71","ALG","AUT","AUT","2.70","1.40","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"72","JOR","ARG","ARG","1.61","2.15","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"72","JOR","ARG","JOR","8.50","1.04","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"73","","","FRA","1.87","1.83","Unibet/Oddset.dk","","","","R32","","Frankrig","SWE","Sverige","2026-06-30 23:00","1.87","1.83","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"73","","","SWE","7.75","1.05","Unibet/Oddset.dk","","","","R32","","Sverige","FRA","Frankrig","2026-06-30 23:00","7.75","1.05","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"74","","","BIH","5.75","1.10","Unibet/Oddset.dk","","","","R32","","Bosnien-Hercegovina","USA","USA","2026-07-02 02:00","5.75","1.10","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"74","","","USA","1.73","2.00","Unibet/Oddset.dk","","","","R32","","USA","BIH","Bosnien-Hercegovina","2026-07-02 02:00","1.73","2.00","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"75","","","AUS","2.75","1.40","Unibet/Oddset.dk","","","","R32","","Australien","EGY","Egypten","2026-07-03 20:00","2.75","1.40","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"75","","","EGY","2.25","1.56","Unibet/Oddset.dk","","","","R32","","Egypten","AUS","Australien","2026-07-03 20:00","2.25","1.56","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"76","","","ARG","1.40","2.70","Unibet/Oddset.dk","","","","R32","","Argentina","CPV","Kap Verde","2026-07-04 00:00","1.40","2.70","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"76","","","CPV","8.00","1.04","Unibet/Oddset.dk","","","","R32","","Kap Verde","ARG","Argentina","2026-07-04 00:00","8.00","1.04","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"77","","","CAN","2.05","1.67","Unibet/Oddset.dk","","","","R32","","Canada","RSA","Sydafrika","2026-06-28 21:00","2.05","1.67","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"77","","","RSA","4.25","1.18","Unibet/Oddset.dk","","","","R32","","Sydafrika","CAN","Canada","2026-06-28 21:00","4.25","1.18","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"78","","","BRA","2.15","1.63","Unibet/Oddset.dk","","","","R32","","Brasilien","JPN","Japan","2026-06-29 19:00","2.15","1.63","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"78","","","JPN","4.50","1.16","Unibet/Oddset.dk","","","","R32","","Japan","BRA","Brasilien","2026-06-29 19:00","4.50","1.16","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"79","","","GER","1.87","1.83","Unibet/Oddset.dk","","","","R32","","Tyskland","PAR","Paraguay","2026-06-29 22:30","1.87","1.83","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"79","","","PAR","6.50","1.08","Unibet/Oddset.dk","","","","R32","","Paraguay","GER","Tyskland","2026-06-29 22:30","6.50","1.08","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"80","","","MAR","3.50","1.26","Unibet/Oddset.dk","","","","R32","","Marokko","NED","Holland","2026-06-30 03:00","3.50","1.26","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"80","","","NED","2.40","1.50","Unibet/Oddset.dk","","","","R32","","Holland","MAR","Marokko","2026-06-30 03:00","2.40","1.50","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
