player_id,player_name,team_id,position,recent_available_observations,recent_available_start_rate,historical_weighted_start_rate,neutral_injury_or_suspension_rows,old_conditional_start_prob,new_conditional_start_prob,old_start_prob,new_start_prob,old_start_prob_source,new_start_prob_source,context_override
rodrigo_de_paul__arg,Rodrigo de Paul,ARG,MID,2026-06-07:played:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.7526,0,0.4678,0.2258,0.4553,0.2199,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
lyndon_dykes__sco,Lyndon Dykes,SCO,FWD,2026-06-06:in squad:start=0; 2026-05-30:played:start=0; 2026-03-31:played:start=0,0,0.4973,12,0.391,0.1492,0.3801,0.1452,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
leon_goretzka__ger,Leon Goretzka,GER,MID,2026-06-06:played:start=0; 2026-05-31:in squad:start=0; 2026-03-30:played:start=0,0,0.6137,22,0.4272,0.1841,0.3713,0.1607,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
duke_lacroix__hai,Duke Lacroix,HAI,DEF,2026-06-06:played:start=0; 2026-06-03:played:start=0; 2026-03-31:in squad:start=0,0,0.4837,0,0.3881,0.1451,0.3646,0.1367,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
kadir_barria__pan,Kadir Barria,PAN,FWD,2026-06-06:in squad:start=0; 2026-06-04:played:start=0; 2026-05-31:played:start=0,0,0.4006,0,0.3752,0.1202,0.3598,0.1158,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
ram_n_sosa__par,Ramon Sosa,PAR,MID,2026-06-05:played:start=0; 2026-03-31:in squad:start=0; 2026-03-27:played:start=0,0,0.3784,1,0.3545,0.1135,0.3414,0.1096,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
jason_geria__aus,Jason Geria,AUS,DEF,2026-06-06:played:start=0; 2026-05-31:in squad:start=0; 2026-03-31:played:start=0,0,0.4826,4,0.3936,0.1448,0.3385,0.1245,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
gustavo_vel_squez__par,Gustavo Velazquez,PAR,DEF,2026-06-05:played:start=0; 2026-03-31:in squad:start=0; 2026-03-27:played:start=0,0,0.3168,0,0.3352,0.095,0.3283,0.0932,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
samet_akaydin__tur,Samet Akaydin,TUR,DEF,2026-06-06:in squad:start=0; 2026-06-01:played:start=0; 2026-03-31:in squad:start=0,0,0.3354,0,0.3395,0.1006,0.3282,0.0974,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
mathieu_choiniere__can,Mathieu Choiniere,CAN,MID,2026-06-05:in squad:start=0; 2026-06-02:played:start=0; 2026-03-31:in squad:start=0,0,0.3202,0,0.3342,0.0961,0.3261,0.0938,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
ben_waine__nzl,Ben Waine,NZL,FWD,2026-06-06:in squad:start=0; 2026-06-03:played:start=0; 2026-03-30:played:start=0,0,0.3356,0,0.3401,0.1007,0.3219,0.0955,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
rayan_elloumi__tun,Rayan Elloumi,TUN,FWD,2026-06-06:played:start=0; 2026-06-01:played:start=0; 2026-03-31:played:start=0,0,0.2396,0,0.3305,0.0719,0.3107,0.0682,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
nathan_patterson__sco,Nathan Patterson,SCO,DEF,2026-06-06:in squad:start=0; 2026-05-30:played:start=0; 2026-03-31:played:start=0,0,0.3577,16,0.3514,0.1073,0.3091,0.095,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
yassin_fortune__hai,Yassin Fortune,HAI,FWD,2026-06-06:in squad:start=0; 2026-06-03:played:start=0; 2026-03-31:in squad:start=0,0,0.3077,0,0.3476,0.0923,0.302,0.0813,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
mortadha_ben_ouanes__tun,Mortadha Ben Ouanes,TUN,MID,2026-06-06:played:start=0; 2026-06-01:in squad:start=0; 2026-03-31:in squad:start=0,0,0.2706,8,0.3197,0.0812,0.275,0.0698,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
sebastian_tounekti__tun,Sebastian Tounekti,TUN,MID,2026-06-06:played:start=0; 2026-06-01:played:start=0; 2026-03-31:played:start=0,0,0.2201,0,0.3059,0.066,0.2631,0.0568,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
