player_name,team_id,position,price_m,start_prob,conditional_start_prob,availability_risk,match_1_opponent_team,match_1_weighted_match_ev,optimizer_ev,start_signal_tier,start_signal_rank_adjusted,audit_priority
Marko Arnautovic,AUT,FWD,4.5,0.6508,0.675,medium_risk,JOR,1.792874,3.215638,Sandsynlig starter,0.6967401825309103,0.7834992000000001
Roberto Alvarado,MEX,MID,2.5,0.5756,0.6356,medium_risk,RSA,1.592212,2.53064,Tvivlsom starter,0.607022335755457,0.6981696000000001
Alexis Vega,MEX,FWD,2.5,0.5492,0.6134,medium_risk,RSA,1.429618,2.326694,Tvivlsom starter,0.5709516265907862,0.5944944
Michael Gregoritsch,AUT,FWD,3.5,0.6037,0.6219,medium_risk,JOR,1.417942,2.479731,Tvivlsom starter,0.6399130922232404,0.5306536000000001
Oscar Bobb,NOR,MID,3.0,0.6439,0.6602,medium_risk,IRQ,1.462743,2.619677,Tvivlsom starter,0.5984136051822821,0.5262943999999999
Philipp Lienhart,AUT,DEF,3.0,0.6578,0.6915,medium_risk,JOR,1.377353,2.603228,Tvivlsom starter,0.6342632084410016,0.4440824
Romano Schmid,AUT,MID,3.0,0.6372,0.6573,medium_risk,JOR,1.33573,2.168069,Tvivlsom starter,0.642707674499172,0.4313840000000002
Oliver Baumann,GER,GK,5.0,0.5443,0.5443,medium_risk,CUW,1.205717,2.801981,Tvivlsom starter,0.5705997907725998,0.4202736
Konrad Laimer,AUT,MID,3.0,0.7089,0.7264,low_risk,JOR,1.410399,2.324624,Sandsynlig starter,0.7085064833389588,0.4194192
Stefan Posch,AUT,DEF,3.0,0.636,0.6605,medium_risk,JOR,1.29463,2.484749,Tvivlsom starter,0.6146109864316801,0.39970399999999995
Nuno Mendes,POR,DEF,4.5,0.6832,0.6986,medium_risk,COD,1.344801,3.388795,Tvivlsom starter,0.6529560374593198,0.3926407999999999
Aymeric Laporte,ESP,DEF,4.5,0.6498,0.7193,medium_risk,CPV,1.276736,3.526242,Tvivlsom starter,0.6319576253891089,0.37158880000000016
Marc Cucurella,ESP,DEF,4.5,0.5921,0.6844,high_risk,CPV,1.156983,3.21148,Tvivlsom starter,0.5802672453854885,0.3334864000000002
Pedro Porro,ESP,DEF,4.5,0.5721,0.6653,high_risk,CPV,1.128175,3.107596,Tvivlsom starter,0.5623926409278471,0.33043999999999996
Arda Güler,TUR,MID,4.5,0.6698,0.6929,medium_risk,AUS,1.243161,2.996129,Tvivlsom starter,0.6737593649342473,0.32472880000000004
Pedro Neto,POR,FWD,5.0,0.5894,0.6369,medium_risk,COD,1.102543,2.836951,Tvivlsom starter,0.599844736062515,0.29263440000000007
Billy Gilmour,SCO,MID,3.0,0.6729,0.683,medium_risk,HAI,1.18987,2.114471,Tvivlsom starter,0.6745442847991314,0.278996
David Møller Wolfe,NOR,DEF,3.0,0.6856,0.7138,low_risk,IRQ,1.198049,2.518437,Tvivlsom starter,0.6575547202320725,0.27283919999999995
Benjamin Nygren,SWE,FWD,3.0,0.6072,0.6237,medium_risk,TUN,1.098861,1.965284,Tvivlsom starter,0.6222652271827243,0.27188880000000015
Federico Vinas,URU,FWD,4.0,0.5403,0.5957,medium_risk,KSA,1.009059,2.4998,Tvivlsom starter,0.5767220920301953,0.26694719999999994
Malik Tillman,USA,MID,4.0,0.572,0.6294,medium_risk,PAR,1.043841,2.523248,Tvivlsom starter,0.5948892839214233,0.2630728000000001
Julian Quinones,MEX,FWD,3.0,0.5348,0.6023,medium_risk,RSA,0.990545,2.018899,Bænk/rotation,0.5041933666958189,0.257636
Jesus Gallardo,MEX,DEF,3.0,0.6419,0.6786,medium_risk,RSA,1.111469,2.605595,Tvivlsom starter,0.6168882590493918,0.24727520000000003
Nathaniel Brown,GER,DEF,2.5,0.5469,0.5703,medium_risk,CUW,0.991773,1.80807,Tvivlsom starter,0.5331476367264059,0.24651840000000003
John McGinn,SCO,MID,3.5,0.6947,0.7267,low_risk,HAI,1.1636,2.299585,Sandsynlig starter,0.6959944627354127,0.23618000000000006
Julian Ryerson,NOR,DEF,3.5,0.6549,0.6758,medium_risk,IRQ,1.098425,2.528811,Tvivlsom starter,0.6314701563532411,0.22384000000000004
Nahuel Molina,ARG,DEF,4.0,0.6634,0.6948,medium_risk,ALG,1.105438,3.059304,Tvivlsom starter,0.6344061043167055,0.2209504
Amirhossein Hosseinzadeh,IRN,FWD,3.0,0.539,0.6112,medium_risk,NZL,0.949263,1.639766,Bænk/rotation,0.5075654862770642,0.2204104
Ryan Christie,SCO,MID,2.5,0.6346,0.661,medium_risk,HAI,1.056397,1.5894,Tvivlsom starter,0.5847749675314958,0.21051759999999997
Fabian Rieder,SUI,MID,3.0,0.5779,0.6145,medium_risk,QAT,0.984351,2.255913,Tvivlsom starter,0.5896622584723874,0.2095808
John Souttar,SCO,DEF,2.5,0.5762,0.6403,medium_risk,HAI,0.981744,1.672097,Tvivlsom starter,0.5572026667481333,0.20919519999999991
Nicolas Tagliafico,ARG,DEF,4.0,0.6441,0.68,medium_risk,ALG,1.061377,2.966024,Tvivlsom starter,0.6173797135707508,0.2050016
Gonzalo Montiel,ARG,DEF,3.5,0.5498,0.5849,medium_risk,ALG,0.941075,2.503852,Bænk/rotation,0.4841406133151827,0.20306000000000013
Theo Hernandez,FRA,DEF,4.5,0.6651,0.674,medium_risk,SEN,1.066909,3.216373,Tvivlsom starter,0.6369050997988082,0.18842720000000013
Craig Gordon,SCO,GK,2.5,0.6638,0.6638,medium_risk,HAI,1.051643,1.404913,Tvivlsom starter,0.670523580481239,0.17751440000000018
Kenny McLean,SCO,MID,2.5,0.5621,0.6068,medium_risk,HAI,0.918757,1.395558,Bænk/rotation,0.4378391094352706,0.1729056
Giovani Lo Celso,ARG,MID,4.0,0.55,0.65,medium_risk,ALG,0.903214,2.229377,Tvivlsom starter,0.5607199334839955,0.17257119999999992
Marcus Thuram,FRA,FWD,5.0,0.5572,0.5994,medium_risk,SEN,0.900054,2.593178,Bænk/rotation,0.4395977302297936,0.16284320000000008
Maximilian Wöber,AUT,DEF,2.5,0.5612,0.6179,medium_risk,JOR,0.903612,1.64019,Tvivlsom starter,0.5432551031614773,0.1616896
Ibrahima Konate,FRA,DEF,3.0,0.6172,0.635,medium_risk,SEN,0.968231,2.644908,Tvivlsom starter,0.5925481374572121,0.1573848
Ismael Diaz,PAN,FWD,2.5,0.5482,0.6319,high_risk,GHA,0.881291,1.818842,Tvivlsom starter,0.6141299593510379,0.1568328000000001
João Cancelo,POR,DEF,5.0,0.6475,0.6848,medium_risk,COD,1.005126,2.873868,Tvivlsom starter,0.6194193568236319,0.1566008000000001
Sergio Rochet,URU,GK,4.0,0.5958,0.5958,medium_risk,KSA,0.936626,2.488431,Tvivlsom starter,0.6185527859254718,0.1535008
Marc Guehi,ENG,DEF,4.5,0.6292,0.6837,medium_risk,CRO,0.978136,3.12029,Tvivlsom starter,0.6050994440628181,0.15330880000000002
Daniel Muñoz,COL,DEF,4.0,0.6489,0.7006,medium_risk,UZB,1.001902,2.756831,Tvivlsom starter,0.6246566907283854,0.15262160000000002
Anthony Elanga,SWE,FWD,3.5,0.5704,0.6185,medium_risk,TUN,0.897041,1.925105,Tvivlsom starter,0.5387325593690269,0.14723280000000005
Jørgen Strand Larsen,NOR,FWD,3.0,0.5147,0.5595,medium_risk,IRQ,0.824925,1.705096,Bænk/rotation,0.4843202301628315,0.14524000000000004
Ferran Torres,ESP,FWD,5.0,0.5692,0.6113,medium_risk,CPV,0.888192,2.780431,Bænk/rotation,0.4504789733774277,0.14135359999999997
Luiz Henrique,BRA,FWD,3.0,0.5371,0.5818,medium_risk,MAR,0.846185,2.071577,Bænk/rotation,0.4154577062460894,0.13984799999999997
Rodrigo Aguirre,URU,FWD,3.0,0.6034,0.6661,medium_risk,KSA,0.926721,2.128682,Tvivlsom starter,0.6268440827331068,0.1379768
Leonardo Balerdi,ARG,DEF,4.0,0.4789,0.5569,high_risk,ALG,0.765728,2.162284,Langt fra start,0.3415919852457759,0.13368239999999998
Dayot Upamecano,FRA,DEF,4.0,0.6508,0.6944,medium_risk,SEN,0.978966,2.995079,Tvivlsom starter,0.6233519026363902,0.13237279999999996
Renato Veiga,POR,DEF,3.5,0.5636,0.5851,medium_risk,COD,0.869898,2.339914,Tvivlsom starter,0.5446632880990401,0.13231840000000006
Torbjørn Heggem,NOR,DEF,2.5,0.6376,0.6538,medium_risk,IRQ,0.952673,1.81782,Tvivlsom starter,0.6102478956798468,0.12453840000000005
Gabriel Martinelli,BRA,FWD,4.0,0.5065,0.5611,medium_risk,MAR,0.786127,2.26014,Bænk/rotation,0.3893842008944327,0.12240160000000011
Scott McKenna,SCO,DEF,2.5,0.5867,0.6077,medium_risk,HAI,0.88043,1.572953,Tvivlsom starter,0.5652142368902501,0.11764400000000008
Eder Militão,BRA,DEF,3.0,0.6282,0.6686,medium_risk,MAR,0.930904,2.704876,Tvivlsom starter,0.6011015950568481,0.11652320000000005
Jose Maria Gimenez,URU,DEF,4.5,0.6717,0.7104,medium_risk,KSA,0.982785,2.774162,Tvivlsom starter,0.6449288930055205,0.11452800000000007
Nelson Semedo,POR,DEF,4.0,0.507,0.5636,medium_risk,COD,0.776663,2.161992,Bænk/rotation,0.4453306419354813,0.11433040000000005
Jorge Sanchez,MEX,DEF,2.5,0.5913,0.6587,medium_risk,RSA,0.880509,1.896981,Bænk/rotation,0.5184312845310858,0.11310719999999996
