holdet_player_id,holdet_player_name,holdet_team_id,holdet_position,pool_player_id,pool_player_name,pool_team_id,pool_position,match_type,source_file
49482,Malo Gusto,FRA,DEF,malo_gusto__fra,Malo Gusto,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49738,Pierre Kalulu,FRA,DEF,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
50026,Maxence Lacroix,FRA,DEF,maxence_lacroix__fra,Maxence Lacroix,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
50025,Jules Kounde,FRA,DEF,jules_kounde__fra,Jules Kounde,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49945,William Saliba,FRA,DEF,william_saliba__fra,William Saliba,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49000,Dayot Upamecano,FRA,DEF,dayot_upamecano__fra,Dayot Upamecano,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49209,Ibrahima Konate,FRA,DEF,ibrahima_konat__fra,Ibrahima Konate,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49889,Theo Hernandez,FRA,DEF,theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49456,Lucas Hernandez,FRA,DEF,lucas_hern_ndez__fra,Lucas Hernandez,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49455,Lucas Digne,FRA,DEF,lucas_digne__fra,Lucas Digne,FRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49861,Stefan de Vrij,NED,DEF,stefan_de_vrij__ned,Stefan de Vrij,NED,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49626,Nathan Ake,NED,DEF,nathan_ak__ned,Nathan Ake,NED,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49930,Virgil van Dijk,NED,DEF,virgil_van_dijk__ned,Virgil van Dijk,NED,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49012,Denzel Dumfries,NED,DEF,denzel_dumfries__ned,Denzel Dumfries,NED,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49363,Jurrien Timber,NED,DEF,jurri_n_timber__ned,Jurrien Timber,NED,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49268,Jeremie Frimpong,NED,DEF,jeremie_frimpong__ned,Jeremie Frimpong,NED,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49325,Jorrel Hato,NED,DEF,jorrel_hato__ned,Jorrel Hato,NED,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49254,Jan Paul van Hecke,NED,DEF,jan_paul_van_hecke__ned,Jan Paul van Hecke,NED,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49560,Micky van de Ven,NED,DEF,micky_van_de_ven__ned,Micky van de Ven,NED,DEF,name_team_position,data\holdet_players_game_616_flat.csv
50110,Marc Pubill,ESP,DEF,marc_pubill__esp,Marc Pubill,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49001,Dean Donny Huijsen,ESP,DEF,dean_donny_huijsen__esp,Dean Donny Huijsen,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49720,Pau Cubarsi,ESP,DEF,pau_cubars__esp,Pau Cubarsi,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
50111,Eric Garcia,ESP,DEF,eric_garcia__esp,Eric Garcia,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49782,Robin Le Normand,ESP,DEF,robin_le_normand__esp,Robin Le Normand,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49729,Pedro Porro,ESP,DEF,pedro_porro__esp,Pedro Porro,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49488,Marc Cucurella,ESP,DEF,marc_cucurella__esp,Marc Cucurella,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48985,Daniel Vivian,ESP,DEF,daniel_vivian__esp,Daniel Vivian,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48767,Alejandro 'Alex' Grimaldo,ESP,DEF,alejandro_alex_grimaldo__esp,Alejandro 'Alex' Grimaldo,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48877,Aymeric Laporte,ESP,DEF,aymeric_laporte__esp,Aymeric Laporte,ESP,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49924,Victor Lindelöf,SWE,DEF,victor_lindel_f__swe,Victor Lindelöf,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49073,Eric Smith,SWE,DEF,eric_smith__swe,Eric Smith,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48932,Carl Starfelt,SWE,DEF,carl_starfelt__swe,Carl Starfelt,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49125,Gabriel Gudmundsson,SWE,DEF,gabriel_gudmundsson__swe,Gabriel Gudmundsson,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49998,Emil Holm,SWE,DEF,emil_holm__swe,Emil Holm,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49999,Hjalmar Ekdal,SWE,DEF,hjalmar_ekdal__swe,Hjalmar Ekdal,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48984,Daniel Svensson,SWE,DEF,daniel_svensson__swe,Daniel Svensson,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49221,Isak Hien,SWE,DEF,isak_hien__swe,Isak Hien,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49157,Gustaf Lagerbielke,SWE,DEF,gustaf_lagerbielke__swe,Gustaf Lagerbielke,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49060,Elliot Stroud,SWE,DEF,elliot_stroud__swe,Elliot Stroud,SWE,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48733,Achref Abada,ALG,DEF,achref_abada__alg,Achref Abada,ALG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49857,Sohaib Nair,ALG,DEF,sohaib_nair__alg,Sohaib Nair,ALG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49972,Youcef Atal,ALG,DEF,youcef_atal__alg,Youcef Atal,ALG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
