match_id,stage,group,home,away,kickoff_dk
1,GROUP,A,MEX,RSA,2026-06-11 21:00
2,GROUP,A,KOR,CZE,2026-06-12 04:00
3,GROUP,B,CAN,BIH,2026-06-12 21:00
4,GROUP,D,USA,PAR,2026-06-13 03:00
5,GROUP,B,QAT,SUI,2026-06-13 21:00
6,GROUP,C,BRA,MAR,2026-06-14 00:00
7,GROUP,C,HAI,SCO,2026-06-14 03:00
8,GROUP,D,AUS,TUR,2026-06-14 06:00
9,GROUP,E,GER,CUW,2026-06-14 19:00
10,GROUP,F,NED,JPN,2026-06-14 22:00
11,GROUP,E,CIV,ECU,2026-06-15 01:00
12,GROUP,F,SWE,TUN,2026-06-15 04:00
13,GROUP,H,ESP,CPV,2026-06-15 18:00
14,GROUP,G,BEL,EGY,2026-06-15 21:00
15,GROUP,H,KSA,URU,2026-06-16 00:00
16,GROUP,G,IRN,NZL,2026-06-16 03:00
17,GROUP,I,FRA,SEN,2026-06-16 21:00
18,GROUP,I,IRQ,NOR,2026-06-17 00:00
19,GROUP,J,ARG,ALG,2026-06-17 03:00
20,GROUP,J,AUT,JOR,2026-06-17 06:00
21,GROUP,K,POR,COD,2026-06-17 19:00
22,GROUP,L,ENG,CRO,2026-06-17 22:00
23,GROUP,L,GHA,PAN,2026-06-18 01:00
24,GROUP,K,UZB,COL,2026-06-18 04:00
25,GROUP,A,CZE,RSA,2026-06-18 18:00
26,GROUP,B,SUI,BIH,2026-06-18 21:00
27,GROUP,B,CAN,QAT,2026-06-19 00:00
28,GROUP,A,MEX,KOR,2026-06-19 03:00
29,GROUP,D,USA,AUS,2026-06-19 21:00
30,GROUP,C,SCO,MAR,2026-06-20 00:00
31,GROUP,C,BRA,HAI,2026-06-20 03:00
32,GROUP,D,TUR,PAR,2026-06-20 06:00
33,GROUP,F,NED,SWE,2026-06-20 19:00
34,GROUP,E,GER,CIV,2026-06-20 22:00
35,GROUP,E,ECU,CUW,2026-06-21 02:00
36,GROUP,F,TUN,JPN,2026-06-21 06:00
37,GROUP,H,ESP,KSA,2026-06-21 18:00
38,GROUP,G,BEL,IRN,2026-06-21 21:00
39,GROUP,H,URU,CPV,2026-06-22 00:00
40,GROUP,G,NZL,EGY,2026-06-22 03:00
41,GROUP,J,ARG,AUT,2026-06-22 19:00
42,GROUP,I,FRA,IRQ,2026-06-22 23:00
43,GROUP,I,NOR,SEN,2026-06-23 02:00
44,GROUP,J,JOR,ALG,2026-06-23 05:00
45,GROUP,K,POR,UZB,2026-06-23 19:00
46,GROUP,L,ENG,GHA,2026-06-23 22:00
47,GROUP,L,PAN,CRO,2026-06-24 01:00
48,GROUP,K,COL,COD,2026-06-24 04:00
49,GROUP,B,SUI,CAN,2026-06-24 21:00
50,GROUP,B,BIH,QAT,2026-06-24 21:00
51,GROUP,C,SCO,BRA,2026-06-25 00:00
52,GROUP,C,MAR,HAI,2026-06-25 00:00
53,GROUP,A,CZE,MEX,2026-06-25 03:00
54,GROUP,A,RSA,KOR,2026-06-25 03:00
55,GROUP,E,CUW,CIV,2026-06-25 22:00
56,GROUP,E,ECU,GER,2026-06-25 22:00
57,GROUP,F,TUN,NED,2026-06-26 01:00
58,GROUP,F,JPN,SWE,2026-06-26 01:00
59,GROUP,D,TUR,USA,2026-06-26 04:00
60,GROUP,D,PAR,AUS,2026-06-26 04:00
61,GROUP,I,NOR,FRA,2026-06-26 21:00
62,GROUP,I,SEN,IRQ,2026-06-26 21:00
63,GROUP,H,CPV,KSA,2026-06-27 02:00
64,GROUP,H,URU,ESP,2026-06-27 02:00
65,GROUP,G,NZL,BEL,2026-06-27 05:00
66,GROUP,G,EGY,IRN,2026-06-27 05:00
67,GROUP,L,CRO,GHA,2026-06-27 23:00
68,GROUP,L,PAN,ENG,2026-06-27 23:00
69,GROUP,K,COD,UZB,2026-06-28 01:30
70,GROUP,K,COL,POR,2026-06-28 01:30
71,GROUP,J,ALG,AUT,2026-06-28 04:00
72,GROUP,J,JOR,ARG,2026-06-28 04:00
