match_id,home,away,kickoff_dk,team_id,opponent_team_id,is_home,match_raw,team_raw,clean_sheet_yes_odds,clean_sheet_no_odds,clean_sheet_yes_implied,clean_sheet_no_implied,clean_sheet_prob_fair,source
24,UZB,COL,2026-06-18 04:00,COL,UZB,0,Uzbekistan v Colombia,Colombia,1.83,1.83,0.546448,0.546448,0.5,bet365 clean sheet yes/no 2026-06-02
24,UZB,COL,2026-06-18 04:00,UZB,COL,1,Uzbekistan v Colombia,Uzbekistan,6,1.12,0.166667,0.892857,0.157303,bet365 clean sheet yes/no 2026-06-02
25,CZE,RSA,2026-06-18 18:00,CZE,RSA,1,Czechia v South Africa,Czechia,2.25,1.57,0.444444,0.636943,0.410995,bet365 clean sheet yes/no 2026-06-02
25,CZE,RSA,2026-06-18 18:00,RSA,CZE,0,Czechia v South Africa,South Africa,3.75,1.25,0.266667,0.8,0.25,bet365 clean sheet yes/no 2026-06-02
26,SUI,BIH,2026-06-18 21:00,BIH,SUI,0,Switzerland v Bosnia-Herzegovina,Bosnia-Herzegovina,5,1.16,0.2,0.862069,0.188312,bet365 clean sheet yes/no 2026-06-02
26,SUI,BIH,2026-06-18 21:00,SUI,BIH,1,Switzerland v Bosnia-Herzegovina,Switzerland,2,1.72,0.5,0.581395,0.462366,bet365 clean sheet yes/no 2026-06-02
27,CAN,QAT,2026-06-19 00:00,CAN,QAT,1,Canada v Qatar,Canada,1.61,2.2,0.621118,0.454545,0.577428,bet365 clean sheet yes/no 2026-06-02
27,CAN,QAT,2026-06-19 00:00,QAT,CAN,0,Canada v Qatar,Qatar,6.5,1.11,0.153846,0.900901,0.145861,bet365 clean sheet yes/no 2026-06-02
28,MEX,KOR,2026-06-19 03:00,KOR,MEX,0,Mexico v South Korea,South Korea,4,1.22,0.25,0.819672,0.233716,bet365 clean sheet yes/no 2026-06-02
28,MEX,KOR,2026-06-19 03:00,MEX,KOR,1,Mexico v South Korea,Mexico,2.1,1.66,0.47619,0.60241,0.441489,bet365 clean sheet yes/no 2026-06-02
29,USA,AUS,2026-06-19 21:00,AUS,USA,0,USA v Australia,Australia,4.5,1.18,0.222222,0.847458,0.207746,bet365 clean sheet yes/no 2026-06-02
29,USA,AUS,2026-06-19 21:00,USA,AUS,1,USA v Australia,USA,2.2,1.61,0.454545,0.621118,0.422572,bet365 clean sheet yes/no 2026-06-02
30,SCO,MAR,2026-06-20 00:00,MAR,SCO,0,Scotland v Morocco,Morocco,2.25,1.57,0.444444,0.636943,0.410995,bet365 clean sheet yes/no 2026-06-02
30,SCO,MAR,2026-06-20 00:00,SCO,MAR,1,Scotland v Morocco,Scotland,3.75,1.25,0.266667,0.8,0.25,bet365 clean sheet yes/no 2026-06-02
31,BRA,HAI,2026-06-20 03:00,BRA,HAI,1,Brazil v Haiti,Brazil,1.44,2.62,0.694444,0.381679,0.64532,bet365 clean sheet yes/no 2026-06-02
31,BRA,HAI,2026-06-20 03:00,HAI,BRA,0,Brazil v Haiti,Haiti,21,1.015,0.047619,0.985222,0.046105,bet365 clean sheet yes/no 2026-06-02
32,TUR,PAR,2026-06-20 06:00,PAR,TUR,0,Türkiye v Paraguay,Paraguay,3.4,1.3,0.294118,0.769231,0.276596,bet365 clean sheet yes/no 2026-06-02
32,TUR,PAR,2026-06-20 06:00,TUR,PAR,1,Türkiye v Paraguay,Türkiye,2.5,1.5,0.4,0.666667,0.375,bet365 clean sheet yes/no 2026-06-02
33,NED,SWE,2026-06-20 19:00,NED,SWE,1,Netherlands v Sweden,Netherlands,2.2,1.61,0.454545,0.621118,0.422572,bet365 clean sheet yes/no 2026-06-02
33,NED,SWE,2026-06-20 19:00,SWE,NED,0,Netherlands v Sweden,Sweden,5,1.16,0.2,0.862069,0.188312,bet365 clean sheet yes/no 2026-06-02
34,GER,CIV,2026-06-20 22:00,CIV,GER,0,Germany v Ivory Coast,Ivory Coast,6,1.12,0.166667,0.892857,0.157303,bet365 clean sheet yes/no 2026-06-02
34,GER,CIV,2026-06-20 22:00,GER,CIV,1,Germany v Ivory Coast,Germany,2.2,1.61,0.454545,0.621118,0.422572,bet365 clean sheet yes/no 2026-06-02
35,ECU,CUW,2026-06-21 02:00,CUW,ECU,0,Ecuador v Curaçao,Curaçao,8,1.083,0.125,0.923361,0.119234,bet365 clean sheet yes/no 2026-06-02
35,ECU,CUW,2026-06-21 02:00,ECU,CUW,1,Ecuador v Curaçao,Ecuador,1.66,2.1,0.60241,0.47619,0.558511,bet365 clean sheet yes/no 2026-06-02
36,TUN,JPN,2026-06-21 06:00,JPN,TUN,0,Tunisia v Japan,Japan,2.1,1.66,0.47619,0.60241,0.441489,bet365 clean sheet yes/no 2026-06-02
36,TUN,JPN,2026-06-21 06:00,TUN,JPN,1,Tunisia v Japan,Tunisia,4,1.22,0.25,0.819672,0.233716,bet365 clean sheet yes/no 2026-06-02
37,ESP,KSA,2026-06-21 18:00,ESP,KSA,1,Spain v Saudi Arabia,Spain,1.4,2.75,0.714286,0.363636,0.662651,bet365 clean sheet yes/no 2026-06-02
37,ESP,KSA,2026-06-21 18:00,KSA,ESP,0,Spain v Saudi Arabia,Saudi Arabia,13,1.04,0.076923,0.961538,0.074074,bet365 clean sheet yes/no 2026-06-02
38,BEL,IRN,2026-06-21 21:00,BEL,IRN,1,Belgium v Iran,Belgium,1.83,1.83,0.546448,0.546448,0.5,bet365 clean sheet yes/no 2026-06-02
38,BEL,IRN,2026-06-21 21:00,IRN,BEL,0,Belgium v Iran,Iran,6.5,1.11,0.153846,0.900901,0.145861,bet365 clean sheet yes/no 2026-06-02
39,URU,CPV,2026-06-22 00:00,CPV,URU,0,Uruguay v Cape Verde,Cape Verde,6,1.12,0.166667,0.892857,0.157303,bet365 clean sheet yes/no 2026-06-02
