player_id,holdet_player_id,player_name,team_name,position,match_method,old_price,old_holdet_price,new_price,diff
christopher_operi__civ,50360,Christopher Operi,Elfenbenskysten,DEF,holdet_player_id,1990000,1990000,1995000,5000
ghislain_konan__civ,49136,Ghislain Konan,Elfenbenskysten,DEF,holdet_player_id,2585000,2585000,2592000,7000
guela_doue__civ,49153,Guela Doue,Elfenbenskysten,DEF,holdet_player_id,3053000,3053000,3062000,9000
wilfried_stephane_singo__civ,49943,Wilfried Stephane Singo,Elfenbenskysten,DEF,holdet_player_id,2653000,2653000,2652000,-1000
ousmane_diomande__civ,49698,Ousmane Diomande,Elfenbenskysten,DEF,holdet_player_id,2490000,2490000,2495000,5000
emmanuel_agbadou__civ,49067,Emmanuel Agbadou,Elfenbenskysten,DEF,holdet_player_id,2585000,2585000,2592000,7000
odilon_kossounou__civ,49677,Odilon Kossounou,Elfenbenskysten,DEF,holdet_player_id,2535000,2535000,2542000,7000
evan_n_dicka__civ,49080,Evan N'Dicka,Elfenbenskysten,DEF,holdet_player_id,2490000,2490000,2495000,5000
yuto_nagatomo__jpn,49986,Yuto Nagatomo,Japan,DEF,holdet_player_id,1990000,1990000,1995000,5000
ko_itakura__jpn,50027,Ko Itakura,Japan,DEF,holdet_player_id,2177000,2177000,1995000,-182000
takehiro_tomiyasu__jpn,50028,Takehiro Tomiyasu,Japan,DEF,holdet_player_id,2134000,2134000,2022000,-112000
ayumu_seko__jpn,48880,Ayumu Seko,Japan,DEF,holdet_player_id,2537000,2537000,2495000,-42000
tsuyoshi_watanabe__jpn,49912,Tsuyoshi Watanabe,Japan,DEF,holdet_player_id,3001000,3001000,3006000,5000
junnosuke_suzuki__jpn,49360,Junnosuke Suzuki,Japan,DEF,holdet_player_id,2537000,2537000,2495000,-42000
yukinari_sugawara__jpn,49984,Yukinari Sugawara,Japan,DEF,holdet_player_id,3574000,3574000,3532000,-42000
shogo_taniguchi__jpn,49846,Shogo Taniguchi,Japan,DEF,holdet_player_id,3011000,3011000,3016000,5000
hiroki_ito__jpn,49186,Hiroki Ito,Japan,DEF,holdet_player_id,2638000,2638000,2516000,-122000
kim_min_jae__kor,49568,Min-jae Kim,Sydkorea,DEF,holdet_player_id,3535000,3535000,3544000,9000
moon_hwan_kim__kor,49605,Moon-Hwan Kim,Sydkorea,DEF,holdet_player_id,2486000,2486000,2495000,9000
han_beom_lee__kor,49167,Han-beom Lee,Sydkorea,DEF,holdet_player_id,2035000,2035000,2044000,9000
seol_young_woo__kor,49973,Young-woo Seol,Sydkorea,DEF,holdet_player_id,3035000,3035000,3044000,9000
tae_seok_lee__kor,49869,Tae-Seok Lee,Sydkorea,DEF,holdet_player_id,2529000,2529000,2534000,5000
tae_hyeon_kim__kor,49868,Tae-Hyeon Kim,Sydkorea,DEF,holdet_player_id,1990000,1990000,1995000,5000
gi_hyuk_lee__kor,50030,Gi-hyuk Lee,Sydkorea,DEF,holdet_player_id,2015000,2015000,2024000,9000
wi_je_cho__kor,50425,Wi-je Cho,Sydkorea,DEF,holdet_player_id,1990000,1990000,1995000,5000
c_sar_montes__mex,48944,Cesar Montes,Mexico,DEF,holdet_player_id,3047000,3047000,3052000,5000
israel_reyes__mex,49231,Israel Reyes,Mexico,DEF,holdet_player_id,3134000,3134000,3102000,-32000
mateo_chavez__mex,50287,Mateo Chavez,Mexico,DEF,holdet_player_id,2490000,2490000,2495000,5000
jes_s_gallardo__mex,49277,Jesus Gallardo,Mexico,DEF,holdet_player_id,3194000,3194000,3102000,-92000
johan_v_squez__mex,49303,Johan Vasquez,Mexico,DEF,holdet_player_id,3194000,3194000,3102000,-92000
jorge_sanchez__mex,49322,Jorge Sanchez,Mexico,DEF,holdet_player_id,2587000,2587000,2495000,-92000
jose_canale__par,50419,Jose Canale,Paraguay,DEF,holdet_player_id,2027000,2027000,1995000,-32000
alexandro_maidana__par,50423,Alexandro Maidana,Paraguay,DEF,holdet_player_id,2027000,2027000,1995000,-32000
omar_alderete__par,49682,Omar Alderete,Paraguay,DEF,holdet_player_id,3569000,3569000,3477000,-92000
j_nior_alonso__par,49359,Junior Alonso,Paraguay,DEF,holdet_player_id,3049000,3049000,2957000,-92000
fabian_balbuena__par,50418,Fabian Balbuena,Paraguay,DEF,holdet_player_id,2490000,2490000,2495000,5000
gustavo_g_mez__par,49159,Gustavo Gomez,Paraguay,DEF,holdet_player_id,3069000,3069000,2977000,-92000
gustavo_vel_squez__par,49161,Gustavo Velazquez,Paraguay,DEF,holdet_player_id,2527000,2527000,2495000,-32000
juan_jose_caceres__par,49347,Juan Jose Caceres,Paraguay,DEF,holdet_player_id,3067000,3067000,2965000,-102000
auston_trusty__usa,50249,Auston Trusty,USA,DEF,holdet_player_id,2527000,2527000,2495000,-32000
mark_mckenzie__usa,49503,Mark McKenzie,USA,DEF,holdet_player_id,1990000,1990000,1995000,5000
miles_robinson__usa,49566,Miles Robinson,USA,DEF,holdet_player_id,1990000,1990000,1995000,5000
sergino_dest__usa,50252,Sergino Dest,USA,DEF,holdet_player_id,3174000,3174000,3062000,-112000
joe_scally__usa,50251,Joe Scally,USA,DEF,holdet_player_id,2527000,2527000,2495000,-32000
antonee_robinson__usa,48851,Antonee Robinson,USA,DEF,holdet_player_id,2146000,2146000,2064000,-82000
chris_richards__usa,48956,Chris Richards,USA,DEF,holdet_player_id,3146000,3146000,3064000,-82000
tim_ream__usa,49896,Tim Ream,USA,DEF,holdet_player_id,2666000,2666000,2564000,-102000
max_arfsten__usa,49536,Max Arfsten,USA,DEF,holdet_player_id,2990000,2990000,2995000,5000
alex_freeman__usa,48774,Alex Freeman,USA,DEF,holdet_player_id,2901000,2901000,2624000,-277000
piero_hincapi__ecu,49737,Piero Hincapie,Ecuador,DEF,holdet_player_id,3553000,3553000,3491000,-62000
ngelo_preciado__ecu,48836,Angelo Preciado,Ecuador,DEF,holdet_player_id,3003000,3003000,2991000,-12000
felix_feliz_torres__ecu,49098,Felix 'Feliz' Torres,Ecuador,DEF,holdet_player_id,2990000,2990000,2995000,5000
jackson_porozo__ecu,49240,Jackson Porozo,Ecuador,DEF,holdet_player_id,1966000,1966000,1971000,5000
joel_ord_ez__ecu,49298,Joel Ordonez,Ecuador,DEF,holdet_player_id,2486000,2486000,2491000,5000
willian_pacho__ecu,49946,Willian Pacho,Ecuador,DEF,holdet_player_id,3063000,3063000,2991000,-72000
pervis_estupi_n__ecu,49731,Pervis Estupinan,Ecuador,DEF,holdet_player_id,3557000,3557000,3495000,-62000
sead_kolasinac__bih,49832,Sead Kolasinac,Bosnien-Hercegovina,DEF,holdet_player_id,2551000,2551000,2581000,30000
amar_dedi__bih,48816,Amar Dedic,Bosnien-Hercegovina,DEF,holdet_player_id,2981000,2981000,3021000,40000
nikola_kati__bih,49655,Nikola Katic,Bosnien-Hercegovina,DEF,holdet_player_id,2971000,2971000,3001000,30000
tarik_muharemovic__bih,49879,Tarik Muharemovic,Bosnien-Hercegovina,DEF,holdet_player_id,2955000,2955000,3021000,66000
redouane_halhal__mar,50261,Redouane Halhal,Marokko,DEF,holdet_player_id,1990000,1990000,1995000,5000
zakaria_el_ouahdi__mar,49990,Zakaria El Ouahdi,Marokko,DEF,holdet_player_id,1990000,1990000,1995000,5000
marwane_saadane__mar,50729,Marwane Saadane,Marokko,DEF,holdet_player_id,1990000,1990000,1995000,5000
achraf_hakimi__mar,48732,Achraf Hakimi,Marokko,DEF,holdet_player_id,4106000,4106000,4014000,-92000
issa_diop__mar,50067,Issa Diop,Marokko,DEF,holdet_player_id,2586000,2586000,2514000,-72000
noussair_mazraoui__mar,49670,Noussair Mazraoui,Marokko,DEF,holdet_player_id,3606000,3606000,3514000,-92000
chadi_riad__mar,48947,Chadi Riad,Marokko,DEF,holdet_player_id,2106000,2106000,2014000,-92000
youssef_belammari__mar,50264,Youssef Belammari,Marokko,DEF,holdet_player_id,1990000,1990000,1995000,5000
anass_salah_eddine__mar,48826,Anass Salah-Eddine,Marokko,DEF,holdet_player_id,2507000,2507000,2512000,5000
raed_chikhaoui__tun,50065,Raed Chikhaoui,Tunesien,DEF,holdet_player_id,1990000,1990000,1995000,5000
mohamed_amine_ben_hamida__tun,49575,Mohamed Amine Ben Hamida,Tunesien,DEF,holdet_player_id,2452000,2452000,2469000,17000
adem_arous__tun,48736,Adem Arous,Tunesien,DEF,holdet_player_id,1990000,1990000,1995000,5000
omar_rekik__tun,49684,Omar Rekik,Tunesien,DEF,holdet_player_id,2111000,2111000,2144000,33000
dylan_bronn__tun,49039,Dylan Bronn,Tunesien,DEF,holdet_player_id,2478000,2478000,2495000,17000
yan_valery__tun,49957,Yan Valery,Tunesien,DEF,holdet_player_id,2452000,2452000,2485000,33000
ali_abdi__tun,48793,Ali Abdi,Tunesien,DEF,holdet_player_id,2936000,2936000,2969000,33000
montassar_talbi__tun,49604,Montassar Talbi,Tunesien,DEF,holdet_player_id,2936000,2936000,2969000,33000
moutaz_neffati__tun,49613,Moutaz Neffati,Tunesien,DEF,holdet_player_id,1990000,1990000,1995000,5000
lucas_mendes__qat,49458,Lucas Mendes,Qatar,DEF,holdet_player_id,2486000,2486000,2495000,9000
al_hashmi_al_hussain__qat,50398,Al-Hashmi Al-Hussain,Qatar,DEF,holdet_player_id,1970000,1970000,1995000,25000
