player_id,player_name,team_id,team_name,position,price,price_estimate,start_prob,start_prob_source,minute_share,weighted_group_stage_ev,optimizer_ev,holdet_player_id,holdet_team_name,holdet_price,official_holdet_master,ev_rebased_to_holdet_master,ev_match_method,ev_match_score,goal_share_norm,assist_share_norm,sot_share_norm,match_1_opponent_team,match_1_kickoff,match_1_minutes_if_start,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_clean_sheet_ev,match_1_card_ev,match_1_result_ev,match_1_team_scores_ev,match_1_opponent_scores_ev,match_1_on_pitch_ev,match_1_start_minutes_ev,match_1_total_ev_next_match,match_1_weighted_match_ev,match_2_opponent_team,match_2_kickoff,match_2_minutes_if_start,match_2_goal_ev,match_2_assist_ev,match_2_shots_on_target_ev,match_2_clean_sheet_ev,match_2_card_ev,match_2_result_ev,match_2_team_scores_ev,match_2_opponent_scores_ev,match_2_on_pitch_ev,match_2_start_minutes_ev,match_2_total_ev_next_match,match_2_weighted_match_ev,match_3_opponent_team,match_3_kickoff,match_3_minutes_if_start,match_3_goal_ev,match_3_assist_ev,match_3_shots_on_target_ev,match_3_clean_sheet_ev,match_3_card_ev,match_3_result_ev,match_3_team_scores_ev,match_3_opponent_scores_ev,match_3_on_pitch_ev,match_3_start_minutes_ev,match_3_total_ev_next_match,match_3_weighted_match_ev,total_ev_group_stage,holdet_person_id,holdet_team_id,holdet_start_price,holdet_position,holdet_is_out,score,price_m,model_ev_before_price_quality,price_rank_pct_position,price_quality_ev,weighted_group_stage_ev_before_price_quality,optimizer_ev_before_price_quality,price_quality_weight,price_quality_applied,price_quality_spread_multiplier,name_norm,team_norm,position_norm,key_name_team_pos,key_name_team,key_token_team,round_context_source,price_quality_repair_source,match_1_win_prob,match_1_clean_sheet_prob,match_1_goal_multiplier,match_1_assist_multiplier,match_1_clean_sheet_multiplier,match_2_win_prob,match_2_clean_sheet_prob,match_2_goal_multiplier,match_2_assist_multiplier,match_2_clean_sheet_multiplier,match_3_win_prob,match_3_clean_sheet_prob,match_3_goal_multiplier,match_3_assist_multiplier,match_3_clean_sheet_multiplier
nick_woltemade__ger,Nick Woltemade,GER,Tyskland,FWD,6000000,6000000,0.9083,transfermarkt_availability_split_2026_06_01,0.082573,5.732267,5.732267,49638,Tyskland,6000000,True,True,name_team_position,1.0,0.055,0.029,0.074,CUW,2026-06-14 19:00,66.36,0.195411,0.061213,0.140212,0,0.047425,0.085,0.025,-0.0151194960236345,0.006186,60.274788,1.159137,1.159137,CIV,2026-06-20 22:00,66.36,0.168735,0.055097,0.131965,0,0.047425,0.035,0.024,-0.016299708428487,0.006186,60.274788,0.973657,0.924974,ECU,2026-06-25 22:00,66.36,0.136055,0.043938,0.111345,0,0.047425,0.028,0.022,-0.0180312837157079,0.006186,60.274788,0.778109,0.700298,2.913771,39160,589,6000000,FWD,False,,6.0,0.971,0.9372759856630823,3.250866774193549,0.971,1.251227,0.45,True,1.35,nick woltemade,ger,FWD,nick woltemade|ger|FWD,nick woltemade|ger,nick woltemade|ger,,,,,,,,,,,,,,,,,
teun_koopmeiners__ned,Teun Koopmeiners,NED,Holland,MID,3500000,3500000,0.5958,transfermarkt_availability_split_2026_06_01,0.054164,5.691333,5.691333,49882,Holland,3500000,True,True,name_team_position,1.0,0.03,0.043,0.021,JPN,2026-06-14 22:00,70.36,0.04644,0.043108,0.024736,0,0.049472,0.016,0.01,-0.0067002259447563,-0.106012,41.920488,0.250076,0.250076,SWE,2026-06-20 19:00,70.36,0.056377,0.049864,0.024736,0,0.049472,0.014,0.01,-0.0066343125923944,-0.106012,41.920488,0.318095,0.30219,TUN,2026-06-26 01:00,70.36,0.054695,0.047528,0.021202,0,0.049472,0.011,0.009,-0.0072882402888274,-0.106012,41.920488,0.294489,0.26504,0.867647,40582,593,3500000,MID,False,,3.5,0.166,0.8263403263403264,2.3658784615384616,0.166,0.478256,0.45,True,1.35,teun koopmeiners,ned,MID,teun koopmeiners|ned|MID,teun koopmeiners|ned,koopmeiners teun|ned,,,,,,,,,,,,,,,,,
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,Tyrkiet,MID,4500000,4500000,0.8753,transfermarkt_availability_split_2026_06_01,0.079573,5.689611,5.689611,49386,Tyrkiet,4500000,True,True,name_team_position,1.0,0.166,0.07,0.18,AUS,2026-06-14 06:00,67.445,0.347939,0.091614,0.251253,0,0.046581,0.071,0.031,-0.0262114259574081,0.033877,59.034608,2.328875,2.328875,PAR,2026-06-20 06:00,67.445,0.339406,0.09424,0.295011,0,0.046581,0.048,0.033,-0.0239303654020897,0.033877,59.034608,2.319127,2.20317,USA,2026-06-26 04:00,67.445,0.264291,0.077927,0.283718,0,0.046581,0.044,0.033,-0.0247515226034405,0.033877,59.034608,1.878498,1.690649,6.5265,40602,586,4500000,MID,False,,4.5,3.289,0.93006993006993,2.662864615384616,3.289,2.864913,0.45,True,1.35,kerem akturkoglu,tur,MID,kerem akturkoglu|tur|MID,kerem akturkoglu|tur,akturkoglu kerem|tur,,,,,,,,,,,,,,,,,
juli_n_lvarez__arg,Julian Alvarez,ARG,Argentina,FWD,6000000,6000000,0.7993,transfermarkt_availability_split_2026_06_01,0.072664,5.607127,5.607127,49352,Argentina,6000000,True,True,name_team_position,1.0,0.075,0.041,0.104,ALG,2026-06-17 03:00,66.466,0.216236,0.070883,0.162268,0,0.041876,0.065,0.025,-0.016957890280146,0.008724,53.126274,1.279751,1.279751,AUT,2026-06-22 19:00,66.466,0.190428,0.065042,0.158779,0,0.041876,0.036,0.025,-0.0172369650981203,0.008724,53.126274,1.126228,1.069917,JOR,2026-06-28 04:00,66.466,0.200337,0.065431,0.14831,0,0.041876,0.033,0.024,-0.0177814985482306,0.008724,53.126274,1.152018,1.036816,3.555437,41780,762,6000000,FWD,False,,6.0,1.323,0.9372759856630823,3.250866774193549,1.323,1.515227,0.45,True,1.35,julian alvarez,arg,FWD,julian alvarez|arg|FWD,julian alvarez|arg,alvarez julian|arg,,,,,,,,,,,,,,,,,
wout_weghorst__ned,Wout Weghorst,NED,Holland,FWD,3000000,3000000,0.7055,transfermarkt_availability_split_2026_06_01,0.064136,5.601427,5.601427,49952,Holland,3000000,True,True,name_team_position,1.0,0.071,0.038,0.083,JPN,2026-06-14 22:00,66.36,0.127662,0.046369,0.10981,0,0.038011,0.015,0.009,-0.00626084433308,-0.126704,46.81698,0.612589,0.612589,SWE,2026-06-20 19:00,66.36,0.154975,0.053638,0.114033,0,0.038011,0.013,0.009,-0.0061992533894294,-0.126704,46.81698,0.745933,0.708636,TUN,2026-06-26 01:00,66.36,0.145266,0.044182,0.097139,0,0.038011,0.011,0.008,-0.0068102983819734,-0.126704,46.81698,0.658224,0.592401,2.016746,36664,593,3000000,FWD,False,,3.0,0.333,0.507168458781362,1.759073225806452,0.333,0.532737,0.45,True,1.35,wout weghorst,ned,FWD,wout weghorst|ned|FWD,wout weghorst|ned,weghorst wout|ned,,,,,,,,,,,,,,,,,
kylian_mbapp__fra,Kylian Mbappe,FRA,Frankrig,FWD,10000000,10000000,0.902,transfermarkt_availability_split_2026_06_01,0.082,5.360705,5.360705,49418,Frankrig,10000000,True,True,name_team_position,1.0,0.085,0.052,0.119,SEN,2026-06-16 21:00,66.887,0.278098,0.101092,0.208745,0,0.046388,0.103,0.04,-0.0279148969131685,0.047608,60.332074,1.740718,1.740718,IRQ,2026-06-22 23:00,66.887,0.295896,0.106814,0.220952,0,0.046388,0.065,0.041,-0.0261772174181869,0.047608,60.332074,1.806021,1.71572,NOR,2026-06-26 21:00,66.887,0.207009,0.077738,0.180668,0,0.046388,0.048,0.037,-0.0303375577419813,0.047608,60.332074,1.2978,1.16802,4.844539,34844,592,10000000,FWD,False,,10.0,2.562,1.0,3.468420000000001,2.562,2.479475,0.45,True,1.35,kylian mbappe,fra,FWD,kylian mbappe|fra|FWD,kylian mbappe|fra,kylian mbappe|fra,,,,,,,,,,,,,,,,,
marcus_rashford__eng,Marcus Rashford,ENG,England,FWD,5500000,5500000,0.7499,transfermarkt_availability_split_2026_06_01,0.068173,5.225401,5.225401,49498,England,5500000,True,True,name_team_position,1.0,0.066,0.041,0.084,CRO,2026-06-17 22:00,66.409,0.147526,0.057197,0.118165,0,0.038176,0.047,0.022,-0.0156393612632299,-0.001818,49.800109,0.893227,0.893227,GHA,2026-06-23 22:00,66.409,0.185537,0.068172,0.125437,0,0.038176,0.035,0.023,-0.0147617035939548,-0.001818,49.800109,1.075345,1.021578,PAN,2026-06-27 23:00,66.409,0.155719,0.05681,0.105439,0,0.038176,0.027,0.021,-0.0167469602660132,-0.001818,49.800109,0.890004,0.801004,2.85593,33955,769,5500000,FWD,False,,5.5,1.028,0.9050179211469536,3.1389822580645173,1.028,1.275977,0.45,True,1.35,marcus rashford,eng,FWD,marcus rashford|eng|FWD,marcus rashford|eng,marcus rashford|eng,,,,,,,,,,,,,,,,,
cristiano_ronaldo__por,Cristiano Ronaldo,POR,Portugal,FWD,7000000,7000000,0.908,transfermarkt_availability_split_2026_06_01,0.082545,5.118141,5.118141,48970,Portugal,7000000,True,True,name_team_position,1.0,0.102,0.055,0.107,COD,2026-06-17 19:00,67.242,0.345778,0.110156,0.194911,0.11189,0.047691,0.133,0.049,-0.0322837452053449,0.057022,61.055736,2.067538,2.067538,UZB,2026-06-23 19:00,67.242,0.357113,0.115015,0.201131,0.117485,0.047691,0.077,0.049,-0.0311493479733106,0.057022,61.055736,2.07881,1.974869,COL,2026-06-28 01:30,67.242,0.193166,0.067946,0.159661,0.058769,0.047691,0.054,0.044,-0.0368307504416868,0.057022,61.055736,1.206663,1.085997,5.353011,20275,585,7000000,FWD,False,,7.0,3.38,0.9695340501792116,3.3627512903225814,3.38,3.075976,0.45,True,1.35,cristiano ronaldo,por,FWD,cristiano ronaldo|por|FWD,cristiano ronaldo|por,cristiano ronaldo|por,,,,,,,,,,,,,,,,,
morgan_rogers__eng,Morgan Rogers,ENG,England,MID,5500000,5500000,0.8928,transfermarkt_availability_split_2026_06_01,0.081164,5.037868,5.037868,49606,England,5500000,True,True,name_team_position,1.0,0.046,0.053,0.024,CRO,2026-06-17 22:00,70.918,0.127294,0.089005,0.041568,0,0.077714,0.061,0.028,-0.0200011129518904,0.016266,63.31559,0.952604,0.952604,GHA,2026-06-23 22:00,70.918,0.161398,0.110134,0.045183,0,0.077714,0.045,0.029,-0.0188786802718847,0.016266,63.31559,1.176248,1.117436,PAN,2026-06-27 23:00,70.918,0.135048,0.090366,0.037954,0,0.077714,0.034,0.027,-0.0214176166304745,0.016266,63.31559,0.962426,0.866184,3.091278,45403,769,5500000,MID,False,,5.5,1.082,0.9790209790209792,2.8030153846153847,1.082,1.230619,0.45,True,1.35,morgan rogers,eng,MID,morgan rogers|eng|MID,morgan rogers|eng,morgan rogers|eng,,,,,,,,,,,,,,,,,
jonathan_david__can,Jonathan David,CAN,Canada,FWD,4500000,4500000,0.9,transfermarkt_availability_split_2026_06_01,0.081818,4.99494,4.99494,49311,Canada,4500000,True,True,name_team_position,1.0,0.139,0.085,0.166,BIH,2026-06-12 21:00,67.366,0.356855,0.136109,0.285908,0,0.047091,0.072,0.044,-0.030577286891911,0.051576,60.6294,2.211563,2.211563,QAT,2026-06-19 00:00,67.366,0.453636,0.164678,0.291514,0,0.047091,0.065,0.044,-0.0299905132804538,0.051576,60.6294,2.683586,2.549407,SUI,2026-06-24 21:00,67.366,0.145016,0.067175,0.229848,0,0.047091,0.046,0.039,-0.0346486791421507,0.051576,60.6294,1.066273,0.959646,5.961422,41228,1059,4500000,FWD,False,,4.5,3.999,0.8279569892473119,2.871702580645162,3.999,3.461229,0.45,True,1.35,jonathan david,can,FWD,jonathan david|can|FWD,jonathan david|can,david jonathan|can,,,,,,,,,,,,,,,,,
enzo_fern_ndez__arg,Enzo Fernandez,ARG,Argentina,MID,5000000,5000000,0.9015,transfermarkt_availability_split_2026_06_01,0.081955,4.803825,4.803825,49070,Argentina,5000000,True,True,name_team_position,1.0,0.031,0.046,0.026,ALG,2026-06-17 03:00,70.466,0.107594,0.092244,0.047229,0,0.076747,0.069,0.026,-0.0179784324673115,0.009839,63.525099,0.872045,0.872045,AUT,2026-06-22 19:00,70.466,0.092963,0.084644,0.047229,0,0.076747,0.038,0.026,-0.0182743022769042,0.009839,63.525099,0.744794,0.707554,JOR,2026-06-28 04:00,70.466,0.096835,0.086095,0.043293,0,0.076747,0.035,0.025,-0.018851606275059,0.009839,63.525099,0.759993,0.683994,2.376832,42984,762,5000000,MID,False,,5.0,0.787,0.9603729603729604,2.749624615384616,0.787,1.001386,0.45,True,1.35,enzo fernandez,arg,MID,enzo fernandez|arg|MID,enzo fernandez|arg,enzo fernandez|arg,,,,,,,,,,,,,,,,,
j_rgen_strand_larsen__nor,Jørgen Strand Larsen,NOR,Norge,FWD,3000000,3000000,0.7453,transfermarkt_availability_split_2026_06_01,0.067755,4.692312,4.692312,49323,Norge,3000000,True,True,name_team_position,1.0,0.075,0.046,0.094,IRQ,2026-06-17 00:00,66.572,0.171852,0.060271,0.111439,0,0.038575,0.025,0.009,-0.007137177984237,-0.124297,49.616112,0.843651,0.843651,SEN,2026-06-23 02:00,66.572,0.132844,0.051618,0.124297,0,0.038575,0.012,0.009,-0.0068195600071462,-0.124297,49.616112,0.661835,0.628744,FRA,2026-06-26 21:00,66.572,0.055852,0.02906,0.120011,0,0.038575,0.012,0.009,-0.0070248956802432,-0.124297,49.616112,0.281702,0.253532,1.787188,43117,1126,3000000,FWD,False,,3.0,0.365,0.507168458781362,1.759073225806452,0.365,0.556737,0.45,True,1.35,jorgen strand larsen,nor,FWD,jorgen strand larsen|nor|FWD,jorgen strand larsen|nor,jorgen larsen strand|nor,,,,,,,,,,,,,,,,,
quinten_timber__ned,Quinten Timber,NED,Holland,MID,3000000,3000000,0.6143,transfermarkt_availability_split_2026_06_01,0.055845,4.679655,4.679655,49740,Holland,3000000,True,True,name_team_position,1.0,0.027,0.043,0.021,JPN,2026-06-14 22:00,70.376,0.041965,0.043278,0.024834,0,0.053215,0.017,0.01,-0.0068830264340124,-0.102883,43.231977,0.228512,0.228512,SWE,2026-06-20 19:00,70.376,0.0566,0.055067,0.024834,0,0.053215,0.015,0.01,-0.0068153147851213,-0.102883,43.231977,0.335122,0.318366,TUN,2026-06-26 01:00,70.376,0.048809,0.047716,0.021286,0,0.053215,0.012,0.009,-0.0074870834176409,-0.102883,43.231977,0.265894,0.239305,0.824561,39006,593,3000000,MID,False,,3.0,0.159,0.6713286713286714,1.9220676923076925,0.159,0.406646,0.45,True,1.35,quinten timber,ned,MID,quinten timber|ned|MID,quinten timber|ned,quinten timber|ned,,,,,,,,,,,,,,,,,
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,Belgien,MID,7000000,7000000,0.8443,transfermarkt_availability_split_2026_06_01,0.076755,4.675062,4.675062,49390,Belgien,7000000,True,True,name_team_position,1.0,0.044,0.044,0.027,EGY,2026-06-15 21:00,70.545,0.121559,0.074842,0.044857,0,0.0731,0.064,0.029,-0.0201207634154956,0.018275,59.561144,0.895232,0.895232,IRN,2026-06-21 21:00,70.545,0.142308,0.083068,0.044857,0,0.0731,0.043,0.029,-0.0199789508988076,0.018275,59.561144,1.002797,0.952657,NZL,2026-06-27 05:00,70.545,0.127168,0.075279,0.041534,0,0.0731,0.038,0.028,-0.0211532594139932,0.018275,59.561144,0.893233,0.803909,2.793779,29401,884,7000000,MID,False,,7.0,1.057,0.9965034965034965,2.853069230769231,1.057,1.219353,0.45,True,1.35,kevin de bruyne,bel,MID,kevin de bruyne|bel|MID,kevin de bruyne|bel,bruyne de kevin|bel,,,,,,,,,,,,,,,,,
