player_id,holdet_player_id,player_name,team_name,position,match_method,old_price,old_holdet_price,new_price,diff
virgil_van_dijk__ned,49930,Virgil van Dijk,Holland,DEF,holdet_player_id,5257000,5257000,5224000,-33000
marc_pubill__esp,50110,Marc Pubill,Spanien,DEF,holdet_player_id,3000000,3000000,2995000,-5000
pau_cubars__esp,49720,Pau Cubarsi,Spanien,DEF,holdet_player_id,4000000,4000000,4062000,62000
eric_garcia__esp,50111,Eric Garcia,Spanien,DEF,holdet_player_id,3000000,3000000,2995000,-5000
pedro_porro__esp,49729,Pedro Porro,Spanien,DEF,holdet_player_id,4500000,4500000,4495000,-5000
marc_cucurella__esp,49488,Marc Cucurella,Spanien,DEF,holdet_player_id,4500000,4500000,4572000,72000
alejandro_alex_grimaldo__esp,48767,Alejandro 'Alex' Grimaldo,Spanien,DEF,holdet_player_id,4000000,4000000,3995000,-5000
aymeric_laporte__esp,48877,Aymeric Laporte,Spanien,DEF,holdet_player_id,4500000,4500000,4572000,72000
francis_de_vries__nzl,50052,Francis de Vries,New Zealand,DEF,holdet_player_id,2500000,2500000,2495000,-5000
finn_surman__nzl,49110,Finn Surman,New Zealand,DEF,holdet_player_id,2000000,2000000,2016000,16000
michael_boxall__nzl,50055,Michael Boxall,New Zealand,DEF,holdet_player_id,2000000,2000000,2016000,16000
tim_payne__nzl,49895,Tim Payne,New Zealand,DEF,holdet_player_id,2500000,2500000,2516000,16000
callan_elliot__nzl,48926,Callan Elliot,New Zealand,DEF,holdet_player_id,2000000,2000000,2012000,12000
liberato_cacace__nzl,49441,Liberato Cacace,New Zealand,DEF,holdet_player_id,2500000,2500000,2526000,26000
tyler_bindon__nzl,49914,Tyler Bindon,New Zealand,DEF,holdet_player_id,2500000,2500000,2512000,12000
tommy_smith__nzl,50057,Tommy Smith,New Zealand,DEF,holdet_player_id,2000000,2000000,1995000,-5000
nando_pijnaker__nzl,50056,Nando Pijnaker,New Zealand,DEF,holdet_player_id,2000000,2000000,1995000,-5000
math_as_olivera__uru,49527,Mathias Olivera,Uruguay,DEF,holdet_player_id,4000000,4000000,4014000,14000
jos_mar_a_gim_nez__uru,49332,Jose Maria Gimenez,Uruguay,DEF,holdet_player_id,4500000,4500000,4495000,-5000
guillermo_varela__uru,49156,Guillermo Varela,Uruguay,DEF,holdet_player_id,3000000,3000000,3014000,14000
ronald_ara_jo__uru,49792,Ronald Araujo,Uruguay,DEF,holdet_player_id,4500000,4500000,4495000,-5000
sebastian_caceres__uru,50310,Sebastian Caceres,Uruguay,DEF,holdet_player_id,2500000,2500000,2514000,14000
santiago_bueno__uru,49824,Santiago Bueno,Uruguay,DEF,holdet_player_id,3500000,3500000,3495000,-5000
mat_as_vi_a__uru,49530,Matias Viña,Uruguay,DEF,holdet_player_id,4000000,4000000,4004000,4000
ali_nemati__irn,48801,Ali Nemati,Iran,DEF,holdet_player_id,2500000,2500000,2516000,16000
hossein_kanaani__irn,49190,Hossein Kanaani,Iran,DEF,holdet_player_id,2500000,2500000,2495000,-5000
saleh_hardani__irn,50370,Saleh Hardani,Iran,DEF,holdet_player_id,2500000,2500000,2495000,-5000
shoja_khalilzadeh__irn,49847,Shojae Khalilzadeh,Iran,DEF,holdet_player_id,2500000,2500000,2516000,16000
milad_mohammadi__irn,49565,Milad Mohammadi,Iran,DEF,holdet_player_id,2500000,2500000,2516000,16000
ramin_rezaeian__irn,49746,Ramin Rezaeian,Iran,DEF,holdet_player_id,2500000,2500000,2784000,284000
ehsan_hajsafi__irn,49049,Ehsan Hajsafi,Iran,DEF,holdet_player_id,2000000,2000000,1992000,-8000
daniyal_eiri__irn,50369,Daniyal Eiri,Iran,DEF,holdet_player_id,2000000,2000000,1995000,-5000
arya_yousefi__irn,50374,Arya Yousefi,Iran,DEF,holdet_player_id,2000000,2000000,2024000,24000
nathan_ngoy__bel,49627,Nathan Ngoy,Belgien,DEF,holdet_player_id,2000000,2000000,2014000,14000
thomas_meunier__bel,49892,Thomas Meunier,Belgien,DEF,holdet_player_id,3500000,3500000,3524000,24000
brandon_mechele__bel,48911,Brandon Mechele,Belgien,DEF,holdet_player_id,2500000,2500000,2524000,24000
timothy_castagne__bel,49897,Timothy Castagne,Belgien,DEF,holdet_player_id,3500000,3500000,3484000,-16000
maxim_de_cuyper__bel,49539,Maxim De Cuyper,Belgien,DEF,holdet_player_id,4000000,4000000,4002000,2000
koni_de_winter__bel,49406,Koni de Winter,Belgien,DEF,holdet_player_id,3000000,3000000,2995000,-5000
zeno_debast__bel,49992,Zeno Debast,Belgien,DEF,holdet_player_id,3500000,3500000,3495000,-5000
arthur_theate__bel,48864,Arthur Theate,Belgien,DEF,holdet_player_id,3000000,3000000,2995000,-5000
joaquin_seys__bel,49294,Joaquin Seys,Belgien,DEF,holdet_player_id,2500000,2500000,2495000,-5000
