kind,method,resource_type,status,url,post_data
request,GET,image,,https://ensightenone.danskespil.dk/privacy/v1/c/b.rnc?n=1&c=2305&i=5150w7&p=dli_oddset_prod&s=471&d=9Cd7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNzI3IiwiY2xpZW50SWQiOjIzMDUQAPAQTmFtZSI6ImRhbnNrZXNwaWwiLCJwdWJsaXNoUGF0aBsA8AVsaV9vZGRzZXRfcHJvZCIsIm1vZDQAkGJsYWNrbGlzdF0A8CRvb2tpZXMiOnsiREFOU0tFU1BJTF9FTlNJR0hURU5fUFJJVkFDWV9NT0RBTF9WSUVXRUSwAC8iLDAAEUNMT0FEMADxDn0sImR0IjoxNzgwNDIxMjY4NjgyLCJzZXR0aW5ngADxKW1vZGFsIjoiZW50ZXJwcmlzZSIsImVudmlyb25tZW50IjoiV2ViQWxsLVBST0QiLCJkZWZhdWx0PQDyG0Z1bmt0aW9uZWxsZSI6MCwiTm9kdmVuZGlnZSI6MSwiU3RhdGlzdGlzax8AUE1hcmtlewCwIjowfX0sImV2ZW5KACJbewsAQSI6ImMbAWBDaGFuZ2U-AQ-_AAACFgHgTE9BREVEIjoiMSJ9XX0,
response,,,204,https://ensightenone.danskespil.dk/privacy/v1/c/b.rnc?n=0&c=2305&i=5150w7&p=dli_oddset_prod&s=471&d=9Cd7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNzI3IiwiY2xpZW50SWQiOjIzMDUQAPAQTmFtZSI6ImRhbnNrZXNwaWwiLCJwdWJsaXNoUGF0aBsA8AVsaV9vZGRzZXRfcHJvZCIsIm1vZDQAkGJsYWNrbGlzdF0A8CRvb2tpZXMiOnsiREFOU0tFU1BJTF9FTlNJR0hURU5fUFJJVkFDWV9NT0RBTF9WSUVXRUSwAC8iLDAAEUNMT0FEMADxDn0sImR0IjoxNzgwNDIxMjY4Njc4LCJzZXR0aW5ngADxKW1vZGFsIjoiZW50ZXJwcmlzZSIsImVudmlyb25tZW50IjoiV2ViQWxsLVBST0QiLCJkZWZhdWx0PQDyG0Z1bmt0aW9uZWxsZSI6MCwiTm9kdmVuZGlnZSI6MSwiU3RhdGlzdGlzax8AUE1hcmtlewCwIjowfX0sImV2ZW5KACJbewsAQSI6ImMbAWBDaGFuZ2U-AQ-_AAAEFgHARVdFRCI6IjEifV19,
response,,,204,https://ensightenone.danskespil.dk/privacy/v1/c/b.rnc?n=1&c=2305&i=5150w7&p=dli_oddset_prod&s=471&d=9Cd7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNzI3IiwiY2xpZW50SWQiOjIzMDUQAPAQTmFtZSI6ImRhbnNrZXNwaWwiLCJwdWJsaXNoUGF0aBsA8AVsaV9vZGRzZXRfcHJvZCIsIm1vZDQAkGJsYWNrbGlzdF0A8CRvb2tpZXMiOnsiREFOU0tFU1BJTF9FTlNJR0hURU5fUFJJVkFDWV9NT0RBTF9WSUVXRUSwAC8iLDAAEUNMT0FEMADxDn0sImR0IjoxNzgwNDIxMjY4NjgyLCJzZXR0aW5ngADxKW1vZGFsIjoiZW50ZXJwcmlzZSIsImVudmlyb25tZW50IjoiV2ViQWxsLVBST0QiLCJkZWZhdWx0PQDyG0Z1bmt0aW9uZWxsZSI6MCwiTm9kdmVuZGlnZSI6MSwiU3RhdGlzdGlzax8AUE1hcmtlewCwIjowfX0sImV2ZW5KACJbewsAQSI6ImMbAWBDaGFuZ2U-AQ-_AAACFgHgTE9BREVEIjoiMSJ9XX0,
response,,,200,https://danskespil.dk/oddset/sports/event/9290632/fodbold/verden/vm/mexico-sydafrika,
request,GET,fetch,,https://content.sb.danskespil.dk/content-service/api/v1/q/localisation?brand=sgd-b1&channel=I&groups=openbet-banner%2Copenbet-bet-editor%2Copenbet-bet-type-info%2Copenbet-betslip%2Copenbet-favourites%2Copenbet-filtered-event-list%2Copenbet-grouped-event-list%2Copenbet-hierarchy-menu%2Copenbet-ui-common%2Copenbet-webapp%2Csgd-app-common%2Csgd-app-promotions%2Csgd-app-scaffolding%2Csgd-app-sportsbook%2Csgd-popular-bets%2Csgd-promotions-ui-kit%2Csgd-sportsbook-ui-kit%2Csgd-stream-player%2Csgd-ui-kit&lang=da-DK&locale=da-DK,
response,,,200,https://content.sb.danskespil.dk/content-service/api/v1/q/localisation?brand=sgd-b1&channel=I&groups=openbet-banner%2Copenbet-bet-editor%2Copenbet-bet-type-info%2Copenbet-betslip%2Copenbet-favourites%2Copenbet-filtered-event-list%2Copenbet-grouped-event-list%2Copenbet-hierarchy-menu%2Copenbet-ui-common%2Copenbet-webapp%2Csgd-app-common%2Csgd-app-promotions%2Csgd-app-scaffolding%2Csgd-app-sportsbook%2Csgd-popular-bets%2Csgd-promotions-ui-kit%2Csgd-sportsbook-ui-kit%2Csgd-stream-player%2Csgd-ui-kit&lang=da-DK&locale=da-DK,
request,GET,xhr,,https://content.sb.danskespil.dk/content-service/api/v1/q/drilldown-tree?drilldownNodeIds=1&eventState=OPEN_EVENT&includeMarketGroupCodeCombis=true&lang=da-DK&channel=I,
response,,,200,https://content.sb.danskespil.dk/content-service/api/v1/q/drilldown-tree?drilldownNodeIds=1&eventState=OPEN_EVENT&includeMarketGroupCodeCombis=true&lang=da-DK&channel=I,
request,GET,image,,https://ensightenone.danskespil.dk/privacy/v1/c/b.rnc?n=2&c=2305&i=5150w7&p=dli_oddset_prod&s=418&d=9Cd7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNzI3IiwiY2xpZW50SWQiOjIzMDUQAPAQTmFtZSI6ImRhbnNrZXNwaWwiLCJwdWJsaXNoUGF0aBsA8AVsaV9vZGRzZXRfcHJvZCIsIm1vZDQAkGJsYWNrbGlzdF0A8CRvb2tpZXMiOnsiREFOU0tFU1BJTF9FTlNJR0hURU5fUFJJVkFDWV9NT0RBTF9MT0FERUSwAPEPIn0sImR0IjoxNzgwNDIxMjY5MjAyLCJzZXR0aW5nUADxKW1vZGFsIjoiZW50ZXJwcmlzZSIsImVudmlyb25tZW50IjoiV2ViQWxsLVBST0QiLCJkZWZhdWx0PQDyG0Z1bmt0aW9uZWxsZSI6MCwiTm9kdmVuZGlnZSI6MSwiU3RhdGlzdGlzax8AUE1hcmtlewCwIjowfX0sImV2ZW5KACJbewsAQSI6ImPrAGBDaGFuZ2UOAQ-_AADwAFZlcnNpb24iOiIyIn1dfQ,
response,,,204,https://ensightenone.danskespil.dk/privacy/v1/c/b.rnc?n=2&c=2305&i=5150w7&p=dli_oddset_prod&s=418&d=9Cd7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNzI3IiwiY2xpZW50SWQiOjIzMDUQAPAQTmFtZSI6ImRhbnNrZXNwaWwiLCJwdWJsaXNoUGF0aBsA8AVsaV9vZGRzZXRfcHJvZCIsIm1vZDQAkGJsYWNrbGlzdF0A8CRvb2tpZXMiOnsiREFOU0tFU1BJTF9FTlNJR0hURU5fUFJJVkFDWV9NT0RBTF9MT0FERUSwAPEPIn0sImR0IjoxNzgwNDIxMjY5MjAyLCJzZXR0aW5nUADxKW1vZGFsIjoiZW50ZXJwcmlzZSIsImVudmlyb25tZW50IjoiV2ViQWxsLVBST0QiLCJkZWZhdWx0PQDyG0Z1bmt0aW9uZWxsZSI6MCwiTm9kdmVuZGlnZSI6MSwiU3RhdGlzdGlzax8AUE1hcmtlewCwIjowfX0sImV2ZW5KACJbewsAQSI6ImPrAGBDaGFuZ2UOAQ-_AADwAFZlcnNpb24iOiIyIn1dfQ,
