"Kamp","Hold","Rent bur - Ja","Rent bur - Nej"
"Tunisia v Japan","Tunisia","4.00","1.22"
"Tunisia v Japan","Japan","2.10","1.66"
"Spain v Saudi Arabia","Spain","1.40","2.75"
"Spain v Saudi Arabia","Saudi Arabia","13.00","1.04"
"Belgium v Iran","Belgium","1.83","1.83"
"Belgium v Iran","Iran","6.50","1.11"
"Uruguay v Cape Verde","Uruguay","1.83","1.83"
"Uruguay v Cape Verde","Cape Verde","6.00","1.12"
"New Zealand v Egypt","New Zealand","4.33","1.20"
"New Zealand v Egypt","Egypt","2.00","1.72"
"Argentina v Austria","Argentina","2.20","1.61"
"Argentina v Austria","Austria","5.00","1.16"
"France v Iraq","France","1.40","2.75"
"France v Iraq","Iraq","15.00","1.03"
"Norway v Senegal","Norway","2.75","1.40"
"Norway v Senegal","Senegal","4.00","1.22"
"Jordan v Algeria","Jordan","5.00","1.16"
"Jordan v Algeria","Algeria","2.20","1.61"
"Portugal v Uzbekistan","Portugal","1.83","1.83"
"Portugal v Uzbekistan","Uzbekistan","10.00","1.062"
"England v Ghana","England","1.83","1.83"
"England v Ghana","Ghana","8.00","1.083"
"Panama v Croatia","Panama","5.50","1.14"
"Panama v Croatia","Croatia","1.90","1.80"
"Colombia v DR Congo","Colombia","1.72","2.00"
"Colombia v DR Congo","DR Congo","5.00","1.16"
"Bosnia-Herzegovina v Qatar","Bosnia-Herzegovina","2.00","1.72"
"Bosnia-Herzegovina v Qatar","Qatar","5.00","1.16"
"Switzerland v Canada","Switzerland","2.62","1.44"
"Switzerland v Canada","Canada","3.75","1.25"
"Morocco v Haiti","Morocco","1.66","2.10"
"Morocco v Haiti","Haiti","10.00","1.062"
"Scotland v Brazil","Scotland","7.00","1.10"
"Scotland v Brazil","Brazil","1.83","1.83"
"Czechia v Mexico","Czechia","4.33","1.20"
"Czechia v Mexico","Mexico","2.25","1.57"
"South Africa v South Korea","South Africa","4.00","1.22"
"South Africa v South Korea","South Korea","2.37","1.53"
"Curaçao v Ivory Coast","Curaçao","7.00","1.10"
"Curaçao v Ivory Coast","Ivory Coast","1.80","1.90"
"Ecuador v Germany","Ecuador","5.50","1.14"
"Ecuador v Germany","Germany","2.25","1.57"
"Japan v Sweden","Japan","2.62","1.44"
"Japan v Sweden","Sweden","3.75","1.25"
"Tunisia v Netherlands","Tunisia","5.50","1.14"
"Tunisia v Netherlands","Netherlands","2.00","1.72"
"Paraguay v Australia","Paraguay","2.50","1.50"
"Paraguay v Australia","Australia","3.50","1.28"
"Türkiye v USA","Türkiye","3.40","1.30"
"Türkiye v USA","USA","3.40","1.30"
"Norway v France","Norway","4.50","1.18"
"Norway v France","France","2.50","1.50"
"Senegal v Iraq","Senegal","1.83","1.83"
"Senegal v Iraq","Iraq","6.00","1.12"
