match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group
26,SUI,BIH,2026-06-18 21:00,1.56,4.20,6.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
27,CAN,QAT,2026-06-19 00:00,1.26,6.25,14.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
27,CAN,QAT,2026-06-19 00:00,1.26,6.25,14.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
28,MEX,KOR,2026-06-19 03:00,2.02,3.35,4.25,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
28,MEX,KOR,2026-06-19 03:00,2.02,3.35,4.25,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
29,USA,AUS,2026-06-19 21:00,1.60,4.30,6.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
29,USA,AUS,2026-06-19 21:00,1.60,4.30,6.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
30,SCO,MAR,2026-06-20 00:00,5.50,3.65,1.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
30,SCO,MAR,2026-06-20 00:00,5.50,3.65,1.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
31,BRA,HAI,2026-06-20 03:00,1.12,11.50,26.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
31,BRA,HAI,2026-06-20 03:00,1.12,11.50,26.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
32,TUR,PAR,2026-06-20 06:00,2.06,3.40,4.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
32,TUR,PAR,2026-06-20 06:00,2.06,3.40,4.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
33,NED,SWE,2026-06-20 19:00,1.74,4.1,4.7,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
33,NED,SWE,2026-06-20 19:00,1.70,3.95,5.40,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
34,GER,CIV,2026-06-20 22:00,1.52,4.7,6.1,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
34,GER,CIV,2026-06-20 22:00,1.57,4.40,6.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
35,ECU,CUW,2026-06-21 02:00,1.13,10.5,23,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
35,ECU,CUW,2026-06-21 02:00,1.13,11.00,23.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
36,TUN,JPN,2026-06-21 06:00,6.75,4.1,1.58,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
36,TUN,JPN,2026-06-21 06:00,7.50,4.20,1.53,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
37,ESP,KSA,2026-06-21 18:00,1.09,12,36,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
37,ESP,KSA,2026-06-21 18:00,1.12,10.00,30.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
38,BEL,IRN,2026-06-21 21:00,1.42,4.8,8.5,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
38,BEL,IRN,2026-06-21 21:00,1.38,5.30,9.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
39,URU,CPV,2026-06-22 00:00,1.46,4.3,8.5,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
39,URU,CPV,2026-06-22 00:00,1.47,4.60,8.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
40,NZL,EGY,2026-06-22 03:00,6.25,4.35,1.58,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
40,NZL,EGY,2026-06-22 03:00,5.40,3.70,1.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
41,ARG,AUT,2026-06-22 19:00,1.61,4,6.5,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
41,ARG,AUT,2026-06-22 19:00,1.64,4.00,5.80,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
42,FRA,IRQ,2026-06-22 23:00,1.1,12,36,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
42,FRA,IRQ,2026-06-22 23:00,1.13,10.50,25.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
43,NOR,SEN,2026-06-23 02:00,2.25,3.5,3.3,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
43,NOR,SEN,2026-06-23 02:00,2.18,3.55,3.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
44,JOR,ALG,2026-06-23 05:00,7.00,4.50,1.52,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
44,JOR,ALG,2026-06-23 05:00,7.00,4.50,1.52,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
45,POR,UZB,2026-06-23 19:00,1.22,6.75,16,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
45,POR,UZB,2026-06-23 19:00,1.28,6.25,13.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
46,ENG,GHA,2026-06-23 22:00,1.21,6.75,16,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
46,ENG,GHA,2026-06-23 22:00,1.36,5.10,10.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
47,PAN,CRO,2026-06-24 01:00,7.5,4.1,1.53,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
47,PAN,CRO,2026-06-24 01:00,6.75,4.00,1.58,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
48,COL,COD,2026-06-24 04:00,1.5,4.35,8,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
48,COL,COD,2026-06-24 04:00,1.49,4.30,8.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
49,SUI,CAN,2026-06-24 21:00,2.43,3.15,3.25,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
49,SUI,CAN,2026-06-24 21:00,2.20,3.45,3.65,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
50,BIH,QAT,2026-06-24 21:00,1.43,4.9,7.5,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
50,BIH,QAT,2026-06-24 21:00,1.54,4.20,7.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
51,SCO,BRA,2026-06-25 00:00,8,5.1,1.38,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
51,SCO,BRA,2026-06-25 00:00,7.00,4.90,1.44,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
52,MAR,HAI,2026-06-25 00:00,1.22,6.75,14,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
52,MAR,HAI,2026-06-25 00:00,1.30,5.75,10.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
53,CZE,MEX,2026-06-25 03:00,3.65,3.55,2.05,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
53,CZE,MEX,2026-06-25 03:00,5.00,3.65,1.80,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
54,RSA,KOR,2026-06-25 03:00,6.1,3.95,1.6,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
54,RSA,KOR,2026-06-25 03:00,6.10,4.10,1.58,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
55,CUW,CIV,2026-06-25 22:00,21,9.5,1.13,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
55,CUW,CIV,2026-06-25 22:00,21.00,8.50,1.15,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
56,ECU,GER,2026-06-25 22:00,5.25,3.9,1.68,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
56,ECU,GER,2026-06-25 22:00,5.00,3.85,1.76,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
57,TUN,NED,2026-06-26 01:00,11.5,5.6,1.29,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
57,TUN,NED,2026-06-26 01:00,9.00,5.00,1.37,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
58,JPN,SWE,2026-06-26 01:00,2.23,3.4,3.35,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
58,JPN,SWE,2026-06-26 01:00,2.15,3.50,3.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
