strategy,display_name_da,formation,total_price,total_ev,total_score,avg_conditional_start_prob,high_risk_players,recommended_captain,captain_expected_growth,captain_score,captain_reason,player_name,team_id,position,price,EV,strategy_score,start_prob,conditional_start_prob,availability_risk,manual_captain_status,relevant_rounds,opponents,win_probabilities,clean_sheet_probabilities,goal_assist_fixture_info,note
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Chris Richards,USA,DEF,3000000,3.127363,7.523092,0.6712,0.7805,high_risk,,1+2,R1:PAR; R2:AUS,R1:0.476; R2:0.545,R1:0.411; R2:0.423,,manuel tjek: high_risk
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Ruben Dias,POR,DEF,4000000,2.812349,6.867158,0.8077,0.8506,low_risk,,1+2,R1:COD; R2:UZB,R1:0.734; R2:0.743,R1:0.5; R2:0.5,,favoritkamp i relevant horisont; stærk clean sheet-profil
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Jonathan David,CAN,FWD,4500000,4.474384,11.605076,0.9,0.97,medium_risk,,1+2,R1:BIH; R2:QAT,R1:0.522; R2:0.671,,R1: goal 1.208 / assist 1.149; R2: goal 1.35 / assist 1.25,stærk startsikkerhed; godt offensivt kampmiljø
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Cristiano Ronaldo,POR,FWD,7000000,4.947107,11.526874,0.908,0.97,medium_risk,,1+2,R1:COD; R2:UZB,R1:0.734; R2:0.743,,R1: goal 1.35 / assist 1.25; R2: goal 1.35 / assist 1.25,stærk startsikkerhed; høj EV; favoritkamp i relevant horisont; godt offensivt kampmiljø
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Vinicius Junior,BRA,FWD,7500000,5.044969,10.51014,0.7444,0.8103,medium_risk,,1+2,R1:MAR; R2:HAI,R1:0.586; R2:0.897,,R1: goal 1.288 / assist 1.206; R2: goal 1.35 / assist 1.25,høj EV; favoritkamp i relevant horisont; godt offensivt kampmiljø
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Diogo Costa,POR,GK,5000000,3.560318,9.422139,0.7534,0.7925,low_risk,,1+2,R1:COD; R2:UZB,R1:0.734; R2:0.743,R1:0.5; R2:0.5,,favoritkamp i relevant horisont; stærk clean sheet-profil
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Roberto Alvarado,MEX,MID,2500000,4.125843,11.113235,0.6394,0.7246,medium_risk,avoid,1+2,R1:RSA; R2:KOR,R1:0.645; R2:0.529,,R1: goal 1.35 / assist 1.25; R2: goal 1.228 / assist 1.163,captain_avoid: maa ikke anbefales som kaptajn; manuel tjek: lav conditional start; godt offensivt kampmiljø
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Oscar Bobb,NOR,MID,3000000,3.563792,9.780859,0.9101,0.97,medium_risk,,1+2,R1:IRQ; R2:SEN,R1:0.758; R2:0.458,,R1: goal 1.35 / assist 1.25; R2: goal 1.136 / assist 1.097,stærk startsikkerhed; favoritkamp i relevant horisont; godt offensivt kampmiljø
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Andreas Schjelderup,NOR,MID,3500000,3.967413,9.773094,0.6607,0.7143,medium_risk,,1+2,R1:IRQ; R2:SEN,R1:0.758; R2:0.458,,R1: goal 1.35 / assist 1.25; R2: goal 1.136 / assist 1.097,manuel tjek: lav conditional start; favoritkamp i relevant horisont; godt offensivt kampmiljø
round1_2,1. + 2. runde,3-4-3,49000000,43.675746,107.521851,0.8488,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Kerem Akturkoglu,TUR,MID,4500000,4.077992,9.208221,0.8753,0.9107,low_risk,,1+2,R1:AUS; R2:PAR,R1:0.518; R2:0.422,,R1: goal 1.211 / assist 1.151; R2: goal 1.102 / assist 1.073,stærk startsikkerhed
