player_id,holdet_player_id,player_name,team_name,position,match_method,old_price,old_holdet_price,new_price,diff
nico_elvedi__sui,49639,Nico Elvedi,Schweiz,DEF,holdet_player_id,3014000,3014000,3021000,7000
silvan_widmer__sui,49851,Silvan Widmer,Schweiz,DEF,holdet_player_id,2995000,2995000,3002000,7000
ricardo_rodr_guez__sui,49768,Ricardo Rodriguez,Schweiz,DEF,holdet_player_id,3022000,3022000,3029000,7000
eray_c_mert__sui,49071,Eray Cömert,Schweiz,DEF,holdet_player_id,1995000,1995000,1990000,-5000
manuel_akanji__sui,49486,Manuel Akanji,Schweiz,DEF,holdet_player_id,3524000,3524000,3531000,7000
aurele_amenda__sui,48868,Aurele Amenda,Schweiz,DEF,holdet_player_id,2495000,2495000,2490000,-5000
luca_jaquez__sui,49450,Luca Jaquez,Schweiz,DEF,holdet_player_id,1995000,1995000,1990000,-5000
miro_muheim__sui,49569,Miro Muheim,Schweiz,DEF,holdet_player_id,2504000,2504000,2499000,-5000
robin_hranac__cze,49780,Robin Hranac,Tjekkiet,DEF,holdet_player_id,2493000,2493000,2507000,14000
ladislav_krejci__cze,49419,Ladislav Krejci,Tjekkiet,DEF,holdet_player_id,3168000,3168000,3195000,27000
stepan_chaloupek__cze,49863,Stepan Chaloupek,Tjekkiet,DEF,holdet_player_id,1993000,1993000,1988000,-5000
david_jurasek__cze,48993,David Jurasek,Tjekkiet,DEF,holdet_player_id,1995000,1995000,1990000,-5000
david_zima__cze,50292,David Zima,Tjekkiet,DEF,holdet_player_id,1995000,1995000,1999000,4000
jaroslav_zeleny__cze,49256,Jaroslav Zeleny,Tjekkiet,DEF,holdet_player_id,2493000,2493000,2497000,4000
tomas_holes__cze,49902,Tomas Holes,Tjekkiet,DEF,holdet_player_id,1995000,1995000,2009000,14000
vladimir_coufal__cze,49933,Vladimir Coufal,Tjekkiet,DEF,holdet_player_id,3053000,3053000,3067000,14000
khuliso_mudau__rsa,49399,Khuliso Mudau,Sydafrika,DEF,holdet_player_id,2983000,2983000,2997000,14000
samukele_kabini__rsa,49821,Samukele Kabini,Sydafrika,DEF,holdet_player_id,1995000,1995000,1990000,-5000
mbekezeli_mbokazi__rsa,49543,Mbekezeli Mbokazi,Sydafrika,DEF,holdet_player_id,2493000,2493000,2507000,14000
nkosinathi_sibisi__rsa,49662,Nkosinathi Sibisi,Sydafrika,DEF,holdet_player_id,2463000,2463000,2458000,-5000
aubrey_modiba__rsa,48867,Aubrey Modiba,Sydafrika,DEF,holdet_player_id,2993000,2993000,3007000,14000
olwethu_makhanya__rsa,50280,Olwethu Makhanya,Sydafrika,DEF,holdet_player_id,1995000,1995000,1990000,-5000
bradley_cross__rsa,50277,Bradley Cross,Sydafrika,DEF,holdet_player_id,1995000,1995000,1990000,-5000
kamogelo_sebelebele__rsa,50279,Kamogelo Sebelebele,Sydafrika,DEF,holdet_player_id,1995000,1995000,2007000,12000
ime_okon__rsa,49217,Ime Okon,Sydafrika,DEF,holdet_player_id,1983000,1983000,1997000,14000
khulumani_ndamane__rsa,49400,Khulumani Ndamane,Sydafrika,DEF,holdet_player_id,1995000,1995000,1990000,-5000
thabang_matuludi__rsa,49883,Thabang Matuludi,Sydafrika,DEF,holdet_player_id,1995000,1995000,1990000,-5000
nihad_mujaki__bih,49653,Nihad Mujakic,Bosnien-Hercegovina,DEF,holdet_player_id,2495000,2495000,2490000,-5000
nidal_celik__bih,49652,Nidal Celik,Bosnien-Hercegovina,DEF,holdet_player_id,1995000,1995000,1990000,-5000
dennis_hadzikadunic__bih,49011,Dennis Hadzikadunic,Bosnien-Hercegovina,DEF,holdet_player_id,2495000,2495000,2490000,-5000
sead_kolasinac__bih,49832,Sead Kolasinac,Bosnien-Hercegovina,DEF,holdet_player_id,2574000,2574000,2581000,7000
