player_id,player_name,team_id,position,price,start_prob,missing_goal_share_norm,missing_assist_share_norm,missing_sot_share_norm,round_context_source,current_weighted_group_stage_ev_before_price_quality,current_optimizer_ev,price_band,offensive_role_score,fallback_base_ev_variant_a,fallback_base_ev_variant_b,confidence,reason_flags
darwin_nunez__uru,Darwin Nunez,URU,FWD,6000000,0.3943,True,True,True,distributed_from_existing_optimizer_ev,0.384529,0.471048,premium,0.8388784924141879,1.69007476892717,1.140143897933963,high,legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
yan_diomande__civ,Yan Diomande,CIV,FWD,3000000,0.9123,True,True,True,distributed_from_existing_optimizer_ev,0.217515,1.077432,upper_mid,0.8206588516578488,3.648407791256889,2.6782848233828545,medium,high_priority_offensive_starter;legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
ryan_mendes_da_graca__cpv,Ryan Mendes Da Graça,CPV,FWD,3000000,0.8829,True,True,True,distributed_from_existing_optimizer_ev,0.221757,1.079765,upper_mid,0.8118989138671598,1.9867042404995177,1.186286888319139,high,high_priority_offensive_starter;legacy_aggregate_round_context;no_transfermarkt_usage_match;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
josue_casimir__hai,Josue Casimir,HAI,FWD,2500000,0.8939,True,True,True,distributed_from_existing_optimizer_ev,0.269483,0.734353,lower_mid,0.7947679500387139,1.2857466893938834,0.5545372446340129,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
amine_gouiri__alg,Amine Gouiri,ALG,FWD,3000000,0.8025,True,True,True,distributed_from_existing_optimizer_ev,0.308846,1.127664,upper_mid,0.7890120556433227,2.3546381547182715,0.3574147067607041,low,assist_no_team_residual;high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
almoez_ali__qat,Almoez Ali,QAT,FWD,3000000,0.4561,True,True,True,distributed_from_existing_optimizer_ev,0.230865,0.28281,upper_mid,0.7833416065283456,1.3900424263869777,1.115468388577824,high,legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share
deni_juric__aus,Deni Juric,AUS,FWD,2500000,0.8537,True,True,True,distributed_from_existing_optimizer_ev,0.313362,0.758486,lower_mid,0.7833292450654189,1.341564554984459,0.9551878404627413,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap
aymen_hussein__irq,Aymen Hussein,IRQ,FWD,3500000,0.3986,True,True,True,distributed_from_existing_optimizer_ev,0.192283,0.235547,upper_mid,0.7764132998719225,1.0275674157330636,1.2563997454447355,high,assist_individual_cap;goal_individual_cap;legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;sot_individual_cap
mohamed_toure__aus,Mohamed Toure,AUS,FWD,3000000,0.752,True,True,True,distributed_from_existing_optimizer_ev,0.257604,1.099481,upper_mid,0.7731364948867808,1.764928304512215,1.2927445713210415,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap
mousa_tamari__jor,Mousa Tamari,JOR,MID,3000000,0.8437,True,True,True,distributed_from_existing_optimizer_ev,0.274017,1.078292,upper_mid,0.7701009920350488,1.1571225584312153,1.0634166841355726,high,high_priority_offensive_starter;legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share
prince_adu__gha,Prince Adu,GHA,FWD,2000000,0.8702,True,True,True,distributed_from_existing_optimizer_ev,0.413014,0.47072,budget,0.7693323558696101,2.0261325378967974,1.7007251605039735,high,high_priority_offensive_starter;legacy_aggregate_round_context
hakan_calhanoglu__tur,Hakan Calhanoglu,TUR,MID,4000000,0.7024,True,True,True,distributed_from_existing_optimizer_ev,0.423506,1.442668,premium,0.7601686384638396,2.156520087913027,1.0735244998041555,high,high_priority_offensive_starter;legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
jovo_lukic__bih,Jovo Lukic,BIH,FWD,2000000,0.7493,True,True,True,distributed_from_existing_optimizer_ev,0.303576,0.410529,budget,0.731512761167236,2.0592656410124395,0.5154089034534274,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
ermedin_demirovic__bih,Ermedin Demirovic,BIH,FWD,3000000,0.6712,True,True,True,distributed_from_existing_optimizer_ev,0.344891,0.422491,upper_mid,0.7314676414442355,2.068322565062909,0.5634829902586944,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
maxi_araujo__uru,Maxi Araujo,URU,MID,5000000,0.9094,True,True,True,distributed_from_existing_optimizer_ev,0.502822,1.575641,premium,0.7287689015144929,3.062078886350994,1.975814258323664,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
cyle_christopher_larin__can,Cyle Christopher Larin,CAN,FWD,3000000,0.6238,True,True,True,distributed_from_existing_optimizer_ev,0.425134,0.520789,upper_mid,0.7197782865581889,2.7004671613977407,0.5776082723094815,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
luis_suarez_charris__col,Luis Suarez Charris,COL,FWD,4500000,0.5148,True,True,True,distributed_from_existing_optimizer_ev,0.321229,0.393506,premium,0.718416818114108,2.2598171349807226,1.8416191667784532,high,legacy_aggregate_round_context
timothy_weah__usa,Timothy Weah,USA,FWD,3000000,0.6148,True,True,True,distributed_from_existing_optimizer_ev,0.411977,0.504672,upper_mid,0.7166633604426871,2.5907441645400526,1.6222610352263505,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
wilson_isidor__hai,Wilson Isidor,HAI,FWD,3000000,0.6294,True,True,True,distributed_from_existing_optimizer_ev,0.256394,0.314083,upper_mid,0.7161367181750593,1.2797282620358348,0.57066892742139,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
juan_cucho_hernandez__col,Juan 'Cucho' Hernandez,COL,FWD,4000000,0.5405,True,True,True,distributed_from_existing_optimizer_ev,0.368333,0.451208,premium,0.716073872907264,2.4440959229901895,1.964962387644404,high,legacy_aggregate_round_context
nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,4000000,0.5303,True,True,True,distributed_from_existing_optimizer_ev,0.361922,0.443354,premium,0.7128116746252543,2.629608689368885,1.066506998089205,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
rayan__bra,Rayan,BRA,FWD,3000000,0.5901,True,True,True,distributed_from_existing_optimizer_ev,0.353675,0.433252,upper_mid,0.7074146793501058,3.1549234785896836,2.1510476686206452,high,legacy_aggregate_round_context;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
