match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group
73,FRA,SWE,2026-06-30 23:00,1.30,6.10,11.00,,,1.55,2.40,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,FRA,SWE,R32,
74,USA,BIH,2026-07-02 02:00,1.34,5.40,11.00,,,1.75,2.02,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,USA,BIH,R32,
75,AUS,EGY,2026-07-03 20:00,3.30,2.95,2.55,,,1.53,2.43,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,AUS,EGY,R32,
76,ARG,CPV,2026-07-04 00:00,1.18,8.00,21.00,,,1.65,2.18,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,ARG,CPV,R32,
77,RSA,CAN,2026-06-28 21:00,5.80,3.60,1.72,,,2.23,1.63,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,RSA,CAN,R32,
78,BRA,JPN,2026-06-29 19:00,1.73,3.80,5.25,,,1.87,1.80,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,BRA,JPN,R32,
79,GER,PAR,2026-06-29 22:30,1.38,5.00,10.00,,,1.75,2.02,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,GER,PAR,R32,
80,NED,MAR,2026-06-30 03:00,2.10,3.10,4.20,,,2.25,1.62,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,NED,MAR,R32,
81,CIV,NOR,2026-06-30 19:00,4.00,3.55,2.04,,,1.87,1.89,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,CIV,NOR,R32,
82,MEX,ECU,2026-07-01 03:00,2.20,3.00,4.00,,,1.56,2.35,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,MEX,ECU,R32,
83,ENG,COD,2026-07-01 18:00,1.32,5.60,12.00,,,1.73,2.06,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,ENG,COD,R32,
84,BEL,SEN,2026-07-01 22:00,2.00,3.40,4.20,,,2.20,1.64,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,BEL,SEN,R32,
85,ESP,AUT,2026-07-02 21:00,1.42,4.60,9.00,,,1.91,1.85,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,ESP,AUT,R32,
86,POR,CRO,2026-07-03 01:00,1.90,3.45,4.60,,,2.23,1.63,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,POR,CRO,R32,
87,SUI,ALG,2026-07-03 05:00,1.78,3.60,5.10,,,2.25,1.61,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,SUI,ALG,R32,
88,COL,GHA,2026-07-04 03:30,1.73,3.70,5.80,,,2.25,1.62,Unibet,2026-06-28T06:18:52+02:00,Unibet 28.06 kl. 06:18,COL,GHA,R32,
89,CAN,MAR,,5.30,3.50,1.83,,,,,Danske Spil / Oddset,2026-07-01T19:00:00+02:00,Oddset 01.07 kl. 19:00,CAN,MAR,,
90,PAR,FRA,,20.00,7.50,1.18,,,,,Danske Spil / Oddset,2026-07-01T23:00:00+02:00,Oddset 01.07 kl. 23:00,PAR,FRA,,
91,BRA,NOR,,1.95,3.80,4.10,,,,,Danske Spil / Oddset,2026-07-02T22:00:00+02:00,Oddset 02.07 kl. 22:00,BRA,NOR,,
92,MEX,ENG,,3.00,3.15,2.63,,,,,Danske Spil / Oddset,2026-07-03T02:00:00+02:00,Oddset 03.07 kl. 02:00,MEX,ENG,,
93,USA,BEL,,2.60,3.60,2.70,,,,,Danske Spil / Oddset,2026-07-04T02:00:00+02:00,Oddset 04.07 kl. 02:00,USA,BEL,,
