player_id,player_name,team_id,position,price,start_prob,fallback_candidate,fallback_applied,current_base_ev,variant_a_base_ev,variant_b_base_ev,raw_hybrid_base_ev_before_threshold,hybrid_base_ev,base_ev_lift,current_price_quality_ev,dry_run_price_quality_ev,current_optimizer_ev,dry_run_optimizer_ev,optimizer_ev_lift,cap_reason,confidence,reason_flags,match_1_current_ev,match_1_dry_run_ev,match_2_current_ev,match_2_dry_run_ev,match_3_current_ev,match_3_dry_run_ev,shares_status,round_context_source
marwan_ateya__egy,Marwan Ateya,EGY,MID,3000000,0.8808,yes,yes,0.361653,2.2021854907270133,1.61353850567371,1.611653,1.611653,1.25,2.061296,2.063755,1.126492,1.815099,0.688607,mid_price_3_to_4_9m_lift_cap_1.25,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap,0.070286,0.4037398595155535,0.141909,0.6410047956086956,0.149458,0.5669083448757508,missing_shares,distributed_from_existing_optimizer_ev
lukas_provod__cze,Lukas Provod,CZE,MID,3000000,0.8588,yes,yes,0.251616,2.0951837330475773,1.9130962630354704,1.501616,1.501616,1.25,2.061296,2.063755,1.065972,1.754578,0.688606,mid_price_3_to_4_9m_lift_cap_1.25,medium,high_priority_offensive_starter;legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate,0.13457,0.5684714430612153,0.060105,0.5425883611347454,0.056941,0.3905561958040393,missing_shares,distributed_from_existing_optimizer_ev
tomas_soucek__cze,Tomas Soucek,CZE,MID,3500000,0.9395,yes,yes,0.249779,3.1268683602450134,2.848737467175354,1.499779,1.499779,1.25,2.503689,2.505892,1.264039,1.952529,0.68849,mid_price_3_to_4_9m_lift_cap_1.25,medium,high_priority_offensive_starter;legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate,0.13371,0.5676114430612154,0.059603,0.5420863611347454,0.056466,0.39008119580403927,missing_shares,distributed_from_existing_optimizer_ev
pavel_sulc__cze,Pavel Sulc,CZE,MID,4000000,0.8997,yes,yes,0.233161,3.307587541099909,3.014463283404901,1.483161,1.483161,1.25,2.68831,2.690405,1.337978,2.02642,0.688442,mid_price_3_to_4_9m_lift_cap_1.25,medium,high_priority_offensive_starter;legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate,0.125927,0.5598284430612154,0.055066,0.5375493611347454,0.052168,0.38578319580403925,missing_shares,distributed_from_existing_optimizer_ev
fabian_ruiz__esp,Fabian Ruiz,ESP,MID,4500000,0.8178,yes,yes,1.045299,3.438842031126876,3.3456804032630214,2.295299,2.295299,1.25,2.806746,2.808772,1.83795,2.526363,0.6884129999999999,mid_price_3_to_4_9m_lift_cap_1.25,high,high_priority_offensive_starter;legacy_aggregate_round_context,0.2454,0.6913386225058074,0.46422,0.887861691380517,0.335679,0.7160986861136756,missing_shares,distributed_from_existing_optimizer_ev
bruno_guimaraes__bra,Bruno Guimaraes,BRA,MID,4500000,0.8763,yes,yes,0.484645,3.5419519424007797,2.476814967755758,1.734645,1.734645,1.25,2.806746,2.808772,1.52959,2.218002,0.6884119999999998,mid_price_3_to_4_9m_lift_cap_1.25,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.202885,0.6294704679481604,0.16277,0.5856044894320258,0.11899,0.5195700426198139,missing_shares,distributed_from_existing_optimizer_ev
ryan_mendes_da_graca__cpv,Ryan Mendes Da Graça,CPV,FWD,3000000,0.8829,yes,yes,0.221757,1.9867042404995177,1.186286888319139,1.423544265982967,1.423544265982967,1.201787265982967,2.128441,2.13181,1.079765,1.742264,0.662499,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;no_transfermarkt_usage_match;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.00288,0.39233727719974304,0.09826,0.46824441333975586,0.120617,0.5629625754434681,missing_shares,distributed_from_existing_optimizer_ev
salem_al_dawsari__ksa,Salem Al-Dawsari,KSA,MID,3000000,0.9032,yes,yes,0.349727,1.485578829924348,1.6050094954669258,1.485578829924348,1.485578829924348,1.135851829924348,2.061296,2.063755,1.119933,1.745758,0.6258249999999999,variant_a,medium,high_priority_offensive_starter;legacy_aggregate_round_context,0.082098,0.4424728223238654,0.120603,0.46295908120767215,0.147026,0.5801469263928105,missing_shares,distributed_from_existing_optimizer_ev
kenan_yildiz__tur,Kenan Yildiz,TUR,MID,4000000,0.8953,yes,yes,0.444552,2.710242964906927,1.3018089040608576,1.562170684873029,1.562170684873029,1.117618684873029,2.68831,2.690405,1.454243,2.069876,0.6156329999999999,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;no_transfermarkt_usage_match;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.183885,0.6098033859034656,0.136221,0.5078571614392722,0.124446,0.44451013753029117,missing_shares,distributed_from_existing_optimizer_ev
viktor_gyokeres__swe,Viktor Gyökeres,SWE,FWD,6000000,0.8141,yes,yes,0.382575,2.4279407191457847,1.2511823727832048,1.5014188473398458,1.5014188473398458,1.1188438473398459,3.808998,3.807163,1.924465,2.539004,0.6145389999999997,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.165233,0.6473822737365942,0.107899,0.41584082842723724,0.109443,0.43819574517601445,missing_shares,distributed_from_existing_optimizer_ev
