strategy,formation,comparison_type,expensive_player_id,expensive_player_name,expensive_position,expensive_price,expensive_ev,expensive_strategy_score,cheap_player_id,cheap_player_name,cheap_position,cheap_price,cheap_ev,cheap_strategy_score,price_difference,ev_difference,strategy_score_difference,marginal_ev_per_million,marginal_strategy_score_per_million,round_1_difference,round_2_difference,round_3_difference,start_security_difference,interpretation
next_round,3-4-3,position_marginal_GK,manuel_neuer__ger,Manuel Neuer,GK,5000000,3.7539,8.5188,david_cabezas__ecu,David Cabezas,GK,2500000,2.1052,4.6272,2500000,1.6487,3.8915,0.6595,1.5566,0.7688,-0.3204,0.4931,-0.0012,Best high-price GK vs best low-price GK; measures marginal return to spending extra budget at this position.
next_round,3-4-3,position_marginal_DEF,aymeric_laporte__esp,Aymeric Laporte,DEF,4500000,3.6961,7.6452,leo_ostigard__nor,Leo Østigård,DEF,2500000,2.1148,5.3368,2000000,1.5813,2.3084,0.7906,1.1542,0.4211,0.7984,0.4671,0.052,Best high-price DEF vs best low-price DEF; measures marginal return to spending extra budget at this position.
next_round,3-4-3,position_marginal_MID,kerem_akt_rko_lu__tur,Kerem Akturkoglu,MID,4500000,4.9593,10.0651,nicolas_seiwald__aut,Nicolas Seiwald,MID,2500000,2.3454,6.9564,2000000,2.6139,3.1087,1.3069,1.5544,0.643,1.7535,0.8387,-0.0593,Best high-price MID vs best low-price MID; measures marginal return to spending extra budget at this position.
next_round,3-4-3,position_marginal_FWD,lautaro_mart_nez__arg,Lautaro Martinez,FWD,8000000,5.2929,10.3489,patrick_agyemang__usa,Patrick Agyemang,FWD,3000000,3.7264,7.4739,5000000,1.5665,2.875,0.3133,0.575,0.4403,-0.0396,0.691,0.0488,Best high-price FWD vs best low-price FWD; measures marginal return to spending extra budget at this position.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,kylian_mbapp__fra,Kylian Mbappe,FWD,10000000,4.7201,9.0159,marko_arnautovi__aut,Marko Arnautovic,FWD,4500000,4.1,9.6635,5500000,0.6201,-0.6476,0.1127,-0.1177,-0.5619,1.0657,-0.0188,-0.0108,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,kylian_mbapp__fra,Kylian Mbappe,FWD,10000000,4.7201,9.0159,jonathan_david__can,Jonathan David,FWD,4500000,4.9596,9.6543,5500000,-0.2395,-0.6384,-0.0436,-0.1161,-0.4433,-0.8435,0.2089,-0.019,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,kylian_mbapp__fra,Kylian Mbappe,FWD,10000000,4.7201,9.0159,breel_embolo__sui,Breel Embolo,FWD,5000000,4.0,7.52,5000000,0.7201,1.4958,0.144,0.2992,0.3752,0.3362,0.1196,-0.0073,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,kylian_mbapp__fra,Kylian Mbappe,FWD,10000000,4.7201,9.0159,ra_l_jim_nez__mex,Raul Jimenez,FWD,4500000,4.2088,7.5112,5500000,0.5113,1.5046,0.093,0.2736,-0.093,0.2825,0.0979,0.1356,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,harry_kane__eng,Harry Kane,FWD,9500000,4.3139,7.2511,marko_arnautovi__aut,Marko Arnautovic,FWD,4500000,4.1,9.6635,5000000,0.2139,-2.4124,0.0428,-0.4825,-1.0237,0.8132,-0.0293,-0.0512,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,harry_kane__eng,Harry Kane,FWD,9500000,4.3139,7.2511,jonathan_david__can,Jonathan David,FWD,4500000,4.9596,9.6543,5000000,-0.6457,-2.4032,-0.1291,-0.4806,-0.9052,-1.096,0.1984,-0.0594,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,harry_kane__eng,Harry Kane,FWD,9500000,4.3139,7.2511,breel_embolo__sui,Breel Embolo,FWD,5000000,4.0,7.52,4500000,0.3139,-0.2689,0.0698,-0.0598,-0.0867,0.0837,0.1091,-0.0477,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,harry_kane__eng,Harry Kane,FWD,9500000,4.3139,7.2511,ra_l_jim_nez__mex,Raul Jimenez,FWD,4500000,4.2088,7.5112,5000000,0.1051,-0.2601,0.021,-0.052,-0.5549,0.03,0.0874,0.0952,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,erling_haaland__nor,Erling Haaland,FWD,8500000,3.9175,7.8795,marko_arnautovi__aut,Marko Arnautovic,FWD,4500000,4.1,9.6635,4000000,-0.1825,-1.784,-0.0456,-0.446,-0.8247,0.4907,-0.5992,0.0082,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,erling_haaland__nor,Erling Haaland,FWD,8500000,3.9175,7.8795,jonathan_david__can,Jonathan David,FWD,4500000,4.9596,9.6543,4000000,-1.0421,-1.7748,-0.2605,-0.4437,-0.7061,-1.4185,-0.3716,0.0,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,erling_haaland__nor,Erling Haaland,FWD,8500000,3.9175,7.8795,breel_embolo__sui,Breel Embolo,FWD,5000000,4.0,7.52,3500000,-0.0825,0.3595,-0.0236,0.1027,0.1123,-0.2388,-0.4609,0.0117,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,premium_fwd_vs_cheap_fwd,erling_haaland__nor,Erling Haaland,FWD,8500000,3.9175,7.8795,ra_l_jim_nez__mex,Raul Jimenez,FWD,4500000,4.2088,7.5112,4000000,-0.2913,0.3682,-0.0728,0.0921,-0.3559,-0.2925,-0.4826,0.1546,Premium FWD vs cheaper FWD. Positive marginal values indicate the model already rewards premium attacking upside; negative values indicate the cheap/value FWD is ahead on current model output.
next_round,3-4-3,selected_MID_upgrade,oscar_bobb__nor,Oscar Bobb,MID,3000000,3.4248,8.4201,nicolas_seiwald__aut,Nicolas Seiwald,MID,2500000,2.3454,6.9564,500000,1.0795,1.4637,2.1589,2.9274,0.2175,1.045,-0.0988,0.0,"Selected MID spend vs cheaper same-position alternative. If marginal return is low, budget may be better used on FWD ceiling."
next_round,3-4-3,selected_DEF_upgrade,r_ben_dias__por,Ruben Dias,DEF,4000000,3.2895,6.5335,ricardo_rodr_guez__sui,Ricardo Rodriguez,DEF,3000000,3.162,6.8039,1000000,0.1275,-0.2704,0.1275,-0.2704,-0.1363,0.0206,-0.1112,-0.0735,"Selected DEF spend vs cheaper same-position alternative. If marginal return is low, budget may be better used on FWD ceiling."
next_round,3-4-3,selected_GK_upgrade,mike_maignan__fra,Mike Maignan,GK,5000000,3.6031,6.6363,joan_garcia__esp,Joan Garcia,GK,4000000,3.8393,8.3831,1000000,-0.2361,-1.7469,-0.2361,-1.7469,-0.5294,-0.1259,-0.1798,-0.02,"Selected GK spend vs cheaper same-position alternative. If marginal return is low, budget may be better used on FWD ceiling."
next_round,3-4-3,selected_MID_upgrade,marcel_sabitzer__aut,Marcel Sabitzer,MID,4500000,3.2005,7.6307,antonio_nusa__nor,Antonio Nusa,MID,3500000,3.2544,7.5711,1000000,-0.0538,0.0596,-0.0538,0.0596,0.129,-0.7806,0.2617,-0.0093,"Selected MID spend vs cheaper same-position alternative. If marginal return is low, budget may be better used on FWD ceiling."
next_round,3-4-3,selected_DEF_upgrade,stefan_posch__aut,Stefan Posch,DEF,3000000,2.71,5.9067,leo_ostigard__nor,Leo Østigård,DEF,2500000,2.1148,5.3368,500000,0.5952,0.5698,1.1904,1.1397,0.2837,-0.2108,0.3815,-0.0914,"Selected DEF spend vs cheaper same-position alternative. If marginal return is low, budget may be better used on FWD ceiling."
next_round,3-4-3,low_upside_mid_def_gk_upgrade,scott_mctominay__sco,Scott McTominay,MID,4500000,3.1959,7.4785,antonio_nusa__nor,Antonio Nusa,MID,3500000,3.2544,7.5711,1000000,-0.0584,-0.0926,-0.0584,-0.0926,0.0615,-0.4468,-0.0131,0.0514,"Selected MID spend vs cheaper same-position alternative. If marginal return is low, budget may be better used on FWD ceiling."
