player_id,player_name,team_id,team_name,position,price_m,price_rank_pct_position,model_ev_before_price_quality,price_quality_raw_ev,price_quality_appearance_scaled_ev,price_quality_base_capped_ev,price_quality_ev,weighted_group_stage_ev,price_quality_weight,price_quality_spread_multiplier,price_quality_applied,price_quality_method,component_source,base_ev_source,repair_status
gregor_kobel__sui,Gregor Kobel,SUI,Schweiz,GK,4,0.803846,3.984935,3.303123,3.303123,3.303123,3.303123,3.67812,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
sadio_man__sen,Sadio Mane,SEN,Senegal,FWD,5,0.867424,3.774532,3.542132,3.542132,3.542132,3.542132,3.669952,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
r_ben_dias__por,Ruben Dias,POR,Portugal,DEF,4,0.925187,3.830606,3.372133,3.372133,3.372133,3.372133,3.624293,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
matheus_cunha__bra,Matheus Cunha,BRA,Brasilien,FWD,4.5,0.82197,3.810877,3.370176,3.370176,3.370176,3.370176,3.612561,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
thibaut_courtois__bel,Thibaut Courtois,BEL,Belgien,GK,4.5,0.9,3.553411,3.681275,3.681275,3.681275,3.681275,3.61095,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
jonathan_tah__ger,Jonathan Tah,GER,Tyskland,DEF,4.5,0.972569,3.60684,3.511635,3.511635,3.511635,3.511635,3.563998,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
ezri_konsa__eng,Ezri Konsa,ENG,England,DEF,4.5,0.972569,3.5702,3.511635,3.511635,3.511635,3.511635,3.543846,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
aymeric_laporte__esp,Aymeric Laporte,ESP,Spanien,DEF,4.5,0.972569,3.744546,3.511635,3.259801,3.511635,3.259801,3.526411,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
diogo_costa__por,Diogo Costa,POR,Portugal,GK,5,0.965385,3.186809,3.938418,3.938418,3.938418,3.938418,3.525033,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
bart_verbruggen__ned,Bart Verbruggen,NED,Holland,GK,4.5,0.9,3.333405,3.681275,3.681275,3.681275,3.681275,3.489946,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
