kind,method,resource_type,status,url,post_data,content_type
request,GET,image,,https://ds-static.dk/-/media/a649f4cda96a4e739a8d877048273cee.svg,,
request,GET,image,,https://ds-static.dk/-/media/613f4d83cbef4e81870c9ba3a4038368.svg,,
request,GET,image,,https://ds-static.dk/-/media/dce038d2418441cfb1278fa69bf4956c.png,,
request,GET,image,,https://ds-static.dk/-/media/48f2eb1bc2ac4e568b9bfe632318dfd2.png,,
request,GET,image,,https://ds-static.dk/-/media/fe72c2231b3c4ed09f22b9d9488b0207.png,,
request,GET,image,,https://ds-static.dk/-/media/7c96565cb0d34c50a1e0c774453c3acc.png,,
request,GET,image,,https://ds-static.dk/-/media/c1e76016f297419b883aca8d58825e33.png,,
request,GET,image,,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/test-yourself.svg,,
request,GET,image,,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/limit-yourself.svg,,
request,GET,image,,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/pause.svg,,
request,GET,image,,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/overview.svg,,
request,GET,image,,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/treatment.svg,,
request,GET,image,,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/relatives.svg,,
request,GET,image,,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/contact.svg,,
request,GET,image,,https://ds-static.dk/-/media/e8515aa3edd245bbbd154fe1752882b2.svg,,
request,GET,image,,https://ds-static.dk/-/media/6db4fab82b1745eba94f2c81c1606254.svg,,
request,GET,image,,https://ds-static.dk/-/media/cf5ed1162f144c38badb968f7b21d462.png,,
request,GET,image,,https://ds-static.dk/-/media/2c50aadb2b3d46f4a805e0a13a4aef7b.svg,,
request,GET,image,,https://ds-static.dk/-/media/062991570e0b4385ae0bf6b951f5ff3a.svg,,
request,GET,image,,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Components/Graphics/BrandLogos/danskespil-white.svg,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/digitalPortal.js?noCache=20260602193443,,
request,GET,image,,https://ds-static.dk/-/media/938a67dc57374284ae91785d771753bf.svg,,
request,GET,image,,https://ds-static.dk/-/media/02e38c75f26c4313beeec0fb4f1653be.png,,
request,GET,image,,https://ds-static.dk/-/media/6090e17f70b44e1f8d539fd829a721c9.png,,
request,GET,image,,https://ds-static.dk/-/media/9de903ae842749009d21a66342e34c0e.svg,,
request,GET,image,,https://ds-static.dk/-/media/890cb673c0254deabd0fc215b6548924.svg,,
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Styles/DanskeSpil/region-oddset.4bcadbff43.css,,text/css
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Scripts/DanskeSpil/Core/Head.f19742ee2b.js,,text/javascript
