player_name,team_id,player_id,odds,bookmaker,market,updated_at,source,notes
Donyell Malen,NED,donyell_malen__ned,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Désiré Doué,FRA,d_sir_dou__fra,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Heung-Min Son,KOR,son_heung_min__kor,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Kai Havertz,GER,kai_havertz__ger,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Kevin De Bruyne,BEL,kevin_de_bruyne__bel,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Leandro Trossard,BEL,leandro_trossard__bel,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Marcus Thuram,FRA,marcus_thuram__fra,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Nick Woltemade,GER,nick_woltemade__ger,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Nicolas Jackson,SEN,nicolas_jackson__sen,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Riyad Mahrez,ALG,riyad_mahrez__alg,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Andrej Kramaric,CRO,andrej_kramari__cro,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Ayase Ueda,JPN,ayase_ueda__jpn,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Bradley Barcola,FRA,bradley_barcola__fra,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Jhon Duran,COL,,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,not_in_current_player_pool
Omar Marmoush,EGY,omar_marmoush__egy,51.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Eberechi Eze,ENG,eberechi_eze__eng,67.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Gonçalo Ramos,POR,gon_alo_ramos__por,67.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Jean-Philippe Mateta,FRA,jean_philippe_mateta__fra,67.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Marcus Rashford,ENG,marcus_rashford__eng,67.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Neymar,BRA,neymar_jr__bra,67.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Pedro Neto,POR,pedro_neto__por,67.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Serge Gnabry,GER,,67.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,not_in_current_player_pool
Kaoru Mitoma,JPN,,81.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,not_in_current_player_pool
Antoine Semenyo,GHA,antoine_semenyo__gha,87.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Antonio Sanabria,PAR,antonio_sanabria__par,87.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Iqraam Rayners,RSA,,87.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,not_in_current_player_pool
Luka Modric,CRO,luka_modri__cro,87.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Lyle Foster,RSA,lyle_foster__rsa,87.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
Takefusa Kubo,JPN,takefusa_kubo__jpn,87.00,Unibet,Topscorer VM 2026,2026-05-24,manual_user_input,
