team_id,land,role,player_name,role_order,source_note,confidence,is_confirmed,matched_player_id,matched_player_name,matched_team_id,matched_position,match_method
ALG,Algeriet,penalty,Mahrez,1,,medium,false,riyad_mahrez__alg,Riyad Mahrez,ALG,FWD,safe_alias
ALG,Algeriet,direct_fk,Mahrez,1,,medium,false,riyad_mahrez__alg,Riyad Mahrez,ALG,FWD,safe_alias
ALG,Algeriet,corner_indirect_fk,Chaibi,1,,medium,false,fares_cha_bi__alg,Fares Chaibi,ALG,MID,safe_alias
ALG,Algeriet,corner_indirect_fk,Mahrez,2,,medium,false,riyad_mahrez__alg,Riyad Mahrez,ALG,FWD,safe_alias
ARG,Argentina,penalty,Messi,1,,medium,false,lionel_messi__arg,Lionel Messi,ARG,FWD,safe_alias
ARG,Argentina,direct_fk,Messi,1,(1),medium,false,lionel_messi__arg,Lionel Messi,ARG,FWD,safe_alias
ARG,Argentina,corner_indirect_fk,Messi,1,,medium,false,lionel_messi__arg,Lionel Messi,ARG,FWD,safe_alias
ARG,Argentina,corner_indirect_fk,De Paul,2,,medium,false,rodrigo_de_paul__arg,Rodrigo de Paul,ARG,MID,safe_alias
AUS,Australien,penalty,Boyle,1,,medium,false,martin_boyle__aus,Martin Boyle,AUS,FWD,safe_alias
AUS,Australien,direct_fk,Hrustic,1,,medium,false,ajdin_hrustic__aus,Ajdin Hrustic,AUS,MID,safe_alias
AUS,Australien,direct_fk,Irankunda,2,,medium,false,nestory_irankunda__aus,Nestory Irankunda,AUS,FWD,safe_alias
AUS,Australien,corner_indirect_fk,Hrustic,1,,medium,false,ajdin_hrustic__aus,Ajdin Hrustic,AUS,MID,safe_alias
AUS,Australien,corner_indirect_fk,Boyle,2,,medium,false,martin_boyle__aus,Martin Boyle,AUS,FWD,safe_alias
BEL,Belgien,penalty,Lukaku,1,,medium,false,romelu_lukaku__bel,Romelu Lukaku,BEL,FWD,safe_alias
BEL,Belgien,penalty,de Bruyne,2,,medium,false,kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,safe_alias
BEL,Belgien,direct_fk,de Bruyne,1,,medium,false,kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,safe_alias
BEL,Belgien,direct_fk,de Cuyper,2,,medium,false,maxim_de_cuyper__bel,Maxim De Cuyper,BEL,DEF,safe_alias
BEL,Belgien,corner_indirect_fk,de Bruyne,1,(1),medium,false,kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,safe_alias
BIH,Bosnien-Hercegovina,penalty,Dzeko,1,,medium,false,edin_dzeko__bih,Edin Dzeko,BIH,FWD,safe_alias
BIH,Bosnien-Hercegovina,direct_fk,Tahirovic,1,,medium,false,benjamin_tahirovic__bih,Benjamin Tahirovic,BIH,MID,safe_alias
BIH,Bosnien-Hercegovina,corner_indirect_fk,Alajbegovic,1,(1),medium,false,kerim_alajbegovi__bih,Kerim Alajbegovic,BIH,MID,safe_alias
BIH,Bosnien-Hercegovina,corner_indirect_fk,Bajraktarevic,2,,medium,false,esmir_bajraktarevic__bih,Esmir Bajraktarevic,BIH,MID,safe_alias
BRA,Brasilien,penalty,Raphinha,1,,medium,false,raphinha__bra,Raphinha,BRA,FWD,exact
BRA,Brasilien,penalty,Neymar,2,,medium,false,neymar_jr__bra,Neymar Jr.,BRA,FWD,alias_name_exact
BRA,Brasilien,direct_fk,Raphinha,1,(1),medium,false,raphinha__bra,Raphinha,BRA,FWD,exact
BRA,Brasilien,direct_fk,Neymar,2,,medium,false,neymar_jr__bra,Neymar Jr.,BRA,FWD,alias_name_exact
