player_name,team_id,old_start_prob,new_start_prob,conditional_start_prob,availability_prob,availability_risk,appearance_prob,round_specific_rotation_risk,start_signal_context_note,old_start_prob_source,new_start_prob_source
Maximilian Wöber,AUT,0.5612,0.5612,0.6179,0.7382,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Phillipp Mwene,AUT,0.6417,0.6417,0.6717,0.8722,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Leopold Querfeld,AUT,0.0465,0.0465,0.05,0.7991,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Alexander Prass,AUT,0.0839,0.0839,0.0927,0.7294,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Martin Erlic,CRO,0.2914,0.2914,0.319,0.7522,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Kristijan Jakic,CRO,0.0729,0.0729,0.0779,0.8173,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Josip Sutalo,CRO,0.6634,0.6634,0.6829,0.9185,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Luka Vuskovic,CRO,0.7872,0.7872,0.8899,0.6702,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Josip Stanisic,CRO,0.6233,0.6233,0.6526,0.8716,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Josko Gvardiol,CRO,0.9082,0.9082,0.9604,0.8449,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Duje Caleta-Car,CRO,0.3586,0.3586,0.4058,0.6677,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Marin Pongracic,CRO,0.3077,0.3077,0.3428,0.7076,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Antonio Rüdiger,GER,0.2165,0.2165,0.229,0.8436,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jonathan Tah,GER,0.8398,0.8398,0.9222,0.7448,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Waldemar Anton,GER,0.0512,0.0512,0.0532,0.8921,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Nico Schlotterbeck,GER,0.8204,0.8204,0.875,0.8217,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Malick Thiaw,GER,0.043,0.043,0.05,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
David Raum,GER,0.3799,0.3799,0.3891,0.9325,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Malo Gusto,FRA,0.2863,0.2863,0.3329,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Nathaniel Brown,GER,0.5469,0.5469,0.5703,0.8832,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Maxence Lacroix,FRA,0.3107,0.3107,0.3305,0.8288,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jules Kounde,FRA,0.6814,0.6814,0.6976,0.9334,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
William Saliba,FRA,0.4132,0.4132,0.4304,0.8859,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Theo Hernandez,FRA,0.6651,0.6651,0.674,0.9623,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Dayot Upamecano,FRA,0.6508,0.6508,0.6944,0.8206,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Ibrahima Konate,FRA,0.6172,0.6172,0.635,0.9199,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
