player_name,team_id,position,price_m,current_model_pct,tm_pct,diff_pct_point,tm_competition_rows,tm_competition_starts,tm_selection_observations
Leandro Paredes,ARG,MID,4000000,36.6,36.0,-0.6,111,55,108.0
Cristian Romero,ARG,DEF,4000000,68.1,67.5,-0.6,71,48,63.0
Oussama Targhalline,MAR,MID,2500000,0.0,0.5,0.5,41,1,41.0
Nahuel Molina,ARG,DEF,4000000,65.7,65.2,-0.5,71,47,69.0
Pervis Estupinan,ECU,DEF,3500000,70.6,71.1,0.5,77,52,63.0
Kevin Castano,COL,MID,3000000,7.6,7.1,-0.5,43,11,43.0
Mats Wieffer,NED,MID,2500000,30.6,30.1,-0.5,40,9,33.0
Martin Baturina,CRO,MID,3000000,57.1,56.6,-0.5,29,10,27.0
Nizar Al-Rashdan,JOR,MID,2000000,65.0,65.5,0.5,66,34,66.0
Walter Benitez,ARG,GK,4000000,0.0,0.4,0.4,33,1,33.0
Geronimo Rulli,ARG,GK,4500000,2.5,2.1,-0.4,119,7,113.0
Carlos Andres Gomez,COL,MID,2000000,25.4,25.8,0.4,32,2,28.0
Dani Olmo,ESP,MID,5000000,58.3,58.7,0.4,83,32,70.0
Danilo Luiz da Silva,BRA,DEF,2500000,36.8,37.1,0.3,193,64,178.0
Enzo Fernandez,ARG,MID,5000000,66.1,65.7,-0.3,49,33,47.0
Wout Weghorst,NED,FWD,3000000,5.0,4.7,-0.3,97,13,93.0
Marcos Llorente,ESP,MID,3500000,28.9,28.6,-0.3,76,14,68.0
Bremer,BRA,DEF,3000000,28.0,28.2,0.3,44,4,31.0
Santiago Arias,COL,DEF,3500000,33.1,33.3,0.2,152,55,128.0
Mohannad Abu Taha,JOR,MID,2500000,62.4,62.2,-0.2,42,19,42.0
Ahmed Fatouh,EGY,DEF,2500000,57.5,57.3,-0.2,91,34,91.0
Dominik Kotarski,CRO,GK,3000000,2.6,2.4,-0.2,27,2,27.0
Kevin Rodriguez,ECU,FWD,3000000,6.9,7.1,0.2,43,9,39.0
Alex Sandro,BRA,DEF,2500000,33.5,33.4,-0.2,188,33,163.0
Josip Sutalo,CRO,DEF,3000000,66.5,66.4,-0.1,50,31,48.0
Noureddin Bani Attiah,JOR,GK,2500000,2.5,2.4,-0.1,33,2,33.0
Lucas Paqueta,BRA,MID,5500000,38.0,38.1,0.1,92,43,92.0
Toni Fruk,CRO,MID,3000000,4.8,4.8,0.1,14,2,14.0
Anass Salah-Eddine,MAR,DEF,2500000,53.5,53.6,0.1,20,6,19.0
William Saliba,FRA,DEF,4500000,41.4,41.3,-0.1,55,26,45.0
Angelo Preciado,ECU,DEF,3000000,16.4,16.3,-0.1,92,39,87.0
Marcus Thuram,FRA,FWD,5000000,55.8,55.9,0.1,74,17,64.0
Emam Ashour,EGY,MID,2500000,57.3,57.3,-0.0,71,19,59.0
