holdet_player_id,player_name,team_id,position,price,priority_bucket,suggested_action,approval,note
50396,Ali Olwan,JOR,FWD,3500000,likely_relevant,add_to_player_pool_review,,Likely relevant; prioriter til manuel godkendelse.
50389,Can Uzun,TUR,FWD,3500000,likely_relevant,add_to_player_pool_review,,Likely relevant; prioriter til manuel godkendelse.
50421,Alejandro Romero Gamarra,PAR,MID,3000000,likely_relevant,add_to_player_pool_review,,Likely relevant; prioriter til manuel godkendelse.
50382,Abbosbek Fayzullaev,UZB,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50364,Abdul Rahman Baba,GHA,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50289,Adam Hlozek,CZE,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50307,Agustin Canobbio,URU,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50257,Ahmed Reda Tagnaouti,MAR,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50366,Alidu Seidu,GHA,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48813,Alvyn Sanches,SUI,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50249,Auston Trusty,USA,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50258,Ayoube Amaimouni-Echghouyab,MAR,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48893,Benie Traore,CIV,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50390,Caglar Soyuncu,TUR,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50311,Carney Chukwuemeka,AUT,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50283,Cesar Huerta,MEX,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50356,Denil Castillo,ECU,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50394,Ehsan Haddad,JOR,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50368,Ernest Nuamah,GHA,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50418,Fabian Balbuena,PAR,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49089,Fabinho,BRA,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50273,Facundo Medina,ARG,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50313,Florian Wiegele,AUT,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50043,Gedeon Kalulu,COD,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50267,Guus Til,NED,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50250,Haji Wright,USA,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50303,Harry Souttar,AUS,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,Manuelt prioriteret review-navn.
50399,Hassan Al-Haydos,QAT,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49194,Hugo Larsson,SWE,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,Manuelt prioriteret review-navn.
50278,Iqraam Rayners,RSA,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50304,Jackson Irvine,AUS,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50381,Jaloliddin Masharipov,UZB,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50317,Jaouen Hadjam,ALG,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50295,Jindrich Stanek,CZE,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50251,Joe Scally,USA,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,Manuelt prioriteret review-navn.
49297,Joel Monteiro,SUI,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50363,Jonas Adjetey,GHA,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50268,Justin Kluivert,NED,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,Manuelt prioriteret review-navn.
50411,Khalid Al-Ghannam,KSA,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49445,Logan Rogerson,NZL,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49448,Lovro Majer,CRO,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,Manuelt prioriteret review-navn.
50286,Luis Romo,MEX,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50287,Mateo Chavez,MEX,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50270,Mats Wieffer,NED,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,Manuelt prioriteret review-navn.
50318,Melvin Feycal Mastil,ALG,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50314,Michael Svoboda,AUT,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50388,Mladen Jurkas,BIH,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50298,Moïse Bombito,CAN,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50320,Nabil Bentaleb,ALG,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,Manuelt prioriteret review-navn.
49622,Naim Sliti,TUN,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50393,Noureddin Bani Attiah,JOR,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49669,Noureddine Farhati,TUN,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50321,Oussama Benbout,ALG,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50362,Paul Reverson,GHA,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50315,Paul Wanner,AUT,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50392,Rajaei Ayed,JOR,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50400,Salah Zakaria,QAT,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50370,Saleh Hardani,IRN,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50316,Sasa Kalajdzic,AUT,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49849,Shuto Machino,JPN,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50361,Solomon Agbasi,GHA,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50300,Stephen Eustaquio,CAN,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50416,Sultan Mandash,KSA,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49904,Tommy Conway,SCO,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50276,Valentin Barco,ARG,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49927,Viljar Myhra,NOR,GK,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49928,Vincent Sierro,SUI,MID,2500000,depth_or_watchlist,add_to_player_pool_review,,Manuelt prioriteret review-navn.
49947,Williot Swedberg,SWE,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49963,Yassine Meriah,TUN,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49969,Yerson Mosquera,COL,DEF,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
49979,Youssef Msakni,TUN,FWD,2500000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50358,Aaron Tshibola,COD,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48720,Abdou Diallo,SEN,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50365,Abdul Mumin,GHA,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50385,Abdulla Abdullaev,UZB,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48739,Adrian Bajrami,SUI,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50379,Ahmed Yahya,IRQ,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48754,Aissa Laidouni,TUN,MID,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50398,Al-Hashmi Al-Hussain,QAT,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48760,Alaa Ghram,TUN,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50406,Alaa Hejji,KSA,MID,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50248,Alex Zendejas,USA,MID,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50290,Alexandr Sojka,CZE,MID,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50423,Alexandro Maidana,PAR,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48799,Ali Maaloul,TUN,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48825,Amor Layouni,TUN,MID,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50395,Anas Badawi,JOR,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48827,Andi Zeqiri,SUI,FWD,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48832,Andrew Irving,SCO,MID,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50374,Arya Yousefi,IRN,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50367,Augustine Boakye,GHA,MID,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50387,Avazbek Ulmasaliyev,UZB,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50259,Ayyoub Bouaddi,MAR,MID,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50254,Azarias Londono,PAN,MID,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
48890,Becir Omeragic,SUI,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
50386,Behruzjon Karimov,UZB,DEF,2000000,depth_or_watchlist,add_to_player_pool_review,,no_name_team_match
