approved_for_player_pool,priority_bucket,suggested_action,holdet_player_id,player_name,team_id,team_name,position,price,is_out,reason,possible_duplicate_or_mismatch,reviewer_note
JA,likely_relevant,add_to_player_pool_review,49546,Melker Ellborg,SWE,Sverige,GK,3500000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49666,Noel Törnqvist,SWE,Sverige,GK,3500000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49781,Robin Koch,GER,Tyskland,DEF,3500000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,50271,Robin Roefs,NED,Holland,GK,3500000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49909,Trent Alexander-Arnold,ENG,England,DEF,3500000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,48889,Bechir Ben Said,TUN,Tunesien,GK,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,50265,Crysencio Summerville,NED,Holland,MID,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,50284,Edson Alvarez,MEX,Mexico,MID,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49047,Eduardo Camavinga,FRA,Frankrig,MID,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49102,Ferjani Sassi,TUN,Tunesien,MID,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,50266,Frenkie de Jong,NED,Holland,MID,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49257,Jarrod Bowen,ENG,England,FWD,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49345,Juan Cabal,COL,Colombia,DEF,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49508,Martial Godo,CIV,Elfenbenskysten,FWD,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49709,Pascal Loretz,SUI,Schweiz,GK,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49726,Pedro 'Pote' Goncalves,POR,Portugal,MID,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49738,Pierre Kalulu,FRA,Frankrig,DEF,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,50299,Promise David,CAN,Canada,FWD,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,50308,Rodrigo Bentancur,URU,Uruguay,MID,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49795,Roony Bardghji,SWE,Sverige,MID,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,49819,Samuel Aghehowa,ESP,Spanien,FWD,3000000,,no_name_team_match,,
JA,likely_relevant,add_to_player_pool_review,50252,Sergino Dest,USA,USA,DEF,3000000,,no_name_team_match,,
