date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
08/09/25,6,home,3384,3588,3:0,,WMQ6,in squad,0,0,0,08/09/25 | WMQ6 | club:3384 | opponent:3588 | 3:0 | in squad,False,False,False,,False,pascal_loretz__sui,Pascal Loretz,SUI,GK,583038,https://www.transfermarkt.de/pascal-loretz/nationalmannschaft/spieler/583038/verein_id/3384
05/09/25,5,home,3384,53982,4:0,,WMQ6,in squad,0,0,0,05/09/25 | WMQ6 | club:3384 | opponent:53982 | 4:0 | in squad,False,False,False,,False,pascal_loretz__sui,Pascal Loretz,SUI,GK,583038,https://www.transfermarkt.de/pascal-loretz/nationalmannschaft/spieler/583038/verein_id/3384
11/06/25,52,away,3384,3505,4:0,,FS,not in squad,0,0,0,11/06/25 | FS | club:3384 | opponent:3505 | 4:0 | not in squad,True,False,False,,False,pascal_loretz__sui,Pascal Loretz,SUI,GK,583038,https://www.transfermarkt.de/pascal-loretz/nationalmannschaft/spieler/583038/verein_id/3384
07/06/25,6,away,3384,6303,4:2,,FS,not in squad,0,0,0,07/06/25 | FS | club:3384 | opponent:6303 | 4:2 | not in squad,True,False,False,,False,pascal_loretz__sui,Pascal Loretz,SUI,GK,583038,https://www.transfermarkt.de/pascal-loretz/nationalmannschaft/spieler/583038/verein_id/3384
25/03/25,3,home,3384,3580,3:1,,FS,in squad,0,0,0,25/03/25 | FS | club:3384 | opponent:3580 | 3:1 | in squad,False,False,False,,False,pascal_loretz__sui,Pascal Loretz,SUI,GK,583038,https://www.transfermarkt.de/pascal-loretz/nationalmannschaft/spieler/583038/verein_id/3384
21/03/25,3,away,3384,5674,1:1,,FS,in squad,0,0,0,21/03/25 | FS | club:3384 | opponent:5674 | 1:1 | in squad,False,False,False,,False,pascal_loretz__sui,Pascal Loretz,SUI,GK,583038,https://www.transfermarkt.de/pascal-loretz/nationalmannschaft/spieler/583038/verein_id/3384
04/06/24,5,home,3384,6133,4:0,,FS,in squad,0,0,0,04/06/24 | FS | club:3384 | opponent:6133 | 4:0 | in squad,False,False,False,,False,pascal_loretz__sui,Pascal Loretz,SUI,GK,583038,https://www.transfermarkt.de/pascal-loretz/nationalmannschaft/spieler/583038/verein_id/3384
