date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,2,home,3262,3443,4:0,12,FS,played,0,1,0,31/05/26 | FS | club:3262 | opponent:3443 | 4:0 | played | 73',False,False,True,73,True,lennart_karl__ger,Lennart Karl,GER,MID,1075147,https://www.transfermarkt.de/lennart-karl/nationalmannschaft/spieler/1075147/verein_id/3262
30/03/26,2,home,3262,3441,2:1,12,FS,played,0,0,0,30/03/26 | FS | club:3262 | opponent:3441 | 2:1 | played | 45',False,False,True,45,False,lennart_karl__ger,Lennart Karl,GER,MID,1075147,https://www.transfermarkt.de/lennart-karl/nationalmannschaft/spieler/1075147/verein_id/3262
27/03/26,1,away,3262,3384,4:3,12,FS,played,0,0,0,27/03/26 | FS | club:3262 | opponent:3384 | 4:3 | played | 27',False,False,True,27,False,lennart_karl__ger,Lennart Karl,GER,MID,1075147,https://www.transfermarkt.de/lennart-karl/nationalmannschaft/spieler/1075147/verein_id/3262
