date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
30/05/26,8,away,32364,3380,1:4,7,FS,played,0,0,0,30/05/26 | FS | club:32364 | opponent:3380 | 1:4 | played | 61',False,False,True,61,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
31/03/26,32,away,32364,3433,1:5,7,FS,played,0,0,0,31/03/26 | FS | club:32364 | opponent:3433 | 1:5 | played | 45',False,False,True,45,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
27/03/26,7,away,32364,5598,0:2,6,FS,played,0,0,0,27/03/26 | FS | club:32364 | opponent:5598 | 0:2 | played | 80',False,False,True,80,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
19/11/25,14,away,32364,3671,0:0,6,WMQ3,played,0,0,0,19/11/25 | WMQ3 | club:32364 | opponent:3671 | 0:0 | played | 90',False,False,True,90,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
13/11/25,13,away,32364,15735,7:0,6,WMQ3,played,0,0,0,13/11/25 | WMQ3 | club:32364 | opponent:15735 | 7:0 | played | 65',False,False,True,65,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
14/10/25,12,home,32364,7149,1:1,6,WMQ3,played,0,0,0,14/10/25 | WMQ3 | club:32364 | opponent:7149 | 1:1 | played | 74',False,False,True,74,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
10/10/25,11,home,32364,3671,2:0,6,WMQ3,played,1,0,0,10/10/25 | WMQ3 | club:32364 | opponent:3671 | 2:0 | played | 87',False,False,True,87,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
10/09/25,10,home,32364,15735,3:2,,WMQ3,played,0,0,0,10/09/25 | WMQ3 | club:32364 | opponent:15735 | 3:2 | played | 2',False,False,True,2,False,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
06/09/25,9,away,32364,7149,0:0,7,WMQ3,played,0,0,1,06/09/25 | WMQ3 | club:32364 | opponent:7149 | 0:0 | played | 62',False,False,True,62,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
25/06/25,3,away,32364,3590,1:2,6,GOCU,played,0,0,0,25/06/25 | GOCU | club:32364 | opponent:3590 | 1:2 | played | 90',False,False,True,90,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
21/06/25,2,away,32364,3510,1:1,7,GOCU,played,0,0,0,21/06/25 | GOCU | club:32364 | opponent:3510 | 1:1 | played | 90',False,False,True,90,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
18/06/25,1,away,32364,13951,0:0,6,GOCU,played,0,0,0,18/06/25 | GOCU | club:32364 | opponent:13951 | 0:0 | played | 84',False,False,True,84,True,livano_comenencia__cuw,Livano Comenencia,CUW,DEF,626764,https://www.transfermarkt.de/livano-comenencia/nationalmannschaft/spieler/626764/verein_id/32364
