date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/06/26,46,away,3670,3383,0:1,,FS,in squad,0,0,0,01/06/26 | FS | club:3670 | opponent:3383 | 0:1 | in squad,False,False,False,,False,raed_chikhaoui__tun,Raed Chikhaoui,TUN,DEF,1075790,https://www.transfermarkt.de/raed-chikhaoui/nationalmannschaft/spieler/1075790/verein_id/3670
31/03/26,3,away,3670,3510,0:0,,FS,in squad,0,0,0,31/03/26 | FS | club:3670 | opponent:3510 | 0:0 | in squad,False,False,False,,False,raed_chikhaoui__tun,Raed Chikhaoui,TUN,DEF,1075790,https://www.transfermarkt.de/raed-chikhaoui/nationalmannschaft/spieler/1075790/verein_id/3670
29/03/26,7,away,3670,14161,1:0,,FS,in squad,0,0,0,29/03/26 | FS | club:3670 | opponent:14161 | 1:0 | in squad,False,False,False,,False,raed_chikhaoui__tun,Raed Chikhaoui,TUN,DEF,1075790,https://www.transfermarkt.de/raed-chikhaoui/nationalmannschaft/spieler/1075790/verein_id/3670
