date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/06/26,46,away,3670,3383,0:1,6,FS,played,0,0,0,01/06/26 | FS | club:3670 | opponent:3383 | 0:1 | played | 82',False,False,True,82,True,rani_khedira__tun,Rani Khedira,TUN,MID,124410,https://www.transfermarkt.de/rani-khedira/nationalmannschaft/spieler/124410/verein_id/3670
31/03/26,3,away,3670,3510,0:0,6,FS,played,0,0,0,31/03/26 | FS | club:3670 | opponent:3510 | 0:0 | played | 70',False,False,True,70,True,rani_khedira__tun,Rani Khedira,TUN,MID,124410,https://www.transfermarkt.de/rani-khedira/nationalmannschaft/spieler/124410/verein_id/3670
29/03/26,7,away,3670,14161,1:0,7,FS,played,0,0,0,29/03/26 | FS | club:3670 | opponent:14161 | 1:0 | played | 73',False,False,True,73,True,rani_khedira__tun,Rani Khedira,TUN,MID,124410,https://www.transfermarkt.de/rani-khedira/nationalmannschaft/spieler/124410/verein_id/3670
