date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,29,away,3433,6303,0:1,3,FS,played,0,0,0,31/05/26 | FS | club:3433 | opponent:6303 | 0:1 | played | 90',False,False,True,90,True,lucas_herrington__aus,Lucas Herrington,AUS,DEF,1279984,https://www.transfermarkt.de/lucas-herrington/nationalmannschaft/spieler/1279984/verein_id/3433
31/03/26,32,home,3433,32364,5:1,3,FS,played,0,0,0,31/03/26 | FS | club:3433 | opponent:32364 | 5:1 | played | 45',False,False,True,45,True,lucas_herrington__aus,Lucas Herrington,AUS,DEF,1279984,https://www.transfermarkt.de/lucas-herrington/nationalmannschaft/spieler/1279984/verein_id/3433
27/03/26,17,home,3433,3434,1:0,3,FS,played,0,0,0,27/03/26 | FS | club:3433 | opponent:3434 | 1:0 | played | 90',False,False,True,90,True,lucas_herrington__aus,Lucas Herrington,AUS,DEF,1279984,https://www.transfermarkt.de/lucas-herrington/nationalmannschaft/spieler/1279984/verein_id/3433
