player_id,player_name,team_id,position_model,competition_category,competition_category_label,rows,starts,bench,not_in_squad,injury_or_fitness_absences,suspension_absences,not_selected_or_unknown_absences,recency_weight_sum,recent_weighted_starts,recent_weighted_bench,recent_weighted_not_in_squad,start_share,bench_share,not_in_squad_share,recency_weighted_start_share,recency_weighted_bench_share,recency_weighted_not_in_squad_share,competition_weight,weighted_start_signal,recency_competition_weighted_start_signal
manu_kon__fra,Manu Koné,FRA,MID,ukendt,Ukendt,19,9,0,4,2,0,2,4.75,2.25,0.0,1.0,0.474,0.0,0.211,0.474,0.0,0.211,0.45,0.2133,0.2133
manuel_akanji__sui,Manuel Akanji,SUI,DEF,ukendt,Ukendt,107,78,0,21,12,0,7,26.75,19.5,0.0,5.25,0.729,0.0,0.196,0.729,0.0,0.196,0.45,0.328,0.328
manuel_neuer__ger,Manuel Neuer,GER,GK,ukendt,Ukendt,219,123,0,78,38,0,40,54.75,30.75,0.0,19.5,0.562,0.0,0.356,0.562,0.0,0.356,0.45,0.2529,0.2529
manuel_ugarte__uru,Manuel Ugarte,URU,MID,ukendt,Ukendt,57,28,0,14,0,0,13,14.25,7.0,0.0,3.5,0.491,0.0,0.246,0.491,0.0,0.246,0.45,0.221,0.221
marc_cucurella__esp,Marc Cucurella,ESP,DEF,ukendt,Ukendt,74,22,0,42,0,0,42,18.5,5.5,0.0,10.5,0.297,0.0,0.568,0.297,0.0,0.568,0.45,0.1336,0.1336
marc_gu_hi__eng,Marc Guehi,ENG,DEF,ukendt,Ukendt,52,24,0,15,4,0,10,13.0,6.0,0.0,3.75,0.462,0.0,0.288,0.462,0.0,0.288,0.45,0.2079,0.2079
marc_pubill__esp,Marc Pubill,ESP,DEF,ukendt,Ukendt,1,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
marcel_sabitzer__aut,Marcel Sabitzer,AUT,MID,ukendt,Ukendt,145,76,0,34,17,0,17,36.25,19.0,0.0,8.5,0.524,0.0,0.234,0.524,0.0,0.234,0.45,0.2358,0.2358
marcelo_flores__can,Marcelo Flores,CAN,MID,ukendt,Ukendt,3,1,0,1,1,0,0,0.75,0.25,0.0,0.25,0.333,0.0,0.333,0.333,0.0,0.333,0.45,0.1498,0.1498
marcio_rosa__cpv,Marcio Rosa,CPV,GK,ukendt,Ukendt,77,7,0,20,1,0,19,19.25,1.75,0.0,5.0,0.091,0.0,0.26,0.091,0.0,0.26,0.45,0.041,0.041
marco_friedl__aut,Marco Friedl,AUT,DEF,ukendt,Ukendt,71,6,0,47,5,0,42,17.75,1.5,0.0,11.75,0.085,0.0,0.662,0.085,0.0,0.662,0.45,0.0383,0.0383
marco_grull__aut,Marco Grüll,AUT,FWD,ukendt,Ukendt,48,3,0,23,1,0,22,12.0,0.75,0.0,5.75,0.062,0.0,0.479,0.062,0.0,0.479,0.45,0.0279,0.0279
marco_pasalic__cro,Marco Pasalic,CRO,FWD,ukendt,Ukendt,28,3,0,4,0,0,4,7.0,0.75,0.0,1.0,0.107,0.0,0.143,0.107,0.0,0.143,0.45,0.0482,0.0482
marcos_llorente__esp,Marcos Llorente,ESP,MID,ukendt,Ukendt,75,13,0,39,8,0,31,18.75,3.25,0.0,9.75,0.173,0.0,0.52,0.173,0.0,0.52,0.45,0.0778,0.0778
marcus_holmgren_pedersen__nor,Marcus Holmgren Pedersen,NOR,DEF,ukendt,Ukendt,50,24,0,5,4,0,0,12.5,6.0,0.0,1.25,0.48,0.0,0.1,0.48,0.0,0.1,0.45,0.216,0.216
marcus_rashford__eng,Marcus Rashford,ENG,FWD,ukendt,Ukendt,127,31,0,46,12,0,34,31.75,7.75,0.0,11.5,0.244,0.0,0.362,0.244,0.0,0.362,0.45,0.1098,0.1098
marcus_thuram__fra,Marcus Thuram,FRA,FWD,ukendt,Ukendt,73,17,0,27,10,0,17,18.25,4.25,0.0,6.75,0.233,0.0,0.37,0.233,0.0,0.37,0.45,0.1049,0.1049
marin_pongra_i__cro,Marin Pongracic,CRO,DEF,ukendt,Ukendt,71,14,0,36,4,0,32,17.75,3.5,0.0,9.0,0.197,0.0,0.507,0.197,0.0,0.507,0.45,0.0887,0.0887
mario_pa_ali__cro,Mario Pasalic,CRO,MID,ukendt,Ukendt,143,40,0,38,8,0,30,35.75,10.0,0.0,9.5,0.28,0.0,0.266,0.28,0.0,0.266,0.45,0.126,0.126
mark_flekken__ned,Mark Flekken,NED,GK,ukendt,Ukendt,56,11,0,7,2,0,5,14.0,2.75,0.0,1.75,0.196,0.0,0.125,0.196,0.0,0.125,0.45,0.0882,0.0882
mark_mckenzie__usa,Mark McKenzie,USA,DEF,ukendt,Ukendt,96,18,0,42,0,0,42,24.0,4.5,0.0,10.5,0.188,0.0,0.438,0.188,0.0,0.438,0.45,0.0846,0.0846
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,ukendt,Ukendt,176,110,0,38,13,0,22,44.0,27.5,0.0,9.5,0.625,0.0,0.216,0.625,0.0,0.216,0.45,0.2812,0.2812
marko_farji__irq,Marko Farji,IRQ,MID,ukendt,Ukendt,28,7,0,14,0,0,14,7.0,1.75,0.0,3.5,0.25,0.0,0.5,0.25,0.0,0.5,0.45,0.1125,0.1125
marko_stamenic__nzl,Marko Stamenic,NZL,MID,ukendt,Ukendt,47,36,0,8,0,0,8,11.75,9.0,0.0,2.0,0.766,0.0,0.17,0.766,0.0,0.17,0.45,0.3447,0.3447
marquinhos__bra,Marquinhos,BRA,DEF,ukendt,Ukendt,155,93,0,27,10,0,16,38.75,23.25,0.0,6.75,0.6,0.0,0.174,0.6,0.0,0.174,0.45,0.27,0.27
martial_godo__civ,Martial Godo,CIV,FWD,ukendt,Ukendt,2,1,0,0,0,0,0,0.5,0.25,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.45,0.225,0.225
martin_baturina__cro,Martin Baturina,CRO,MID,ukendt,Ukendt,28,10,0,4,2,0,2,7.0,2.5,0.0,1.0,0.357,0.0,0.143,0.357,0.0,0.143,0.45,0.1606,0.1606
martin_boyle__aus,Martin Boyle,AUS,FWD,ukendt,Ukendt,73,34,0,24,16,0,8,18.25,8.5,0.0,6.0,0.466,0.0,0.329,0.466,0.0,0.329,0.45,0.2097,0.2097
martin_caceres__uru,Martin Caceres,URU,DEF,ukendt,Ukendt,188,104,0,48,22,0,25,47.0,26.0,0.0,12.0,0.553,0.0,0.255,0.553,0.0,0.255,0.45,0.2488,0.2488
martin_erlic__cro,Martin Erlic,CRO,DEF,ukendt,Ukendt,50,11,0,11,3,0,8,12.5,2.75,0.0,2.75,0.22,0.0,0.22,0.22,0.0,0.22,0.45,0.099,0.099
martin_exp_rience__hai,Martin Experience,HAI,DEF,ukendt,Ukendt,48,15,0,20,0,0,20,12.0,3.75,0.0,5.0,0.312,0.0,0.417,0.312,0.0,0.417,0.45,0.1404,0.1404
martin_jedlicka__cze,Martin Jedlicka,CZE,GK,ukendt,Ukendt,16,1,0,2,0,0,2,4.0,0.25,0.0,0.5,0.062,0.0,0.125,0.062,0.0,0.125,0.45,0.0279,0.0279
martin_krug__pan,Martin Krug,PAN,DEF,ukendt,Ukendt,28,1,0,23,0,0,23,7.0,0.25,0.0,5.75,0.036,0.0,0.821,0.036,0.0,0.821,0.45,0.0162,0.0162
